GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2019;;;;;;;
Monate: August;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;4273228;11618179;3074090;9164706;1199138;2453473
091;  Oberbayern;1901552;4997098;1245249;3543755;656303;1453343
09161;    Ingolstadt (Krfr.St);30479;49344;19136;32944;11343;16400
09162;    München, Landeshauptstadt;782980;1720968;388947;808103;394033;912865
09163;    Rosenheim (Krfr.St);17232;27034;12403;20500;4829;6534
09171;    Altötting (Lkr);14172;32083;11932;26056;2240;6027
09171111;      Altötting, St;5292;11880;4452;10098;840;1782
09171112;      Burghausen, St;5408;11227;4533;9528;875;1699
09171113;      Burgkirchen a.d.Alz;70;735;36;247;34;488
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;.;.;.;.;.;.
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;363;701;333;633;30;68
09171119;      Halsbach;-;-;-;-;-;-
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;211;766;159;255;52;511
09171123;      Marktl, M;721;1638;480;1107;241;531
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;.;.;.;.;.;.
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;-;-;-;-;-;-
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;-;-;-;-;-;-
09171132;      Töging a.Inn, St;.;.;.;.;.;.
09171133;      Tüßling, M;-;-;-;-;-;-
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;714;1434;712;1418;2;16
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);107583;426971;81302;363610;26281;63361
09172111;      Ainring;4835;11045;3568;8696;1267;2349
09172112;      Anger;795;3437;724;3178;71;259
09172114;      Bad Reichenhall, GKSt;14374;71111;10882;61390;3492;9721
09172115;      Bayerisch Gmain;3217;20807;2868;19866;349;941
09172116;      Berchtesgaden, M;29062;95963;19148;73150;9914;22813
09172117;      Bischofswiesen;6362;28925;5396;26269;966;2656
09172118;      Freilassing, St;1739;3758;1334;2952;405;806
09172122;      Laufen, St;894;3300;799;3068;95;232
09172124;      Marktschellenberg, M;760;5177;585;4372;175;805
09172128;      Piding;4610;10512;2832;7741;1778;2771
09172129;      Ramsau b.Berchtesgaden;9022;41567;7755;37718;1267;3849
09172130;      Saaldorf-Surheim;540;1870;471;1684;69;186
09172131;      Schneizlreuth;1803;4358;1397;3592;406;766
09172132;      Schönau a.Königssee;28494;118823;22619;103797;5875;15026
09172134;      Teisendorf, M;1076;6318;924;6137;152;181
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);51590;164318;46414;151249;5176;13069
09173111;      Bad Heilbrunn;932;1907;838;1706;94;201
09173112;      Bad Tölz, St;8795;35797;7710;32823;1085;2974
09173113;      Benediktbeuern;5103;11056;5086;11024;17;32
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;1007;2070;891;1791;116;279
09173120;      Egling;1498;2917;1380;2662;118;255
09173123;      Eurasburg;541;1136;458;980;83;156
09173124;      Gaißach;.;.;.;.;.;.
09173126;      Geretsried, St;516;1129;486;1060;30;69
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;.;.;.;.;.;.
09173131;      Jachenau;854;3084;782;2925;72;159
09173133;      Kochel a.See;10602;38021;9519;34934;1083;3087
09173134;      Königsdorf;1897;5743;1654;5240;243;503
09173135;      Lenggries;8962;28602;8461;27236;501;1366
09173137;      Münsing;3602;10279;2966;8825;636;1454
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;1313;3939;1237;3715;76;224
09173145;      Wackersberg;2601;7282;2219;6352;382;930
09173147;      Wolfratshausen, St;2332;4813;1780;3620;552;1193
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);12291;31140;9546;25370;2745;5770
09174111;      Altomünster, M;755;1340;655;1203;100;137
09174113;      Bergkirchen;2202;4412;1551;3256;651;1156
09174115;      Dachau, GKSt;5641;14874;4286;12061;1355;2813
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;273;703;250;674;23;29
09174126;      Karlsfeld;375;991;273;754;102;237
09174131;      Markt Indersdorf, M;504;2406;443;1879;61;527
09174135;      Odelzhausen;.;.;.;.;.;.
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;280;789;230;661;50;128
09174143;      Schwabhausen;481;1266;417;1064;64;202
09174146;      Sulzemoos;430;1167;352;1034;78;133
09174147;      Hilgertshausen-Tandern;.;.;.;.;.;.
09174150;      Vierkirchen;.;.;.;.;.;.
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);17903;34797;13336;26448;4567;8349
09175111;      Anzing;204;957;166;850;38;107
09175112;      Aßling;.;.;.;.;.;.
