GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2009;;;;;;;
Monate: August;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;2939103;9486158;2213704;7894711;725399;1591447
091;  Oberbayern;1228011;3681346;852177;2854360;375834;826986
09161;    Ingolstadt (Krfr.St);18297;30914;11604;21779;6693;9135
09162;    München, Landeshauptstadt;444720;932327;228925;464256;215795;468071
09163;    Rosenheim (Krfr.St);9718;14294;6417;9776;3301;4518
09171;    Altötting (Lkr);11527;26063;8740;20862;2787;5201
09171111;      Altötting, St;5421;12569;3546;9430;1875;3139
09171112;      Burghausen, St;4154;8645;3465;7072;689;1573
09171113;      Burgkirchen a.d.Alz;.;.;.;.;.;.
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;-;-;-;-;-;-
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;187;431;183;427;4;4
09171119;      Halsbach;-;-;-;-;-;-
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;.;.;.;.;.;.
09171123;      Marktl, M;.;.;.;.;.;.
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;337;901;302;781;35;120
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;-;-;-;-;-;-
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;.;.;.;.;.;.
09171132;      Töging a.Inn, St;-;-;-;-;-;-
09171133;      Tüßling, M;.;.;.;.;.;.
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;.;.;.;.;.;.
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);80227;396684;64793;350374;15434;46310
09172111;      Ainring;2868;8246;1916;6219;952;2027
09172112;      Anger;439;2047;418;1900;21;147
09172114;      Bad Reichenhall, GKSt;11682;74175;9218;65253;2464;8922
09172115;      Bayerisch Gmain;3207;22866;2959;22187;248;679
09172116;      Berchtesgaden, M;17927;72629;13286;59499;4641;13130
09172117;      Bischofswiesen;6065;34381;5419;31119;646;3262
09172118;      Freilassing, St;1784;3482;1435;2905;349;577
09172122;      Laufen, St;821;4060;813;4026;8;34
09172124;      Marktschellenberg, M;1088;6320;842;5544;246;776
09172128;      Piding;3678;8822;2254;6908;1424;1914
09172129;      Ramsau b.Berchtesgaden;7119;40794;6541;37480;578;3314
09172130;      Saaldorf-Surheim;510;1592;465;1451;45;141
09172131;      Schneizlreuth;1529;3352;1046;2755;483;597
09172132;      Schönau a.Königssee;19805;107513;16762;97106;3043;10407
09172134;      Teisendorf, M;1705;6405;1419;6022;286;383
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);40121;140540;35433;128387;4688;12153
09173111;      Bad Heilbrunn;745;2269;701;2122;44;147
09173112;      Bad Tölz, St;8497;37311;6769;32812;1728;4499
09173113;      Benediktbeuern;2908;6950;2762;6701;146;249
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;626;1514;574;1381;52;133
09173120;      Egling;731;1532;367;848;364;684
09173123;      Eurasburg;209;394;195;369;14;25
09173124;      Gaißach;312;6264;300;6189;12;75
09173126;      Geretsried, St;1151;4414;1092;3857;59;557
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;-;-;-;-;-;-
09173131;      Jachenau;635;2819;595;2749;40;70
09173133;      Kochel a.See;11004;37257;10386;35291;618;1966
09173134;      Königsdorf;1830;6585;1669;6242;161;343
09173135;      Lenggries;3963;12142;3687;11472;276;670
09173137;      Münsing;4161;11547;3431;10001;730;1546
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;559;1927;461;1680;98;247
09173145;      Wackersberg;1176;4211;1100;3848;76;363
09173147;      Wolfratshausen, St;1309;2303;1054;1758;255;545
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);9129;19583;7019;15597;2110;3986
09174111;      Altomünster, M;269;855;154;394;115;461
09174113;      Bergkirchen;1227;2764;1083;2260;144;504
09174115;      Dachau, GKSt;3696;6765;2652;4988;1044;1777
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;318;776;265;662;53;114
09174126;      Karlsfeld;684;1119;474;715;210;404
09174131;      Markt Indersdorf, M;599;1910;511;1786;88;124
09174135;      Odelzhausen;553;733;322;432;231;301
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;224;642;202;567;22;75
09174143;      Schwabhausen;414;972;397;941;17;31
09174146;      Sulzemoos;.;.;.;.;.;.
09174147;      Hilgertshausen-Tandern;.;.;.;.;.;.
09174150;      Vierkirchen;-;-;-;-;-;-
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);11432;23602;9758;20038;1674;3564
09175111;      Anzing;393;1012;374;950;19;62
09175112;      Aßling;.;.;.;.;.;.
09175113;      Baiern;.;.;.;.;.;.
