GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2015;;;;;;;
Monate: August;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;3913677;11056579;2816588;8763305;1097089;2293274
091;  Oberbayern;1752438;4695120;1139728;3330797;612710;1364323
09161;    Ingolstadt (Krfr.St);27445;48676;19113;33884;8332;14792
09162;    München, Landeshauptstadt;683899;1480624;325912;654440;357987;826184
09163;    Rosenheim (Krfr.St);11927;19665;8943;15247;2984;4418
09171;    Altötting (Lkr);12056;26596;9971;22385;2085;4211
09171111;      Altötting, St;4659;11039;3934;9853;725;1186
09171112;      Burghausen, St;5300;9707;4284;7689;1016;2018
09171113;      Burgkirchen a.d.Alz;.;.;.;.;.;.
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;-;-;-;-;-;-
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;340;572;316;538;24;34
09171119;      Halsbach;-;-;-;-;-;-
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;.;.;.;.;.;.
09171123;      Marktl, M;.;.;.;.;.;.
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;221;864;186;738;35;126
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;-;-;-;-;-;-
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;.;.;.;.;.;.
09171132;      Töging a.Inn, St;-;-;-;-;-;-
09171133;      Tüßling, M;-;-;-;-;-;-
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;.;.;.;.;.;.
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);101860;430265;79304;371644;22556;58621
09172111;      Ainring;4217;10429;2649;7111;1568;3318
09172112;      Anger;740;2943;646;2611;94;332
09172114;      Bad Reichenhall, GKSt;16140;73335;11936;61312;4204;12023
09172115;      Bayerisch Gmain;2481;19890;2408;19630;73;260
09172116;      Berchtesgaden, M;25613;90746;18737;73945;6876;16801
09172117;      Bischofswiesen;6793;34105;5762;31139;1031;2966
09172118;      Freilassing, St;2055;4147;1506;2814;549;1333
09172122;      Laufen, St;874;3551;772;3171;102;380
09172124;      Marktschellenberg, M;993;6175;806;5518;187;657
09172128;      Piding;3491;10263;2572;8598;919;1665
09172129;      Ramsau b.Berchtesgaden;10253;46251;8697;41387;1556;4864
09172130;      Saaldorf-Surheim;675;1792;568;1559;107;233
09172131;      Schneizlreuth;1895;4364;1435;3576;460;788
09172132;      Schönau a.Königssee;24993;116736;20237;103865;4756;12871
09172134;      Teisendorf, M;647;5538;573;5408;74;130
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);49552;166099;44607;152894;4945;13205
09173111;      Bad Heilbrunn;753;1890;643;1627;110;263
09173112;      Bad Tölz, St;9603;35016;7995;31411;1608;3605
09173113;      Benediktbeuern;4364;10784;4316;10631;48;153
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;1055;2306;962;1973;93;333
09173120;      Egling;1602;3001;1460;2665;142;336
09173123;      Eurasburg;.;.;.;.;.;.
09173124;      Gaißach;.;.;.;.;.;.
09173126;      Geretsried, St;978;2381;854;2028;124;353
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;-;-;-;-;-;-
09173131;      Jachenau;545;2817;503;2653;42;164
09173133;      Kochel a.See;11767;42236;10626;38516;1141;3720
09173134;      Königsdorf;2007;5982;1749;5209;258;773
09173135;      Lenggries;8154;29099;7756;27818;398;1281
09173137;      Münsing;3719;10603;3197;9322;522;1281
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;1295;4456;1168;4182;127;274
09173145;      Wackersberg;1339;4357;1285;4160;54;197
09173147;      Wolfratshausen, St;1682;3813;1418;3361;264;452
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);12504;29126;10088;24348;2416;4778
09174111;      Altomünster, M;586;1684;505;1196;81;488
09174113;      Bergkirchen;2060;4553;1488;3516;572;1037
09174115;      Dachau, GKSt;3909;8840;3053;7268;856;1572
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;417;1303;404;1287;13;16
09174126;      Karlsfeld;804;1525;691;1247;113;278
09174131;      Markt Indersdorf, M;455;1981;424;1744;31;237
09174135;      Odelzhausen;952;1364;649;967;303;397
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;672;1438;570;1216;102;222
09174143;      Schwabhausen;617;1479;515;1311;102;168
09174146;      Sulzemoos;1235;2699;1031;2399;204;300
09174147;      Hilgertshausen-Tandern;.;.;.;.;.;.
09174150;      Vierkirchen;.;.;.;.;.;.
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);17926;36747;14012;28857;3914;7890
09175111;      Anzing;401;1446;362;1240;39;206
09175112;      Aßling;.;.;.;.;.;.
