GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2018;;;;;;;
Monate: August;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;4115852;11415576;2916326;8933334;1199526;2482242
091;  Oberbayern;1858881;4937202;1192404;3460323;666477;1476879
09161;    Ingolstadt (Krfr.St);32198;52157;20177;34477;12021;17680
09162;    München, Landeshauptstadt;738883;1647543;353206;743423;385677;904120
09163;    Rosenheim (Krfr.St);16315;25063;11676;18026;4639;7037
09171;    Altötting (Lkr);13554;30649;11003;24874;2551;5775
09171111;      Altötting, St;4328;9879;3806;8964;522;915
09171112;      Burghausen, St;5690;11442;4320;9078;1370;2364
09171113;      Burgkirchen a.d.Alz;80;715;58;306;22;409
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;.;.;.;.;.;.
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;222;560;200;523;22;37
09171119;      Halsbach;-;-;-;-;-;-
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;304;1028;122;245;182;783
09171123;      Marktl, M;773;1327;549;859;224;468
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;.;.;.;.;.;.
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;-;-;-;-;-;-
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;-;-;-;-;-;-
09171132;      Töging a.Inn, St;.;.;.;.;.;.
09171133;      Tüßling, M;-;-;-;-;-;-
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;733;1598;723;1556;10;42
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);105331;425082;78701;360507;26630;64575
09172111;      Ainring;4689;10681;3167;7610;1522;3071
09172112;      Anger;810;3406;699;2950;111;456
09172114;      Bad Reichenhall, GKSt;15484;71582;11374;60425;4110;11157
09172115;      Bayerisch Gmain;3056;21933;2727;21110;329;823
09172116;      Berchtesgaden, M;27112;91443;18594;70348;8518;21095
09172117;      Bischofswiesen;6670;33072;5620;29988;1050;3084
09172118;      Freilassing, St;1719;3984;1257;2989;462;995
09172122;      Laufen, St;975;3634;857;3367;118;267
09172124;      Marktschellenberg, M;753;5121;645;4470;108;651
09172128;      Piding;5233;10753;2852;7604;2381;3149
09172129;      Ramsau b.Berchtesgaden;8628;43378;7281;39277;1347;4101
09172130;      Saaldorf-Surheim;686;2238;585;1990;101;248
09172131;      Schneizlreuth;1630;4110;1345;3612;285;498
09172132;      Schönau a.Königssee;26896;114027;20880;99235;6016;14792
09172134;      Teisendorf, M;990;5720;818;5532;172;188
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);48403;162747;43156;148872;5247;13875
09173111;      Bad Heilbrunn;1037;2323;895;1961;142;362
09173112;      Bad Tölz, St;8009;34261;6905;31364;1104;2897
09173113;      Benediktbeuern;4073;10188;4033;10089;40;99
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;1123;2148;932;1696;191;452
09173120;      Egling;1334;2628;1253;2497;81;131
09173123;      Eurasburg;.;.;.;.;.;.
09173124;      Gaißach;.;.;.;.;.;.
09173126;      Geretsried, St;743;1613;703;1491;40;122
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;.;.;.;.;.;.
09173131;      Jachenau;591;2512;562;2466;29;46
09173133;      Kochel a.See;11171;41483;9949;37849;1222;3634
09173134;      Königsdorf;2176;5782;1892;5116;284;666
09173135;      Lenggries;7815;26846;7295;25189;520;1657
09173137;      Münsing;3268;10058;2736;8610;532;1448
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;1214;3992;1132;3757;82;235
09173145;      Wackersberg;2230;6257;1863;5409;367;848
09173147;      Wolfratshausen, St;2486;4847;1981;3841;505;1006
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);13298;33504;10238;27687;3060;5817
09174111;      Altomünster, M;.;.;.;.;.;.
09174113;      Bergkirchen;2520;4680;1804;3473;716;1207
09174115;      Dachau, GKSt;5591;16122;4004;13055;1587;3067
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;434;1322;401;1239;33;83
09174126;      Karlsfeld;434;789;332;572;102;217
09174131;      Markt Indersdorf, M;720;2205;678;2030;42;175
09174135;      Odelzhausen;.;.;.;.;.;.
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;397;1058;360;982;37;76
09174143;      Schwabhausen;454;1060;396;904;58;156
09174146;      Sulzemoos;574;1343;422;1032;152;311
09174147;      Hilgertshausen-Tandern;.;.;.;.;.;.
09174150;      Vierkirchen;.;.;.;.;.;.
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);18072;37915;13845;29302;4227;8613
09175111;      Anzing;273;1098;243;960;30;138
09175112;      Aßling;.;.;.;.;.;.
