GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2006;;;;;;;
Monate: August;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09175136;      Emmering;-;-;-;-;-;-
09175137;      Steinhöring;.;.;.;.;.;.
09175139;      Zorneding;1045;2110;847;1745;198;365
09175444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09176;    Eichstätt (Lkr);44749;96351;36745;83999;8004;12352
09176111;      Adelschlag;.;.;.;.;.;.
09176112;      Altmannstein, M;135;378;114;281;21;97
09176114;      Beilngries, St;8384;21479;7478;19991;906;1488
09176116;      Böhmfeld;.;.;.;.;.;.
09176118;      Buxheim;.;.;.;.;.;.
09176120;      Denkendorf;4654;5395;3475;4174;1179;1221
09176121;      Dollnstein, M;1880;4231;1825;4097;55;134
09176122;      Egweil;-;-;-;-;-;-
09176123;      Eichstätt, GKSt;7943;13624;7524;12480;419;1144
09176124;      Eitensheim;-;-;-;-;-;-
09176126;      Gaimersheim, M;1480;3107;1300;2665;180;442
09176129;      Großmehring;359;609;358;602;1;7
09176131;      Hepberg;.;.;.;.;.;.
09176132;      Hitzhofen;-;-;-;-;-;-
09176137;      Kinding, M;6781;17107;4361;13449;2420;3658
09176138;      Kipfenberg, M;5510;10608;3884;8178;1626;2430
09176139;      Kösching, M;319;1058;279;924;40;134
09176143;      Lenting;2405;3552;1669;2781;736;771
09176147;      Mindelstetten;.;.;.;.;.;.
09176148;      Mörnsheim, M;381;871;326;737;55;134
09176149;      Nassenfels, M;.;.;.;.;.;.
09176150;      Oberdolling;-;-;-;-;-;-
09176153;      Pförring, M;-;-;-;-;-;-
09176155;      Pollenfeld;.;.;.;.;.;.
09176160;      Schernfeld;553;1409;506;1313;47;96
09176161;      Stammham;.;.;.;.;.;.
09176164;      Titting, M;1758;5624;1500;5350;258;274
09176165;      Walting;993;2914;993;2914;-;-
09176166;      Wellheim, M;729;2204;695;2102;34;102
09176167;      Wettstetten;-;-;-;-;-;-
09176444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09177;    Erding (Lkr);31696;50976;19449;33457;12247;17519
09177112;      Berglern;-;-;-;-;-;-
09177113;      Bockhorn;.;.;.;.;.;.
09177114;      Buch a.Buchrain;.;.;.;.;.;.
09177115;      Dorfen, St;321;604;281;528;40;76
09177116;      Eitting;388;884;371;858;17;26
09177117;      Erding, GKSt;8392;17209;6145;12608;2247;4601
09177118;      Finsing;246;1115;239;1094;7;21
09177119;      Forstern;.;.;.;.;.;.
09177120;      Fraunberg;.;.;.;.;.;.
09177121;      Hohenpolding;.;.;.;.;.;.
09177122;      Inning a.Holz;.;.;.;.;.;.
09177123;      Isen, M;.;.;.;.;.;.
09177124;      Kirchberg;-;-;-;-;-;-
09177126;      Langenpreising;.;.;.;.;.;.
09177127;      Lengdorf;-;-;-;-;-;-
09177130;      Moosinning;502;1183;490;1137;12;46
09177131;      Neuching;178;605;175;594;3;11
09177133;      Oberding;19562;24637;9857;12236;9705;12401
09177134;      Ottenhofen;-;-;-;-;-;-
09177135;      Pastetten;-;-;-;-;-;-
09177137;      Sankt Wolfgang;245;638;208;559;37;79
09177138;      Steinkirchen;-;-;-;-;-;-
09177139;      Taufkirchen (Vils);.;.;.;.;.;.
09177142;      Walpertskirchen;.;.;.;.;.;.
09177143;      Wartenberg, M;400;706;284;590;116;116
09177144;      Wörth;-;-;-;-;-;-
09178;    Freising (Lkr);31880;56235;22493;41200;9387;15035
09178113;      Allershausen;2583;3307;1445;2094;1138;1213
09178115;      Attenkirchen;.;.;.;.;.;.
09178116;      Au i.d.Hallertau, M;.;.;.;.;.;.
09178120;      Eching;3027;6836;2363;5269;664;1567
09178122;      Rudelzhausen;.;.;.;.;.;.
09178123;      Fahrenzhausen;558;1291;475;1141;83;150
09178124;      Freising, GKSt;11175;19004;7374;12639;3801;6365
09178125;      Gammelsdorf;-;-;-;-;-;-
09178129;      Haag a.d.Amper;.;.;.;.;.;.
09178130;      Hallbergmoos;6721;10095;4714;6831;2007;3264
09178132;      Hörgertshausen;-;-;-;-;-;-
09178133;      Hohenkammer;538;1011;409;878;129;133
09178136;      Kirchdorf a.d.Amper;-;-;-;-;-;-
09178137;      Kranzberg;481;1798;396;1660;85;138
09178138;      Langenbach;.;.;.;.;.;.
09178140;      Marzling;147;301;147;301;-;-
09178142;      Mauern;-;-;-;-;-;-
09178143;      Moosburg a.d.Isar, St;465;1554;396;1417;69;137
09178144;      Nandlstadt, M;-;-;-;-;-;-
