GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2007;;;;;;;
Monate: August;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;2740601;9129862;2017281;7498519;723320;1631343
091;  Oberbayern;1151691;3618493;777811;2735051;373880;883442
09161;    Ingolstadt (Krfr.St);19564;35047;12691;24802;6873;10245
09162;    München, Landeshauptstadt;434190;970926;211855;441470;222335;529456
09163;    Rosenheim (Krfr.St);8641;12523;5196;7764;3445;4759
09171;    Altötting (Lkr);12608;25694;10149;21446;2459;4248
09171111;      Altötting, St;5608;11546;4062;9319;1546;2227
09171112;      Burghausen, St;5072;9367;4372;7934;700;1433
09171113;      Burgkirchen a.d.Alz;.;.;.;.;.;.
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;-;-;-;-;-;-
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;261;612;252;596;9;16
09171119;      Halsbach;-;-;-;-;-;-
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;.;.;.;.;.;.
09171123;      Marktl, M;.;.;.;.;.;.
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;308;982;280;858;28;124
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;-;-;-;-;-;-
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;.;.;.;.;.;.
09171132;      Töging a.Inn, St;-;-;-;-;-;-
09171133;      Tüßling, M;.;.;.;.;.;.
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;.;.;.;.;.;.
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);70309;385367;57788;344481;12521;40886
09172111;      Ainring;2383;7845;1967;6409;416;1436
09172112;      Anger;522;2786;470;2631;52;155
09172114;      Bad Reichenhall, GKSt;12251;78788;10256;70241;1995;8547
09172115;      Bayerisch Gmain;2996;24490;2775;23803;221;687
09172116;      Berchtesgaden, M;14142;67764;10857;57249;3285;10515
09172117;      Bischofswiesen;3860;27694;3308;24768;552;2926
09172118;      Freilassing, St;2122;4291;1709;3469;413;822
09172122;      Laufen, St;1005;2841;906;2657;99;184
09172124;      Marktschellenberg, M;1015;6668;775;5949;240;719
09172128;      Piding;3969;8544;2871;6902;1098;1642
09172129;      Ramsau b.Berchtesgaden;6322;38936;5783;37061;539;1875
09172130;      Saaldorf-Surheim;400;1089;370;1036;30;53
09172131;      Schneizlreuth;1385;3334;946;2835;439;499
09172132;      Schönau a.Königssee;17317;104422;14267;93712;3050;10710
09172134;      Teisendorf, M;620;5875;528;5759;92;116
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);34437;138207;29578;124263;4859;13944
09173111;      Bad Heilbrunn;565;1980;505;1838;60;142
09173112;      Bad Tölz, St;8664;40135;6957;34932;1707;5203
09173113;      Benediktbeuern;2637;11007;2537;10777;100;230
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;803;1892;685;1426;118;466
09173120;      Egling;614;1224;390;846;224;378
09173123;      Eurasburg;165;346;152;309;13;37
09173124;      Gaißach;296;6307;289;6285;7;22
09173126;      Geretsried, St;1177;4037;1131;3896;46;141
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;-;-;-;-;-;-
09173131;      Jachenau;443;2412;396;2129;47;283
09173133;      Kochel a.See;6348;29730;5798;28016;550;1714
09173134;      Königsdorf;1811;6347;1690;6079;121;268
09173135;      Lenggries;4169;12798;3793;11511;376;1287
09173137;      Münsing;3624;9792;2523;6919;1101;2873
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;559;2289;465;2092;94;197
09173145;      Wackersberg;1163;4666;1113;4459;50;207
09173147;      Wolfratshausen, St;1149;2216;909;1731;240;485
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);9211;21792;7455;16979;1756;4813
09174111;      Altomünster, M;.;.;.;.;.;.
09174113;      Bergkirchen;1398;3253;1270;3015;128;238
09174115;      Dachau, GKSt;3587;8360;2680;5917;907;2443
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;491;945;465;877;26;68
09174126;      Karlsfeld;974;2413;724;998;250;1415
09174131;      Markt Indersdorf, M;528;1673;522;1664;6;9
09174135;      Odelzhausen;589;820;378;588;211;232
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;285;791;275;735;10;56
09174143;      Schwabhausen;213;630;191;590;22;40
09174146;      Sulzemoos;.;.;.;.;.;.
09174147;      Hilgertshausen-Tandern;.;.;.;.;.;.
09174150;      Vierkirchen;-;-;-;-;-;-
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);10778;23074;9154;19900;1624;3174
09175111;      Anzing;488;1697;484;1683;4;14
09175112;      Aßling;.;.;.;.;.;.
09175113;      Baiern;.;.;.;.;.;.
