GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2008;;;;;;;
Monate: August;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;2832153;9181139;2104038;7543571;728115;1637568
091;  Oberbayern;1200918;3628696;814966;2721093;385952;907603
09161;    Ingolstadt (Krfr.St);19862;35061;13102;24877;6760;10184
09162;    München, Landeshauptstadt;434704;971533;211649;436502;223055;535031
09163;    Rosenheim (Krfr.St);9044;13495;5538;8441;3506;5054
09171;    Altötting (Lkr);11000;24676;8724;20580;2276;4096
09171111;      Altötting, St;6293;13692;4925;11428;1368;2264
09171112;      Burghausen, St;3096;6752;2394;5302;702;1450
09171113;      Burgkirchen a.d.Alz;.;.;.;.;.;.
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;-;-;-;-;-;-
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;210;494;195;442;15;52
09171119;      Halsbach;-;-;-;-;-;-
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;-;-;-;-;-;-
09171123;      Marktl, M;.;.;.;.;.;.
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;294;856;271;813;23;43
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;-;-;-;-;-;-
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;.;.;.;.;.;.
09171132;      Töging a.Inn, St;-;-;-;-;-;-
09171133;      Tüßling, M;.;.;.;.;.;.
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;.;.;.;.;.;.
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);75013;387331;60762;339769;14251;47562
09172111;      Ainring;2739;8527;2209;7224;530;1303
09172112;      Anger;393;2055;281;1797;112;258
09172114;      Bad Reichenhall, GKSt;12343;77291;9746;67621;2597;9670
09172115;      Bayerisch Gmain;3269;27188;3104;26678;165;510
09172116;      Berchtesgaden, M;15426;66602;11487;53913;3939;12689
09172117;      Bischofswiesen;5822;33656;5123;30108;699;3548
09172118;      Freilassing, St;1739;3288;1371;2602;368;686
09172122;      Laufen, St;1018;3785;982;3519;36;266
09172124;      Marktschellenberg, M;1139;6809;882;5816;257;993
09172128;      Piding;3288;10371;2149;7089;1139;3282
09172129;      Ramsau b.Berchtesgaden;6866;36624;6203;34203;663;2421
09172130;      Saaldorf-Surheim;357;914;324;839;33;75
09172131;      Schneizlreuth;1493;3857;1153;3449;340;408
09172132;      Schönau a.Königssee;18182;100033;15051;88908;3131;11125
09172134;      Teisendorf, M;939;6331;697;6003;242;328
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);38282;138853;33312;123954;4970;14899
09173111;      Bad Heilbrunn;671;2711;604;2486;67;225
09173112;      Bad Tölz, St;9360;39928;7291;33236;2069;6692
09173113;      Benediktbeuern;2427;5969;2342;5735;85;234
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;717;1781;646;1387;71;394
09173120;      Egling;883;1794;436;1001;447;793
09173123;      Eurasburg;203;366;191;353;12;13
09173124;      Gaißach;316;6763;308;6715;8;48
09173126;      Geretsried, St;1008;4172;938;3972;70;200
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;-;-;-;-;-;-
09173131;      Jachenau;498;2341;482;2269;16;72
09173133;      Kochel a.See;7223;32211;6615;29942;608;2269
09173134;      Königsdorf;1966;6070;1800;5638;166;432
09173135;      Lenggries;5023;13552;4647;12489;376;1063
09173137;      Münsing;4118;10268;3585;8927;533;1341
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;702;2375;555;2026;147;349
09173145;      Wackersberg;1477;4639;1404;4393;73;246
09173147;      Wolfratshausen, St;1398;2697;1182;2179;216;518
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);8526;20136;6868;17168;1658;2968
09174111;      Altomünster, M;351;1118;268;745;83;373
09174113;      Bergkirchen;1067;2807;983;2662;84;145
09174115;      Dachau, GKSt;3450;7374;2612;5922;838;1452
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;264;588;210;475;54;113
09174126;      Karlsfeld;845;1482;668;1137;177;345
09174131;      Markt Indersdorf, M;460;1758;430;1722;30;36
09174135;      Odelzhausen;566;719;345;447;221;272
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;312;697;276;632;36;65
09174143;      Schwabhausen;268;826;252;802;16;24
09174146;      Sulzemoos;.;.;.;.;.;.
09174147;      Hilgertshausen-Tandern;.;.;.;.;.;.
09174150;      Vierkirchen;-;-;-;-;-;-
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);12009;26177;10172;22459;1837;3718
09175111;      Anzing;365;1047;358;1026;7;21
09175112;      Aßling;.;.;.;.;.;.
09175113;      Baiern;.;.;.;.;.;.
