,STATIONS_ID,MESS_DATUM,QN_8,  R1,RS_IND,WRTR,eor
1822,3379,1997092509,1,0.0,0,-999,eor
1823,3379,1997092510,1,0.0,0,-999,eor
1824,3379,1997092511,1,0.0,0,-999,eor
1825,3379,1997092512,1,0.0,0,-999,eor
1826,3379,1997092513,1,0.0,0,-999,eor
1827,3379,1997092514,1,0.0,0,-999,eor
1828,3379,1997092515,1,0.0,0,-999,eor
1829,3379,1997092516,1,0.0,0,-999,eor
1830,3379,1997092517,1,0.0,0,-999,eor
1831,3379,1997092518,1,0.0,0,-999,eor
1832,3379,1997092519,1,0.0,0,-999,eor
1833,3379,1997092520,1,0.0,0,-999,eor
1834,3379,1997092521,1,0.0,0,-999,eor
1835,3379,1997092522,1,0.0,0,-999,eor
1836,3379,1997092523,1,0.0,0,-999,eor
1837,3379,1997092600,1,0.0,0,-999,eor
1838,3379,1997092601,1,0.0,0,-999,eor
1839,3379,1997092602,1,0.0,0,-999,eor
1840,3379,1997092603,1,0.0,0,-999,eor
1841,3379,1997092604,1,0.0,0,-999,eor
1842,3379,1997092605,1,0.0,0,-999,eor
1843,3379,1997092606,1,0.0,0,-999,eor
1844,3379,1997092607,1,0.0,0,-999,eor
1845,3379,1997092608,1,0.0,0,-999,eor
1846,3379,1997092610,1,0.0,0,-999,eor
1847,3379,1997092611,1,0.0,0,-999,eor
1848,3379,1997092612,1,0.0,0,-999,eor
1849,3379,1997092613,1,0.0,0,-999,eor
1850,3379,1997092614,1,0.0,0,-999,eor
1851,3379,1997092615,1,0.0,0,-999,eor
1852,3379,1997092616,1,0.0,0,-999,eor
1853,3379,1997092617,1,0.0,0,-999,eor
1854,3379,1997092618,1,0.0,0,-999,eor
1855,3379,1997092619,1,0.0,0,-999,eor
1856,3379,1997092620,1,0.0,0,-999,eor
1857,3379,1997092621,1,0.0,0,-999,eor
1858,3379,1997092622,1,0.0,0,-999,eor
1859,3379,1997092623,1,0.0,0,-999,eor
1860,3379,1997092700,1,0.0,0,-999,eor
1861,3379,1997092701,1,0.0,0,-999,eor
1862,3379,1997092702,1,0.0,0,-999,eor
1863,3379,1997092703,1,0.0,0,-999,eor
1864,3379,1997092704,1,0.0,0,-999,eor
1865,3379,1997092705,1,0.0,0,-999,eor
1866,3379,1997092706,1,0.0,0,-999,eor
