GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2019;;;;;;;
Monate: Oktober;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;3697042;9336682;2856400;7549413;840642;1787269
091;  Oberbayern;1721916;4023211;1174104;2832135;547812;1191076
09161;    Ingolstadt (Krfr.St);29442;50630;22629;37883;6813;12747
09162;    München, Landeshauptstadt;815195;1713603;454277;899927;360918;813676
09163;    Rosenheim (Krfr.St);13639;22561;10863;18015;2776;4546
09171;    Altötting (Lkr);12434;27856;10645;22489;1789;5367
09171111;      Altötting, St;4383;9369;3856;8575;527;794
09171112;      Burghausen, St;5389;10480;4427;8550;962;1930
09171113;      Burgkirchen a.d.Alz;82;880;44;265;38;615
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;.;.;.;.;.;.
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;334;699;307;654;27;45
09171119;      Halsbach;-;-;-;-;-;-
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;153;610;111;200;42;410
09171123;      Marktl, M;153;612;124;411;29;201
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;.;.;.;.;.;.
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;-;-;-;-;-;-
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;-;-;-;-;-;-
09171132;      Töging a.Inn, St;.;.;.;.;.;.
09171133;      Tüßling, M;-;-;-;-;-;-
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;725;1386;716;1348;9;38
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);69806;265957;56212;237918;13594;28039
09172111;      Ainring;3254;8234;2660;7110;594;1124
09172112;      Anger;591;2074;552;1965;39;109
09172114;      Bad Reichenhall, GKSt;11928;56450;8688;48984;3240;7466
09172115;      Bayerisch Gmain;2504;17031;2348;16730;156;301
09172116;      Berchtesgaden, M;18864;57076;13755;47329;5109;9747
09172117;      Bischofswiesen;4614;16952;4264;16182;350;770
09172118;      Freilassing, St;1386;2865;1184;2388;202;477
09172122;      Laufen, St;614;1356;575;1292;39;64
09172124;      Marktschellenberg, M;602;3051;547;2884;55;167
09172128;      Piding;1620;4528;1225;4029;395;499
09172129;      Ramsau b.Berchtesgaden;5094;20432;4377;18893;717;1539
09172130;      Saaldorf-Surheim;406;1008;351;883;55;125
09172131;      Schneizlreuth;859;2350;694;2064;165;286
09172132;      Schönau a.Königssee;16243;68927;13844;63655;2399;5272
09172134;      Teisendorf, M;1227;3623;1148;3530;79;93
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);37209;110225;35086;104948;2123;5277
09173111;      Bad Heilbrunn;926;1870;837;1660;89;210
09173112;      Bad Tölz, St;6506;29306;6022;28086;484;1220
09173113;      Benediktbeuern;5879;11705;5867;11627;12;78
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;1745;4102;1693;4005;52;97
09173120;      Egling;1588;3394;1432;3144;156;250
09173123;      Eurasburg;468;950;417;845;51;105
09173124;      Gaißach;.;.;.;.;.;.
09173126;      Geretsried, St;1238;4133;1169;3975;69;158
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;.;.;.;.;.;.
09173131;      Jachenau;489;1877;466;1764;23;113
09173133;      Kochel a.See;3958;11172;3703;10566;255;606
09173134;      Königsdorf;2000;4161;1895;3933;105;228
09173135;      Lenggries;6192;17876;5965;16930;227;946
09173137;      Münsing;2131;5951;1974;5620;157;331
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;977;2749;927;2619;50;130
09173145;      Wackersberg;932;2840;893;2710;39;130
09173147;      Wolfratshausen, St;1289;2639;1065;2199;224;440
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);14029;33590;11329;27044;2700;6546
09174111;      Altomünster, M;745;1613;656;1424;89;189
09174113;      Bergkirchen;2249;4676;1813;3669;436;1007
09174115;      Dachau, GKSt;6231;14543;4715;11213;1516;3330
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;346;867;302;782;44;85
09174126;      Karlsfeld;680;1598;537;1184;143;414
09174131;      Markt Indersdorf, M;508;2456;457;2030;51;426
09174135;      Odelzhausen;.;.;.;.;.;.
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;337;985;303;917;34;68
09174143;      Schwabhausen;615;1552;519;1325;96;227
09174146;      Sulzemoos;420;1238;344;1046;76;192
09174147;      Hilgertshausen-Tandern;.;.;.;.;.;.
09174150;      Vierkirchen;.;.;.;.;.;.
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);21649;45344;17475;35590;4174;9754
09175111;      Anzing;315;1245;255;944;60;301
09175112;      Aßling;.;.;.;.;.;.
