GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2015;;;;;;;
Monate: Oktober;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;3208546;8040086;2481384;6524391;727162;1515695
091;  Oberbayern;1474110;3370129;1009478;2388632;464632;981497
09161;    Ingolstadt (Krfr.St);26128;48834;19813;34502;6315;14332
09162;    München, Landeshauptstadt;660940;1327186;368299;692642;292641;634544
09163;    Rosenheim (Krfr.St);9199;16262;7232;12790;1967;3472
09171;    Altötting (Lkr);10860;22735;9163;18841;1697;3894
09171111;      Altötting, St;5008;9539;4455;8835;553;704
09171112;      Burghausen, St;3887;7538;3201;5995;686;1543
09171113;      Burgkirchen a.d.Alz;301;931;301;931;-;-
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;-;-;-;-;-;-
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;248;580;198;422;50;158
09171119;      Halsbach;-;-;-;-;-;-
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;.;.;.;.;.;.
09171123;      Marktl, M;.;.;.;.;.;.
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;221;608;181;436;40;172
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;.;.;.;.;.;.
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;.;.;.;.;.;.
09171132;      Töging a.Inn, St;-;-;-;-;-;-
09171133;      Tüßling, M;-;-;-;-;-;-
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;.;.;.;.;.;.
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);60656;242034;49841;216001;10815;26033
09172111;      Ainring;2979;7310;2169;4834;810;2476
09172112;      Anger;503;1860;411;1504;92;356
09172114;      Bad Reichenhall, GKSt;11181;54051;8878;48006;2303;6045
09172115;      Bayerisch Gmain;2028;17091;1998;16967;30;124
09172116;      Berchtesgaden, M;15852;47757;11983;39659;3869;8098
09172117;      Bischofswiesen;3948;17185;3735;16489;213;696
09172118;      Freilassing, St;1720;3776;1401;2846;319;930
09172122;      Laufen, St;622;1987;548;1508;74;479
09172124;      Marktschellenberg, M;528;2794;458;2420;70;374
09172128;      Piding;820;2776;753;2598;67;178
09172129;      Ramsau b.Berchtesgaden;5366;20872;4700;19366;666;1506
09172130;      Saaldorf-Surheim;517;1083;480;1015;37;68
09172131;      Schneizlreuth;1003;2711;876;2503;127;208
09172132;      Schönau a.Königssee;12600;57890;10521;53540;2079;4350
09172134;      Teisendorf, M;989;2891;930;2746;59;145
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);35118;104646;32524;98233;2594;6413
09173111;      Bad Heilbrunn;554;1532;451;1163;103;369
09173112;      Bad Tölz, St;5959;26895;5375;25220;584;1675
09173113;      Benediktbeuern;5028;10298;4975;10173;53;125
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;2004;4415;1932;4230;72;185
09173120;      Egling;1374;2860;1268;2690;106;170
09173123;      Eurasburg;.;.;.;.;.;.
09173124;      Gaißach;.;.;.;.;.;.
09173126;      Geretsried, St;1748;5747;1528;5153;220;594
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;.;.;.;.;.;.
09173131;      Jachenau;358;1234;334;1147;24;87
09173133;      Kochel a.See;3983;11034;3735;10308;248;726
09173134;      Königsdorf;2048;4697;1925;4502;123;195
09173135;      Lenggries;6059;15664;5499;14565;560;1099
09173137;      Münsing;2100;5497;1949;5095;151;402
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;808;1973;743;1858;65;115
09173145;      Wackersberg;1030;2702;1010;2657;20;45
09173147;      Wolfratshausen, St;976;2479;831;2109;145;370
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);13651;29733;11563;24973;2088;4760
09174111;      Altomünster, M;912;2084;821;1800;91;284
09174113;      Bergkirchen;2009;4279;1637;3421;372;858
09174115;      Dachau, GKSt;4444;9154;3559;7239;885;1915
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;515;1227;489;1179;26;48
09174126;      Karlsfeld;931;1599;804;1235;127;364
09174131;      Markt Indersdorf, M;393;1446;374;1409;19;37
09174135;      Odelzhausen;1254;1960;1065;1618;189;342
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;534;1298;486;1137;48;161
09174143;      Schwabhausen;574;1429;500;1265;74;164
09174146;      Sulzemoos;713;2364;568;2004;145;360
09174147;      Hilgertshausen-Tandern;.;.;.;.;.;.
09174150;      Vierkirchen;.;.;.;.;.;.
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);19727;42509;15971;33646;3756;8863
09175111;      Anzing;364;1740;327;1444;37;296
09175112;      Aßling;.;.;.;.;.;.
