GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2012;;;;;;;
Monate: Oktober;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;2895170;7606674;2272967;6306512;622203;1300162
091;  Oberbayern;1351983;3160672;945026;2315407;406957;845265
09161;    Ingolstadt (Krfr.St);22069;40860;17170;30102;4899;10758
09162;    München, Landeshauptstadt;618859;1210957;350631;649401;268228;561556
09163;    Rosenheim (Krfr.St);9012;13476;7137;10542;1875;2934
09171;    Altötting (Lkr);12139;23226;9818;18941;2321;4285
09171111;      Altötting, St;5524;9502;4257;7692;1267;1810
09171112;      Burghausen, St;5058;9860;4198;7905;860;1955
09171113;      Burgkirchen a.d.Alz;.;.;.;.;.;.
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;-;-;-;-;-;-
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;220;535;206;504;14;31
09171119;      Halsbach;-;-;-;-;-;-
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;.;.;.;.;.;.
09171123;      Marktl, M;.;.;.;.;.;.
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;271;763;243;674;28;89
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;-;-;-;-;-;-
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;.;.;.;.;.;.
09171132;      Töging a.Inn, St;-;-;-;-;-;-
09171133;      Tüßling, M;-;-;-;-;-;-
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;.;.;.;.;.;.
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);49435;224365;42319;206796;7116;17569
09172111;      Ainring;2401;6272;1977;5235;424;1037
09172112;      Anger;246;939;220;828;26;111
09172114;      Bad Reichenhall, GKSt;9103;53720;7880;50063;1223;3657
09172115;      Bayerisch Gmain;1739;12883;1708;12791;31;92
09172116;      Berchtesgaden, M;13488;46137;10664;40227;2824;5910
09172117;      Bischofswiesen;3265;16220;3094;15636;171;584
09172118;      Freilassing, St;1452;2995;1033;1953;419;1042
09172122;      Laufen, St;700;1661;607;1453;93;208
09172124;      Marktschellenberg, M;573;2613;552;2537;21;76
09172128;      Piding;610;2041;574;1966;36;75
09172129;      Ramsau b.Berchtesgaden;3613;18294;3376;17628;237;666
09172130;      Saaldorf-Surheim;329;920;288;783;41;137
09172131;      Schneizlreuth;601;1633;500;1378;101;255
09172132;      Schönau a.Königssee;10390;55429;8959;51755;1431;3674
09172134;      Teisendorf, M;925;2608;887;2563;38;45
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);33662;97435;30262;90437;3400;6998
09173111;      Bad Heilbrunn;597;1663;496;1407;101;256
09173112;      Bad Tölz, St;7757;30718;6381;27552;1376;3166
09173113;      Benediktbeuern;4659;11054;4633;10966;26;88
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;1518;3746;1460;3615;58;131
09173120;      Egling;1494;3031;1352;2814;142;217
09173123;      Eurasburg;229;388;229;388;-;-
09173124;      Gaißach;321;5327;321;5327;-;-
09173126;      Geretsried, St;1680;4392;1567;4155;113;237
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;-;-;-;-;-;-
09173131;      Jachenau;267;1179;243;1098;24;81
09173133;      Kochel a.See;3011;9529;2650;8701;361;828
09173134;      Königsdorf;2192;4319;2071;4041;121;278
09173135;      Lenggries;5692;11512;4970;10380;722;1132
09173137;      Münsing;2169;5271;2000;4970;169;301
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;.;.;.;.;.;.
09173145;      Wackersberg;847;2316;822;2272;25;44
09173147;      Wolfratshausen, St;954;2080;808;1861;146;219
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);13359;27706;11145;22819;2214;4887
09174111;      Altomünster, M;546;1260;492;1147;54;113
09174113;      Bergkirchen;1713;3676;1403;3070;310;606
09174115;      Dachau, GKSt;4738;8709;3687;6651;1051;2058
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;531;1283;505;1178;26;105
09174126;      Karlsfeld;1243;2195;977;1771;266;424
09174131;      Markt Indersdorf, M;603;2038;530;1349;73;689
09174135;      Odelzhausen;1106;1753;902;1448;204;305
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;380;959;357;890;23;69
09174143;      Schwabhausen;539;1338;467;1146;72;192
09174146;      Sulzemoos;616;1779;522;1567;94;212
09174147;      Hilgertshausen-Tandern;.;.;.;.;.;.
09174150;      Vierkirchen;.;.;.;.;.;.
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);17117;35745;14562;29945;2555;5800
09175111;      Anzing;493;1789;437;1549;56;240
09175112;      Aßling;.;.;.;.;.;.
09175113;      Baiern;.;.;.;.;.;.
