GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2013;;;;;;;
Monate: Oktober;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;2970932;7729833;2337463;6381604;633469;1348229
091;  Oberbayern;1360774;3217224;956864;2338675;403910;878549
09161;    Ingolstadt (Krfr.St);21806;42430;17186;32037;4620;10393
09162;    München, Landeshauptstadt;610826;1243281;347409;653159;263417;590122
09163;    Rosenheim (Krfr.St);8931;14477;7155;11336;1776;3141
09171;    Altötting (Lkr);11826;23329;10180;20095;1646;3234
09171111;      Altötting, St;5553;9330;4912;8608;641;722
09171112;      Burghausen, St;4680;9408;3875;7500;805;1908
09171113;      Burgkirchen a.d.Alz;.;.;.;.;.;.
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;-;-;-;-;-;-
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;214;492;191;453;23;39
09171119;      Halsbach;-;-;-;-;-;-
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;.;.;.;.;.;.
09171123;      Marktl, M;.;.;.;.;.;.
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;268;823;221;711;47;112
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;-;-;-;-;-;-
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;.;.;.;.;.;.
09171132;      Töging a.Inn, St;-;-;-;-;-;-
09171133;      Tüßling, M;-;-;-;-;-;-
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;.;.;.;.;.;.
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);54703;237997;47385;219756;7318;18241
09172111;      Ainring;2622;6458;1828;4860;794;1598
09172112;      Anger;479;1453;455;1349;24;104
09172114;      Bad Reichenhall, GKSt;9670;52762;8756;49191;914;3571
09172115;      Bayerisch Gmain;1879;15801;1808;15627;71;174
09172116;      Berchtesgaden, M;14764;47628;12037;41998;2727;5630
09172117;      Bischofswiesen;3403;17361;3271;16818;132;543
09172118;      Freilassing, St;1528;3066;1125;2075;403;991
09172122;      Laufen, St;367;1452;288;1018;79;434
09172124;      Marktschellenberg, M;601;2718;547;2632;54;86
09172128;      Piding;1030;3534;990;3454;40;80
09172129;      Ramsau b.Berchtesgaden;4321;19963;4045;19133;276;830
09172130;      Saaldorf-Surheim;346;771;300;684;46;87
09172131;      Schneizlreuth;606;1296;468;1037;138;259
09172132;      Schönau a.Königssee;11660;60037;10093;56274;1567;3763
09172134;      Teisendorf, M;1427;3697;1374;3606;53;91
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);34277;102089;31350;95460;2927;6629
09173111;      Bad Heilbrunn;654;1653;541;1371;113;282
09173112;      Bad Tölz, St;7909;31219;6603;28013;1306;3206
09173113;      Benediktbeuern;4666;10692;4657;10661;9;31
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;1514;3604;1469;3458;45;146
09173120;      Egling;1250;3178;1126;2977;124;201
09173123;      Eurasburg;276;513;271;506;5;7
09173124;      Gaißach;.;.;.;.;.;.
09173126;      Geretsried, St;1784;4847;1700;4639;84;208
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;-;-;-;-;-;-
09173131;      Jachenau;325;1455;315;1429;10;26
09173133;      Kochel a.See;3434;11072;3221;10565;213;507
09173134;      Königsdorf;2504;4701;2390;4451;114;250
09173135;      Lenggries;5544;12179;4903;11089;641;1090
09173137;      Münsing;2407;6096;2233;5764;174;332
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;.;.;.;.;.;.
09173145;      Wackersberg;761;2532;750;2494;11;38
09173147;      Wolfratshausen, St;688;1854;631;1732;57;122
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);13226;29016;10902;23955;2324;5061
09174111;      Altomünster, M;676;1641;613;1505;63;136
09174113;      Bergkirchen;1580;3416;1310;2831;270;585
09174115;      Dachau, GKSt;4371;8845;3397;6877;974;1968
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;523;1317;443;1192;80;125
09174126;      Karlsfeld;1383;2456;1129;1939;254;517
09174131;      Markt Indersdorf, M;497;1584;425;1039;72;545
09174135;      Odelzhausen;1118;1921;923;1490;195;431
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;471;1289;436;1188;35;101
09174143;      Schwabhausen;517;1425;451;1295;66;130
09174146;      Sulzemoos;841;2297;605;1946;236;351
09174147;      Hilgertshausen-Tandern;.;.;.;.;.;.
09174150;      Vierkirchen;.;.;.;.;.;.
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);17017;37424;14483;31466;2534;5958
09175111;      Anzing;529;2146;508;1682;21;464
09175112;      Aßling;.;.;.;.;.;.
09175113;      Baiern;.;.;.;.;.;.
