GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2011;;;;;;;
Monate: Oktober;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;2837550;7517450;2278018;6326411;559532;1191039
091;  Oberbayern;1264993;3014166;913103;2264439;351890;749727
09161;    Ingolstadt (Krfr.St);19621;36663;15513;27765;4108;8898
09162;    München, Landeshauptstadt;564783;1140679;334639;638966;230144;501713
09163;    Rosenheim (Krfr.St);8229;13475;6321;10278;1908;3197
09171;    Altötting (Lkr);10915;22770;9224;19735;1691;3035
09171111;      Altötting, St;5282;9885;4347;8587;935;1298
09171112;      Burghausen, St;3656;7796;3099;6524;557;1272
09171113;      Burgkirchen a.d.Alz;.;.;.;.;.;.
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;-;-;-;-;-;-
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;207;498;195;466;12;32
09171119;      Halsbach;-;-;-;-;-;-
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;.;.;.;.;.;.
09171123;      Marktl, M;.;.;.;.;.;.
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;281;850;227;694;54;156
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;-;-;-;-;-;-
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;.;.;.;.;.;.
09171132;      Töging a.Inn, St;-;-;-;-;-;-
09171133;      Tüßling, M;.;.;.;.;.;.
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;.;.;.;.;.;.
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);50087;225852;44173;210402;5914;15450
09172111;      Ainring;2499;6578;1889;5123;610;1455
09172112;      Anger;392;1323;384;1262;8;61
09172114;      Bad Reichenhall, GKSt;9150;53098;8316;50076;834;3022
09172115;      Bayerisch Gmain;2245;16324;2210;16206;35;118
09172116;      Berchtesgaden, M;12726;43798;10465;38840;2261;4958
09172117;      Bischofswiesen;3025;14031;2843;13377;182;654
09172118;      Freilassing, St;1434;2607;1081;1950;353;657
09172122;      Laufen, St;469;933;392;828;77;105
09172124;      Marktschellenberg, M;609;2810;571;2740;38;70
09172128;      Piding;1181;2901;1095;2771;86;130
09172129;      Ramsau b.Berchtesgaden;3945;18589;3682;17511;263;1078
09172130;      Saaldorf-Surheim;308;731;283;651;25;80
09172131;      Schneizlreuth;705;1548;499;1104;206;444
09172132;      Schönau a.Königssee;10496;57406;9591;54821;905;2585
09172134;      Teisendorf, M;903;3175;872;3142;31;33
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);32667;97018;30329;91256;2338;5762
09173111;      Bad Heilbrunn;588;1720;510;1494;78;226
09173112;      Bad Tölz, St;7705;32129;6752;29197;953;2932
09173113;      Benediktbeuern;4487;10686;4412;10534;75;152
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;1163;3320;1135;3236;28;84
09173120;      Egling;1478;3078;1334;2861;144;217
09173123;      Eurasburg;163;288;162;285;1;3
09173124;      Gaißach;235;5029;235;5029;-;-
09173126;      Geretsried, St;1981;4782;1863;4555;118;227
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;-;-;-;-;-;-
09173131;      Jachenau;229;1082;221;1070;8;12
09173133;      Kochel a.See;3540;9869;3264;9205;276;664
09173134;      Königsdorf;2279;4590;2221;4510;58;80
09173135;      Lenggries;5056;10225;4743;9708;313;517
09173137;      Münsing;2159;5231;1981;4894;178;337
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;.;.;.;.;.;.
09173145;      Wackersberg;611;2276;606;2269;5;7
09173147;      Wolfratshausen, St;698;2057;611;1773;87;284
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);12449;25838;10546;22184;1903;3654
09174111;      Altomünster, M;568;1292;489;1133;79;159
09174113;      Bergkirchen;1332;2804;1127;2483;205;321
09174115;      Dachau, GKSt;4318;8188;3444;6399;874;1789
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;372;913;321;798;51;115
09174126;      Karlsfeld;1113;1984;888;1624;225;360
09174131;      Markt Indersdorf, M;512;1432;475;1323;37;109
09174135;      Odelzhausen;1174;1830;968;1489;206;341
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;368;914;344;868;24;46
09174143;      Schwabhausen;522;1356;499;1310;23;46
09174146;      Sulzemoos;1097;3000;927;2647;170;353
09174147;      Hilgertshausen-Tandern;.;.;.;.;.;.
09174150;      Vierkirchen;-;-;-;-;-;-
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);15786;33795;13666;28870;2120;4925
09175111;      Anzing;476;1513;437;1347;39;166
09175112;      Aßling;.;.;.;.;.;.
09175113;      Baiern;.;.;.;.;.;.
