GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2012;;;;;;;
Monate: September;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;3266597;8793227;2512118;7252218;754479;1541009
091;  Oberbayern;1485028;3668477;1016108;2691657;468920;976820
09161;    Ingolstadt (Krfr.St);22651;41533;17069;30617;5582;10916
09162;    München, Landeshauptstadt;616920;1249108;323427;622167;293493;626941
09163;    Rosenheim (Krfr.St);11557;18260;8316;13239;3241;5021
09171;    Altötting (Lkr);12994;25087;10334;20314;2660;4773
09171111;      Altötting, St;6107;11195;4645;9036;1462;2159
09171112;      Burghausen, St;5099;9387;4091;7471;1008;1916
09171113;      Burgkirchen a.d.Alz;.;.;.;.;.;.
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;-;-;-;-;-;-
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;288;661;267;616;21;45
09171119;      Halsbach;-;-;-;-;-;-
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;.;.;.;.;.;.
09171123;      Marktl, M;.;.;.;.;.;.
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;387;957;364;905;23;52
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;-;-;-;-;-;-
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;.;.;.;.;.;.
09171132;      Töging a.Inn, St;-;-;-;-;-;-
09171133;      Tüßling, M;-;-;-;-;-;-
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;.;.;.;.;.;.
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);72070;314400;61458;287630;10612;26770
09172111;      Ainring;3128;8276;2389;6319;739;1957
09172112;      Anger;372;1299;347;1219;25;80
09172114;      Bad Reichenhall, GKSt;11329;66052;10203;61534;1126;4518
09172115;      Bayerisch Gmain;2654;16991;2554;16717;100;274
09172116;      Berchtesgaden, M;18392;63331;14172;53978;4220;9353
09172117;      Bischofswiesen;5153;24073;4736;22729;417;1344
09172118;      Freilassing, St;1619;3314;1275;2492;344;822
09172122;      Laufen, St;559;1554;533;1495;26;59
09172124;      Marktschellenberg, M;697;3066;557;2790;140;276
09172128;      Piding;2123;5016;1859;4621;264;395
09172129;      Ramsau b.Berchtesgaden;5961;31235;5586;29994;375;1241
09172130;      Saaldorf-Surheim;479;1101;424;969;55;132
09172131;      Schneizlreuth;984;1972;753;1638;231;334
09172132;      Schönau a.Königssee;17608;83416;15099;77482;2509;5934
09172134;      Teisendorf, M;1012;3704;971;3653;41;51
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);39645;117651;35568;108866;4077;8785
09173111;      Bad Heilbrunn;737;2201;674;1945;63;256
09173112;      Bad Tölz, St;9599;35043;8155;31827;1444;3216
09173113;      Benediktbeuern;3424;9236;3348;9086;76;150
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;1206;2500;1140;2376;66;124
09173120;      Egling;1807;3415;1599;3059;208;356
09173123;      Eurasburg;221;392;216;379;5;13
09173124;      Gaißach;202;5259;202;5259;-;-
09173126;      Geretsried, St;1834;4860;1748;4384;86;476
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;-;-;-;-;-;-
09173131;      Jachenau;365;1597;353;1577;12;20
09173133;      Kochel a.See;5706;18688;5168;17521;538;1167
09173134;      Königsdorf;2258;4439;2071;3998;187;441
09173135;      Lenggries;6598;14789;5773;13302;825;1487
09173137;      Münsing;2974;7529;2660;6927;314;602
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;.;.;.;.;.;.
09173145;      Wackersberg;1113;3808;1066;3695;47;113
09173147;      Wolfratshausen, St;1211;2497;1044;2187;167;310
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);14790;31013;12010;25333;2780;5680
09174111;      Altomünster, M;789;1585;644;1366;145;219
09174113;      Bergkirchen;1717;3763;1475;3207;242;556
09174115;      Dachau, GKSt;5031;9714;3841;7495;1190;2219
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;592;1566;464;1196;128;370
09174126;      Karlsfeld;1315;2516;991;1908;324;608
09174131;      Markt Indersdorf, M;509;1789;411;1103;98;686
09174135;      Odelzhausen;1295;1917;1022;1518;273;399
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;547;1189;517;1099;30;90
09174143;      Schwabhausen;648;1465;566;1304;82;161
09174146;      Sulzemoos;877;2279;664;2035;213;244
09174147;      Hilgertshausen-Tandern;.;.;.;.;.;.
09174150;      Vierkirchen;.;.;.;.;.;.
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);17743;38252;14337;30159;3406;8093
09175111;      Anzing;539;1972;452;1656;87;316
09175112;      Aßling;.;.;.;.;.;.
