GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2022;;;;;;;
Monate: September;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;3793621;9959479;2979101;8162936;814520;1796543
091;  Oberbayern;1799784;4465872;1267652;3277233;532132;1188639
09161;    Ingolstadt (Krfr.St);38676;63664;29930;48770;8746;14894
09162;    München, Landeshauptstadt;780931;1727530;442025;936049;338906;791481
09163;    Rosenheim (Krfr.St);18221;31393;14738;25290;3483;6103
09171;    Altötting (Lkr);13739;28957;11763;24130;1976;4827
09171111;      Altötting, St;5103;10580;4402;9553;701;1027
09171112;      Burghausen, St;5564;10393;4911;8835;653;1558
09171113;      Burgkirchen a.d.Alz;25;504;9;88;16;416
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;.;.;.;.;.;.
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;443;977;350;815;93;162
09171119;      Halsbach;-;-;-;-;-;-
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;178;598;134;261;44;337
09171123;      Marktl, M;585;1130;416;864;169;266
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;204;871;140;568;64;303
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;-;-;-;-;-;-
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;-;-;-;-;-;-
09171132;      Töging a.Inn, St;.;.;.;.;.;.
09171133;      Tüßling, M;-;-;-;-;-;-
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;626;1521;548;1317;78;204
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);82944;321166;72084;295747;10860;25419
09172111;      Ainring;4066;10109;3496;8958;570;1151
09172112;      Anger;908;3582;875;3485;33;97
09172114;      Bad Reichenhall, GKSt;12972;54997;11473;51363;1499;3634
09172115;      Bayerisch Gmain;2477;15972;2362;15551;115;421
09172116;      Berchtesgaden, M;19964;69828;15673;60549;4291;9279
09172117;      Bischofswiesen;7317;27175;6823;25798;494;1377
09172118;      Freilassing, St;1570;3252;1300;2825;270;427
09172122;      Laufen, St;1214;3027;1022;2497;192;530
09172124;      Marktschellenberg, M;689;3303;641;3142;48;161
09172128;      Piding;2376;6085;2091;5698;285;387
09172129;      Ramsau b.Berchtesgaden;6510;31384;6036;30098;474;1286
09172130;      Saaldorf-Surheim;458;1604;433;1524;25;80
09172131;      Schneizlreuth;978;2752;843;2518;135;234
09172132;      Schönau a.Königssee;19652;82253;17386;76137;2266;6116
09172134;      Teisendorf, M;1793;5843;1630;5604;163;239
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);48159;141690;44127;132621;4032;9069
09173111;      Bad Heilbrunn;979;2217;841;1810;138;407
09173112;      Bad Tölz, St;6036;28242;5459;26870;577;1372
09173113;      Benediktbeuern;6016;10797;5837;10419;179;378
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;2266;4146;2064;3861;202;285
09173120;      Egling;1732;2761;1567;2493;165;268
09173123;      Eurasburg;725;1434;655;1306;70;128
09173124;      Gaißach;.;.;.;.;.;.
09173126;      Geretsried, St;1682;6149;1549;5754;133;395
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;.;.;.;.;.;.
09173131;      Jachenau;568;2465;547;2423;21;42
09173133;      Kochel a.See;6161;21960;5843;21112;318;848
09173134;      Königsdorf;2152;4965;1987;4479;165;486
09173135;      Lenggries;7436;21445;6933;20374;503;1071
09173137;      Münsing;3985;11029;3652;10202;333;827
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;1530;4032;1404;3844;126;188
09173145;      Wackersberg;4162;12234;3529;10757;633;1477
09173147;      Wolfratshausen, St;1340;2784;1045;2143;295;641
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);17396;46333;14507;39224;2889;7109
09174111;      Altomünster, M;509;1169;451;1021;58;148
09174113;      Bergkirchen;1961;4331;1460;2986;501;1345
09174115;      Dachau, GKSt;8400;25198;7171;22392;1229;2806
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;335;768;307;694;28;74
09174126;      Karlsfeld;470;1471;362;1257;108;214
09174131;      Markt Indersdorf, M;440;2170;350;1607;90;563
09174135;      Odelzhausen;.;.;.;.;.;.
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;322;1066;248;730;74;336
09174143;      Schwabhausen;775;1630;679;1432;96;198
09174146;      Sulzemoos;1368;3212;1108;2588;260;624
09174147;      Hilgertshausen-Tandern;.;.;.;.;.;.
09174150;      Vierkirchen;.;.;.;.;.;.
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);18993;43084;14542;33139;4451;9945
09175111;      Anzing;262;1363;183;878;79;485
09175112;      Aßling;.;.;.;.;.;.
