GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2006;;;;;;;
Monate: September;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;2810218;8153398;2185030;6905019;625188;1248379
091;  Oberbayern;1230363;3257505;857670;2486440;372693;771065
09161;    Ingolstadt (Krfr.St);21303;36684;15117;26261;6186;10423
09162;    München, Landeshauptstadt;465880;935260;240027;452646;225853;482614
09163;    Rosenheim (Krfr.St);11000;16087;7131;10360;3869;5727
09171;    Altötting (Lkr);13135;24682;10360;20254;2775;4428
09171111;      Altötting, St;6312;11618;4664;9171;1648;2447
09171112;      Burghausen, St;4619;7742;3707;6258;912;1484
09171113;      Burgkirchen a.d.Alz;.;.;.;.;.;.
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;-;-;-;-;-;-
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;426;854;360;698;66;156
09171119;      Halsbach;.;.;.;.;.;.
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;.;.;.;.;.;.
09171123;      Marktl, M;.;.;.;.;.;.
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;312;804;277;768;35;36
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;-;-;-;-;-;-
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;.;.;.;.;.;.
09171132;      Töging a.Inn, St;-;-;-;-;-;-
09171133;      Tüßling, M;.;.;.;.;.;.
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;.;.;.;.;.;.
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);68200;339620;59200;317444;9000;22176
09172111;      Ainring;2652;8912;2312;7536;340;1376
09172112;      Anger;439;2388;403;2238;36;150
09172114;      Bad Reichenhall, GKSt;12779;77851;11424;74055;1355;3796
09172115;      Bayerisch Gmain;3246;22580;3125;22319;121;261
09172116;      Berchtesgaden, M;13910;55964;11097;49389;2813;6575
09172117;      Bischofswiesen;4425;25020;4129;23654;296;1366
09172118;      Freilassing, St;2398;4491;1642;3085;756;1406
09172122;      Laufen, St;897;1897;841;1765;56;132
09172124;      Marktschellenberg, M;795;4014;590;3558;205;456
09172128;      Piding;1744;4664;1388;4067;356;597
09172129;      Ramsau b.Berchtesgaden;5909;34823;5687;34167;222;656
09172130;      Saaldorf-Surheim;430;933;414;866;16;67
09172131;      Schneizlreuth;1721;3220;1182;2674;539;546
09172132;      Schönau a.Königssee;15319;85657;13519;80988;1800;4669
09172134;      Teisendorf, M;1536;7206;1447;7083;89;123
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);35370;118671;31560;110624;3810;8047
09173111;      Bad Heilbrunn;604;1986;542;1864;62;122
09173112;      Bad Tölz, St;8405;38666;7075;35799;1330;2867
09173113;      Benediktbeuern;3641;10956;3504;10712;137;244
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;821;2110;758;1872;63;238
09173120;      Egling;1220;2418;686;1499;534;919
09173123;      Eurasburg;239;478;179;380;60;98
09173124;      Gaißach;344;4902;328;4856;16;46
09173126;      Geretsried, St;1925;6487;1813;6191;112;296
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;-;-;-;-;-;-
09173131;      Jachenau;406;2248;387;2205;19;43
09173133;      Kochel a.See;3922;13726;3600;13117;322;609
09173134;      Königsdorf;2521;5972;2422;5782;99;190
09173135;      Lenggries;5090;13025;4779;12335;311;690
09173137;      Münsing;2948;6664;2634;6031;314;633
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;701;1555;509;1229;192;326
09173145;      Wackersberg;875;3489;782;3078;93;411
09173147;      Wolfratshausen, St;1421;2826;1305;2560;116;266
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);12051;23690;9573;19576;2478;4114
09174111;      Altomünster, M;.;.;.;.;.;.
09174113;      Bergkirchen;1793;3724;1536;3262;257;462
09174115;      Dachau, GKSt;4850;8605;3498;6526;1352;2079
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;629;1228;494;924;135;304
09174126;      Karlsfeld;1140;2031;857;1445;283;586
09174131;      Markt Indersdorf, M;685;1361;608;1207;77;154
09174135;      Odelzhausen;775;1190;592;971;183;219
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;435;1023;407;969;28;54
09174143;      Schwabhausen;286;737;262;680;24;57
09174146;      Sulzemoos;.;.;.;.;.;.
09174147;      Hilgertshausen-Tandern;.;.;.;.;.;.
09174150;      Vierkirchen;-;-;-;-;-;-
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);17189;34725;13611;27408;3578;7317
09175111;      Anzing;555;1701;472;1443;83;258
09175112;      Aßling;.;.;.;.;.;.
09175113;      Baiern;.;.;.;.;.;.
