GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2023;;;;;;;
Monate: September;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;4110838;10405025;3180568;8399680;930270;2005345
091;  Oberbayern;1929070;4628474;1323638;3297809;605432;1330665
09161;    Ingolstadt (Krfr.St);43595;68556;32323;50002;11272;18554
09162;    München, Landeshauptstadt;841760;1819981;448388;922825;393372;897156
09163;    Rosenheim (Krfr.St);20699;34271;17036;28281;3663;5990
09171;    Altötting (Lkr);14954;30942;12724;25505;2230;5437
09171111;      Altötting, St;5018;10039;4471;9071;547;968
09171112;      Burghausen, St;6247;11431;5245;9808;1002;1623
09171113;      Burgkirchen a.d.Alz;29;533;14;87;15;446
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;.;.;.;.;.;.
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;423;972;324;746;99;226
09171119;      Halsbach;-;-;-;-;-;-
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;295;700;262;410;33;290
09171123;      Marktl, M;1105;2359;776;1597;329;762
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;.;.;.;.;.;.
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;-;-;-;-;-;-
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;-;-;-;-;-;-
09171132;      Töging a.Inn, St;.;.;.;.;.;.
09171133;      Tüßling, M;-;-;-;-;-;-
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;714;1567;655;1269;59;298
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);93488;345007;76522;307217;16966;37790
09172111;      Ainring;4226;10472;3420;9183;806;1289
09172112;      Anger;1074;3919;963;3512;111;407
09172114;      Bad Reichenhall, GKSt;13283;58705;11327;53797;1956;4908
09172115;      Bayerisch Gmain;2595;16498;2514;16246;81;252
09172116;      Berchtesgaden, M;22363;75438;15397;60476;6966;14962
09172117;      Bischofswiesen;9037;29089;7518;25930;1519;3159
09172118;      Freilassing, St;1755;3374;1421;2758;334;616
09172122;      Laufen, St;1533;4029;1315;3364;218;665
09172124;      Marktschellenberg, M;723;3534;614;3164;109;370
09172128;      Piding;3458;6334;2751;5242;707;1092
09172129;      Ramsau b.Berchtesgaden;7887;35193;7181;33257;706;1936
09172130;      Saaldorf-Surheim;401;1385;350;1240;51;145
09172131;      Schneizlreuth;1363;3430;1188;3127;175;303
09172132;      Schönau a.Königssee;21706;87622;18701;80268;3005;7354
09172134;      Teisendorf, M;2084;5985;1862;5653;222;332
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);47320;134305;43408;125301;3912;9004
09173111;      Bad Heilbrunn;1068;2263;940;1941;128;322
09173112;      Bad Tölz, St;7361;28394;6425;26267;936;2127
09173113;      Benediktbeuern;3558;6230;3556;6192;2;38
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;1707;3061;1487;2650;220;411
09173120;      Egling;1636;3055;1519;2859;117;196
09173123;      Eurasburg;611;1135;537;988;74;147
09173124;      Gaißach;.;.;.;.;.;.
09173126;      Geretsried, St;1832;6033;1728;5770;104;263
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;.;.;.;.;.;.
09173131;      Jachenau;706;3037;672;2942;34;95
09173133;      Kochel a.See;7842;25191;7334;23845;508;1346
09173134;      Königsdorf;2195;5108;1931;4352;264;756
09173135;      Lenggries;6450;18439;6213;17897;237;542
09173137;      Münsing;5018;13467;4701;12678;317;789
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;1478;3884;1356;3623;122;261
09173145;      Wackersberg;3020;7174;2716;6600;304;574
09173147;      Wolfratshausen, St;1464;3020;1097;2212;367;808
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);20562;49377;16012;40330;4550;9047
09174111;      Altomünster, M;761;1629;650;1300;111;329
09174113;      Bergkirchen;2150;4270;1608;3003;542;1267
09174115;      Dachau, GKSt;10399;27069;7909;23184;2490;3885
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;364;801;309;691;55;110
09174126;      Karlsfeld;577;1411;422;1068;155;343
09174131;      Markt Indersdorf, M;466;2158;355;1475;111;683
09174135;      Odelzhausen;.;.;.;.;.;.
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;306;996;235;634;71;362
09174143;      Schwabhausen;1044;2140;805;1681;239;459
09174146;      Sulzemoos;1355;3101;1077;2471;278;630
09174147;      Hilgertshausen-Tandern;321;837;320;834;1;3
09174150;      Vierkirchen;.;.;.;.;.;.
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);20110;40787;15175;30716;4935;10071
09175111;      Anzing;257;1516;214;1272;43;244
