GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2021;;;;;;;
Monate: September;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;3178502;9433713;2762717;8461652;415785;972061
091;  Oberbayern;1313623;3776639;1084537;3219100;229086;557539
09161;    Ingolstadt (Krfr.St);25480;43299;19965;33952;5515;9347
09162;    München, Landeshauptstadt;464185;1124862;331518;785858;132667;339004
09163;    Rosenheim (Krfr.St);13680;26469;11917;23406;1763;3063
09171;    Altötting (Lkr);11236;25427;10077;21745;1159;3682
09171111;      Altötting, St;3671;9073;3423;8710;248;363
09171112;      Burghausen, St;4843;8560;4341;7651;502;909
09171113;      Burgkirchen a.d.Alz;40;481;21;123;19;358
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;.;.;.;.;.;.
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;422;914;395;825;27;89
09171119;      Halsbach;-;-;-;-;-;-
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;255;903;216;459;39;444
09171123;      Marktl, M;390;754;333;677;57;77
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;153;754;109;387;44;367
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;-;-;-;-;-;-
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;-;-;-;-;-;-
09171132;      Töging a.Inn, St;.;.;.;.;.;.
09171133;      Tüßling, M;-;-;-;-;-;-
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;596;1814;492;1270;104;544
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);81130;344416;74042;327417;7088;16999
09172111;      Ainring;3304;10158;2965;9330;339;828
09172112;      Anger;627;2860;606;2801;21;59
09172114;      Bad Reichenhall, GKSt;11502;59517;10580;57252;922;2265
09172115;      Bayerisch Gmain;2358;17274;2294;17091;64;183
09172116;      Berchtesgaden, M;20429;77178;17758;71359;2671;5819
09172117;      Bischofswiesen;6085;25316;5793;24610;292;706
09172118;      Freilassing, St;1487;3259;1344;2983;143;276
09172122;      Laufen, St;1030;3049;885;2634;145;415
09172124;      Marktschellenberg, M;555;3462;516;3277;39;185
09172128;      Piding;3041;7282;2731;6883;310;399
09172129;      Ramsau b.Berchtesgaden;6581;34137;6295;33325;286;812
09172130;      Saaldorf-Surheim;365;1567;344;1507;21;60
09172131;      Schneizlreuth;1175;3354;1030;3147;145;207
09172132;      Schönau a.Königssee;20726;90465;19152;85862;1574;4603
09172134;      Teisendorf, M;1865;5538;1749;5356;116;182
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);45047;142970;43078;138694;1969;4276
09173111;      Bad Heilbrunn;972;2075;875;1779;97;296
09173112;      Bad Tölz, St;6811;30980;6453;30094;358;886
09173113;      Benediktbeuern;5083;10683;5081;10681;2;2
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;1353;2383;1305;2323;48;60
09173120;      Egling;1577;2932;1506;2825;71;107
09173123;      Eurasburg;617;1310;583;1251;34;59
09173124;      Gaißach;.;.;.;.;.;.
09173126;      Geretsried, St;982;3911;906;3609;76;302
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;.;.;.;.;.;.
09173131;      Jachenau;567;2622;550;2573;17;49
09173133;      Kochel a.See;6797;25061;6564;24573;233;488
09173134;      Königsdorf;1960;4839;1857;4579;103;260
09173135;      Lenggries;7356;22564;7145;22187;211;377
09173137;      Münsing;4291;12862;4063;12302;228;560
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;1493;4496;1437;4431;56;65
09173145;      Wackersberg;2753;7636;2543;7305;210;331
09173147;      Wolfratshausen, St;1320;3438;1171;3163;149;275
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);8490;21493;7329;18501;1161;2992
09174111;      Altomünster, M;600;1372;555;1308;45;64
09174113;      Bergkirchen;1649;3753;1360;3038;289;715
09174115;      Dachau, GKSt;2558;6706;2211;6132;347;574
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;182;451;176;441;6;10
09174126;      Karlsfeld;384;1064;333;933;51;131
09174131;      Markt Indersdorf, M;341;2218;272;1507;69;711
09174135;      Odelzhausen;.;.;.;.;.;.
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;260;773;201;559;59;214
09174143;      Schwabhausen;548;1473;490;1277;58;196
09174146;      Sulzemoos;.;.;.;.;.;.
09174147;      Hilgertshausen-Tandern;.;.;.;.;.;.
09174150;      Vierkirchen;.;.;.;.;.;.
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);14620;31816;12486;26906;2134;4910
09175111;      Anzing;164;1029;149;926;15;103
09175112;      Aßling;.;.;.;.;.;.
09175113;      Baiern;.;.;.;.;.;.
