GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2013;;;;;;;
Monate: September;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;3222992;8553738;2443759;6958439;779233;1595299
091;  Oberbayern;1477193;3604493;986855;2565481;490338;1039012
09161;    Ingolstadt (Krfr.St);24609;43214;18440;31397;6169;11817
09162;    München, Landeshauptstadt;608261;1239876;305645;570902;302616;668974
09163;    Rosenheim (Krfr.St);11509;17289;8115;12222;3394;5067
09171;    Altötting (Lkr);12162;23491;10145;19985;2017;3506
09171111;      Altötting, St;5811;10708;4946;9319;865;1389
09171112;      Burghausen, St;4639;8516;3757;6936;882;1580
09171113;      Burgkirchen a.d.Alz;.;.;.;.;.;.
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;-;-;-;-;-;-
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;134;306;127;293;7;13
09171119;      Halsbach;-;-;-;-;-;-
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;.;.;.;.;.;.
09171123;      Marktl, M;.;.;.;.;.;.
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;321;561;274;474;47;87
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;-;-;-;-;-;-
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;.;.;.;.;.;.
09171132;      Töging a.Inn, St;-;-;-;-;-;-
09171133;      Tüßling, M;-;-;-;-;-;-
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;.;.;.;.;.;.
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);68992;312263;57400;281523;11592;30740
09172111;      Ainring;3266;8277;2243;5771;1023;2506
09172112;      Anger;499;1598;459;1444;40;154
09172114;      Bad Reichenhall, GKSt;11610;65551;9875;58494;1735;7057
09172115;      Bayerisch Gmain;2226;19186;2126;18808;100;378
09172116;      Berchtesgaden, M;17850;61973;13754;52782;4096;9191
09172117;      Bischofswiesen;4674;22085;4274;20503;400;1582
09172118;      Freilassing, St;1701;3513;1209;2550;492;963
09172122;      Laufen, St;682;2053;636;1812;46;241
09172124;      Marktschellenberg, M;601;3015;495;2678;106;337
09172128;      Piding;1540;4118;1214;3658;326;460
09172129;      Ramsau b.Berchtesgaden;5795;30333;5340;29022;455;1311
09172130;      Saaldorf-Surheim;447;1217;399;1117;48;100
09172131;      Schneizlreuth;814;1622;650;1424;164;198
09172132;      Schönau a.Königssee;16474;84102;13921;77849;2553;6253
09172134;      Teisendorf, M;813;3620;805;3611;8;9
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);39483;116160;35085;106758;4398;9402
09173111;      Bad Heilbrunn;711;1919;619;1619;92;300
09173112;      Bad Tölz, St;9988;35154;8432;31879;1556;3275
09173113;      Benediktbeuern;3623;9763;3542;9640;81;123
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;1500;2927;1441;2829;59;98
09173120;      Egling;1622;3202;1365;2755;257;447
09173123;      Eurasburg;313;561;310;555;3;6
09173124;      Gaißach;.;.;.;.;.;.
09173126;      Geretsried, St;1744;4503;1624;4086;120;417
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;-;-;-;-;-;-
09173131;      Jachenau;346;1768;328;1724;18;44
09173133;      Kochel a.See;5072;16888;4524;15414;548;1474
09173134;      Königsdorf;2385;5238;2234;4705;151;533
09173135;      Lenggries;6922;15885;6243;14636;679;1249
09173137;      Münsing;2556;6573;2204;5907;352;666
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;.;.;.;.;.;.
09173145;      Wackersberg;801;2773;762;2692;39;81
09173147;      Wolfratshausen, St;1184;2514;788;2004;396;510
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);14354;29511;11326;23945;3028;5566
09174111;      Altomünster, M;742;1584;637;1384;105;200
09174113;      Bergkirchen;1712;3370;1387;2769;325;601
09174115;      Dachau, GKSt;4806;9309;3509;6969;1297;2340
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;557;1282;440;1059;117;223
09174126;      Karlsfeld;1488;2863;1058;2114;430;749
09174131;      Markt Indersdorf, M;660;1619;557;1308;103;311
09174135;      Odelzhausen;1267;1991;995;1551;272;440
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;609;1290;566;1217;43;73
09174143;      Schwabhausen;709;1721;554;1408;155;313
09174146;      Sulzemoos;677;1939;559;1792;118;147
09174147;      Hilgertshausen-Tandern;.;.;.;.;.;.
09174150;      Vierkirchen;.;.;.;.;.;.
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);17245;36682;13922;28955;3323;7727
09175111;      Anzing;486;2045;437;1718;49;327
09175112;      Aßling;.;.;.;.;.;.
