GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2017;;;;;;;
Monate: September;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;3770654;9544984;2803195;7567090;967459;1977894
091;  Oberbayern;1740860;4117851;1113065;2786379;627795;1331472
09161;    Ingolstadt (Krfr.St);31245;51565;22517;36875;8728;14690
09162;    München, Landeshauptstadt;748737;1573123;347891;678793;400846;894330
09163;    Rosenheim (Krfr.St);12101;20161;9100;14744;3001;5417
09171;    Altötting (Lkr);12965;27908;11051;22813;1914;5095
09171111;      Altötting, St;5668;12137;4829;10878;839;1259
09171112;      Burghausen, St;4402;7965;3765;6463;637;1502
09171113;      Burgkirchen a.d.Alz;80;561;66;235;14;326
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;-;-;-;-;-;-
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;299;594;264;524;35;70
09171119;      Halsbach;.;.;.;.;.;.
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;270;1254;187;463;83;791
09171123;      Marktl, M;325;797;229;609;96;188
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;.;.;.;.;.;.
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;.;.;.;.;.;.
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;-;-;-;-;-;-
09171132;      Töging a.Inn, St;.;.;.;.;.;.
09171133;      Tüßling, M;-;-;-;-;-;-
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;558;773;552;693;6;80
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);83173;323131;67502;288254;15671;34877
09172111;      Ainring;3282;7685;2722;6431;560;1254
09172112;      Anger;795;2918;687;2564;108;354
09172114;      Bad Reichenhall, GKSt;13778;66414;10599;58966;3179;7448
09172115;      Bayerisch Gmain;2785;18579;2643;18226;142;353
09172116;      Berchtesgaden, M;20117;65161;14538;52449;5579;12712
09172117;      Bischofswiesen;5084;22372;4561;21081;523;1291
09172118;      Freilassing, St;1953;3918;1622;3264;331;654
09172122;      Laufen, St;800;1767;768;1683;32;84
09172124;      Marktschellenberg, M;664;3206;574;2895;90;311
09172128;      Piding;2577;5910;2036;5183;541;727
09172129;      Ramsau b.Berchtesgaden;6537;30294;5926;28707;611;1587
09172130;      Saaldorf-Surheim;635;1850;597;1777;38;73
09172131;      Schneizlreuth;1558;3082;1405;2860;153;222
09172132;      Schönau a.Königssee;21398;85151;17749;77491;3649;7660
09172134;      Teisendorf, M;1210;4824;1075;4677;135;147
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);41888;121062;37821;112724;4067;8338
09173111;      Bad Heilbrunn;898;1875;809;1664;89;211
09173112;      Bad Tölz, St;7921;28696;7065;27156;856;1540
09173113;      Benediktbeuern;4636;10820;4598;10752;38;68
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;1465;3080;1340;2746;125;334
09173120;      Egling;1648;3120;1554;2940;94;180
09173123;      Eurasburg;.;.;.;.;.;.
09173124;      Gaißach;.;.;.;.;.;.
09173126;      Geretsried, St;1615;5204;1519;4827;96;377
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;.;.;.;.;.;.
09173131;      Jachenau;411;1615;385;1576;26;39
09173133;      Kochel a.See;6054;18074;5600;17078;454;996
09173134;      Königsdorf;1903;3579;1763;3325;140;254
09173135;      Lenggries;6780;19963;6000;18007;780;1956
09173137;      Münsing;2203;6085;1945;5441;258;644
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;1078;3223;993;3013;85;210
09173145;      Wackersberg;1690;4192;1599;4033;91;159
09173147;      Wolfratshausen, St;2296;3907;1507;2829;789;1078
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);16454;34883;13080;27976;3374;6907
09174111;      Altomünster, M;937;1880;866;1664;71;216
09174113;      Bergkirchen;2868;5636;2161;4170;707;1466
09174115;      Dachau, GKSt;6231;13825;4813;11143;1418;2682
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;508;1205;414;979;94;226
09174126;      Karlsfeld;1112;1935;794;1352;318;583
09174131;      Markt Indersdorf, M;382;999;362;970;20;29
09174135;      Odelzhausen;.;.;.;.;.;.
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;622;1480;533;1153;89;327
09174143;      Schwabhausen;673;1367;539;1085;134;282
09174146;      Sulzemoos;754;2019;477;1336;277;683
09174147;      Hilgertshausen-Tandern;.;.;.;.;.;.
09174150;      Vierkirchen;.;.;.;.;.;.
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);21219;45577;15995;33733;5224;11844
09175111;      Anzing;341;1769;308;1553;33;216
09175112;      Aßling;.;.;.;.;.;.
