GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2014;;;;;;;
Monate: September;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;3237121;8648469;2440488;7027316;796633;1621153
091;  Oberbayern;1487019;3643108;989345;2592879;497674;1050229
09161;    Ingolstadt (Krfr.St);25680;48267;18416;33353;7264;14914
09162;    München, Landeshauptstadt;622043;1268747;314048;591139;307995;677608
09163;    Rosenheim (Krfr.St);11233;17388;8378;12659;2855;4729
09171;    Altötting (Lkr);11861;25068;9727;20709;2134;4359
09171111;      Altötting, St;5373;11273;4488;9638;885;1635
09171112;      Burghausen, St;4869;9076;3846;7218;1023;1858
09171113;      Burgkirchen a.d.Alz;.;.;.;.;.;.
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;-;-;-;-;-;-
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;258;682;237;624;21;58
09171119;      Halsbach;-;-;-;-;-;-
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;.;.;.;.;.;.
09171123;      Marktl, M;.;.;.;.;.;.
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;295;784;248;562;47;222
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;-;-;-;-;-;-
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;.;.;.;.;.;.
09171132;      Töging a.Inn, St;-;-;-;-;-;-
09171133;      Tüßling, M;-;-;-;-;-;-
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;.;.;.;.;.;.
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);69115;307729;56999;278077;12116;29652
09172111;      Ainring;3183;7688;2229;5369;954;2319
09172112;      Anger;602;2159;499;1746;103;413
09172114;      Bad Reichenhall, GKSt;11549;62871;9943;57732;1606;5139
09172115;      Bayerisch Gmain;1910;18147;1833;17899;77;248
09172116;      Berchtesgaden, M;17425;61546;13082;52113;4343;9433
09172117;      Bischofswiesen;4563;21767;4037;20182;526;1585
09172118;      Freilassing, St;1595;3100;1016;1864;579;1236
09172122;      Laufen, St;636;1853;588;1392;48;461
09172124;      Marktschellenberg, M;708;3719;622;3473;86;246
09172128;      Piding;1689;4656;1440;4348;249;308
09172129;      Ramsau b.Berchtesgaden;5883;29943;5350;28424;533;1519
09172130;      Saaldorf-Surheim;534;1347;483;1182;51;165
09172131;      Schneizlreuth;1157;2615;1021;2406;136;209
09172132;      Schönau a.Königssee;16528;81328;13769;75033;2759;6295
09172134;      Teisendorf, M;1153;4990;1087;4914;66;76
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);39607;119367;35281;110926;4326;8441
09173111;      Bad Heilbrunn;690;1676;559;1401;131;275
09173112;      Bad Tölz, St;9143;33288;7878;30636;1265;2652
09173113;      Benediktbeuern;3919;8745;3842;8546;77;199
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;1307;2618;1249;2535;58;83
09173120;      Egling;1755;3183;1473;2740;282;443
09173123;      Eurasburg;240;465;240;465;-;-
09173124;      Gaißach;.;.;.;.;.;.
09173126;      Geretsried, St;1862;4756;1742;4519;120;237
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;-;-;-;-;-;-
09173131;      Jachenau;342;1681;328;1642;14;39
09173133;      Kochel a.See;5758;18596;5267;17556;491;1040
09173134;      Königsdorf;2247;4529;2096;4133;151;396
09173135;      Lenggries;6629;20222;5867;18736;762;1486
09173137;      Münsing;2503;6367;2215;5748;288;619
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;.;.;.;.;.;.
09173145;      Wackersberg;806;2799;780;2717;26;82
09173147;      Wolfratshausen, St;1766;3559;1115;2681;651;878
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);14076;28780;11085;23336;2991;5444
09174111;      Altomünster, M;805;1978;622;1675;183;303
09174113;      Bergkirchen;1377;2741;1174;2330;203;411
09174115;      Dachau, GKSt;4705;9043;3453;6722;1252;2321
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;599;1273;501;1102;98;171
09174126;      Karlsfeld;1459;2321;1075;1634;384;687
09174131;      Markt Indersdorf, M;617;1654;521;1428;96;226
09174135;      Odelzhausen;1420;1962;1160;1594;260;368
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;543;1319;475;1175;68;144
09174143;      Schwabhausen;641;1347;517;1135;124;212
09174146;      Sulzemoos;639;2184;404;1828;235;356
09174147;      Hilgertshausen-Tandern;.;.;.;.;.;.
09174150;      Vierkirchen;.;.;.;.;.;.
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);19041;38459;15205;30088;3836;8371
09175111;      Anzing;483;1765;464;1684;19;81
09175112;      Aßling;.;.;.;.;.;.
