GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2019;;;;;;;
Monate: September;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;3912970;9878315;2949178;7903273;963792;1975042
091;  Oberbayern;1809129;4315520;1191211;3006186;617918;1309334
09161;    Ingolstadt (Krfr.St);31535;53741;22210;37854;9325;15887
09162;    München, Landeshauptstadt;797595;1682264;401853;801305;395742;880959
09163;    Rosenheim (Krfr.St);16764;26227;12628;19807;4136;6420
09171;    Altötting (Lkr);13206;29227;11042;23313;2164;5914
09171111;      Altötting, St;5188;11500;4347;10121;841;1379
09171112;      Burghausen, St;5201;9620;4252;7719;949;1901
09171113;      Burgkirchen a.d.Alz;71;898;47;337;24;561
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;.;.;.;.;.;.
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;394;762;359;687;35;75
09171119;      Halsbach;-;-;-;-;-;-
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;284;851;210;337;74;514
09171123;      Marktl, M;368;866;283;621;85;245
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;.;.;.;.;.;.
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;-;-;-;-;-;-
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;-;-;-;-;-;-
09171132;      Töging a.Inn, St;.;.;.;.;.;.
09171133;      Tüßling, M;-;-;-;-;-;-
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;604;1094;599;1062;5;32
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);85871;336205;69350;301357;16521;34848
09172111;      Ainring;3675;8801;2959;7399;716;1402
09172112;      Anger;621;2334;555;2093;66;241
09172114;      Bad Reichenhall, GKSt;12752;63680;10430;57371;2322;6309
09172115;      Bayerisch Gmain;2619;18334;2399;17776;220;558
09172116;      Berchtesgaden, M;22746;71892;15517;58145;7229;13747
09172117;      Bischofswiesen;5456;21523;4971;20342;485;1181
09172118;      Freilassing, St;1722;3441;1350;2588;372;853
09172122;      Laufen, St;921;2781;877;2710;44;71
09172124;      Marktschellenberg, M;758;3401;680;3146;78;255
09172128;      Piding;2767;6651;2006;5752;761;899
09172129;      Ramsau b.Berchtesgaden;6931;31582;6248;29983;683;1599
09172130;      Saaldorf-Surheim;457;1479;424;1379;33;100
09172131;      Schneizlreuth;1211;3085;1035;2806;176;279
09172132;      Schönau a.Königssee;22018;92945;18781;85719;3237;7226
09172134;      Teisendorf, M;1217;4276;1118;4148;99;128
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);45660;130616;42495;122474;3165;8142
09173111;      Bad Heilbrunn;967;1864;869;1635;98;229
09173112;      Bad Tölz, St;8329;33168;7671;31199;658;1969
09173113;      Benediktbeuern;5584;12567;5557;12484;27;83
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;1583;2975;1452;2728;131;247
09173120;      Egling;1735;3061;1650;2919;85;142
09173123;      Eurasburg;528;1013;416;801;112;212
09173124;      Gaißach;.;.;.;.;.;.
09173126;      Geretsried, St;1326;4284;1219;4041;107;243
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;.;.;.;.;.;.
09173131;      Jachenau;707;2347;667;2272;40;75
09173133;      Kochel a.See;7387;21868;6929;20666;458;1202
09173134;      Königsdorf;2364;4107;2227;3844;137;263
09173135;      Lenggries;7329;20322;6945;19041;384;1281
09173137;      Münsing;2533;6942;2237;6189;296;753
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;1062;2842;1008;2702;54;140
09173145;      Wackersberg;1489;4207;1349;3866;140;341
09173147;      Wolfratshausen, St;1702;3305;1409;2633;293;672
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);15149;34132;12031;27231;3118;6901
09174111;      Altomünster, M;721;1204;617;1010;104;194
09174113;      Bergkirchen;2341;4532;1798;3351;543;1181
09174115;      Dachau, GKSt;6481;14785;4759;10982;1722;3803
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;311;819;269;742;42;77
09174126;      Karlsfeld;732;1695;508;1193;224;502
09174131;      Markt Indersdorf, M;588;2701;528;2384;60;317
09174135;      Odelzhausen;.;.;.;.;.;.
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;467;1087;398;930;69;157
09174143;      Schwabhausen;671;1596;573;1352;98;244
09174146;      Sulzemoos;541;1386;485;1313;56;73
09174147;      Hilgertshausen-Tandern;.;.;.;.;.;.
09174150;      Vierkirchen;.;.;.;.;.;.
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);20291;39444;15432;29666;4859;9778
09175111;      Anzing;286;998;204;695;82;303
09175112;      Aßling;.;.;.;.;.;.
