GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2015;;;;;;;
Monate: April;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;2430580;6129346;1857010;4948357;573570;1180989
091;  Oberbayern;1102401;2497608;751631;1763046;350770;734562
09161;    Ingolstadt (Krfr.St);19118;34580;14528;25017;4590;9563
09162;    München, Landeshauptstadt;530457;1066590;296770;556456;233687;510134
09163;    Rosenheim (Krfr.St);7085;12380;5555;9523;1530;2857
09171;    Altötting (Lkr);9412;19021;7636;15749;1776;3272
09171111;      Altötting, St;4176;8040;3247;6853;929;1187
09171112;      Burghausen, St;3899;7698;3243;6122;656;1576
09171113;      Burgkirchen a.d.Alz;.;.;.;.;.;.
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;-;-;-;-;-;-
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;184;334;178;328;6;6
09171119;      Halsbach;-;-;-;-;-;-
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;.;.;.;.;.;.
09171123;      Marktl, M;.;.;.;.;.;.
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;222;569;194;459;28;110
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;-;-;-;-;-;-
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;.;.;.;.;.;.
09171132;      Töging a.Inn, St;-;-;-;-;-;-
09171133;      Tüßling, M;-;-;-;-;-;-
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;.;.;.;.;.;.
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);36648;151017;30530;137002;6118;14015
09172111;      Ainring;1952;3916;1480;2939;472;977
09172112;      Anger;397;1091;344;935;53;156
09172114;      Bad Reichenhall, GKSt;9166;44260;7725;39951;1441;4309
09172115;      Bayerisch Gmain;1664;15797;1658;15777;6;20
09172116;      Berchtesgaden, M;8074;22377;5977;18581;2097;3796
09172117;      Bischofswiesen;2220;9667;2010;8974;210;693
09172118;      Freilassing, St;1256;2550;968;1846;288;704
09172122;      Laufen, St;426;1049;389;981;37;68
09172124;      Marktschellenberg, M;204;1308;180;1186;24;122
09172128;      Piding;662;2116;595;1958;67;158
09172129;      Ramsau b.Berchtesgaden;2362;8673;2053;7988;309;685
09172130;      Saaldorf-Surheim;420;985;385;892;35;93
09172131;      Schneizlreuth;579;1659;499;1455;80;204
09172132;      Schönau a.Königssee;6549;31348;5572;29350;977;1998
09172134;      Teisendorf, M;717;4221;695;4189;22;32
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);21820;72631;20351;68414;1469;4217
09173111;      Bad Heilbrunn;541;1399;438;1034;103;365
09173112;      Bad Tölz, St;4776;21744;4256;20316;520;1428
09173113;      Benediktbeuern;3460;8008;3414;7846;46;162
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;1099;2909;1085;2805;14;104
09173120;      Egling;967;2008;921;1872;46;136
09173123;      Eurasburg;.;.;.;.;.;.
09173124;      Gaißach;.;.;.;.;.;.
09173126;      Geretsried, St;1664;4172;1568;3798;96;374
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;-;-;-;-;-;-
09173131;      Jachenau;181;585;174;575;7;10
09173133;      Kochel a.See;2242;8311;2101;7945;141;366
09173134;      Königsdorf;1451;3421;1332;3140;119;281
09173135;      Lenggries;2200;6824;2124;6464;76;360
09173137;      Münsing;1596;3816;1410;3453;186;363
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;.;.;.;.;.;.
09173145;      Wackersberg;410;1232;395;1199;15;33
09173147;      Wolfratshausen, St;617;1940;533;1727;84;213
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);9787;21889;8180;17648;1607;4241
09174111;      Altomünster, M;573;1454;535;1374;38;80
09174113;      Bergkirchen;1082;2396;946;2055;136;341
09174115;      Dachau, GKSt;3473;6741;2699;5154;774;1587
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;374;1101;339;1000;35;101
09174126;      Karlsfeld;830;2118;673;1105;157;1013
09174131;      Markt Indersdorf, M;309;1220;284;1035;25;185
09174135;      Odelzhausen;718;1035;563;784;155;251
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;418;1055;404;1004;14;51
09174143;      Schwabhausen;587;1392;535;1280;52;112
09174146;      Sulzemoos;538;1409;369;991;169;418
09174147;      Hilgertshausen-Tandern;.;.;.;.;.;.
09174150;      Vierkirchen;.;.;.;.;.;.
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);13107;28992;11308;24052;1799;4940
09175111;      Anzing;335;1251;312;1178;23;73
09175112;      Aßling;.;.;.;.;.;.
09175113;      Baiern;.;.;.;.;.;.
