GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2014;;;;;;;
Monate: April;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;2368189;6148994;1815211;5001137;552978;1147857
091;  Oberbayern;1089279;2547109;744174;1811728;345105;735381
09161;    Ingolstadt (Krfr.St);19216;34990;14586;25832;4630;9158
09162;    München, Landeshauptstadt;519816;1072731;287833;558024;231983;514707
09163;    Rosenheim (Krfr.St);6514;11890;5184;9434;1330;2456
09171;    Altötting (Lkr);9702;19882;7774;16888;1928;2994
09171111;      Altötting, St;4073;7819;3567;7211;506;608
09171112;      Burghausen, St;4168;8413;2964;6542;1204;1871
09171113;      Burgkirchen a.d.Alz;.;.;.;.;.;.
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;-;-;-;-;-;-
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;164;411;150;370;14;41
09171119;      Halsbach;-;-;-;-;-;-
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;.;.;.;.;.;.
09171123;      Marktl, M;.;.;.;.;.;.
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;257;604;228;527;29;77
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;-;-;-;-;-;-
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;.;.;.;.;.;.
09171132;      Töging a.Inn, St;-;-;-;-;-;-
09171133;      Tüßling, M;-;-;-;-;-;-
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;.;.;.;.;.;.
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);39110;158752;33218;144408;5892;14344
09172111;      Ainring;1790;4534;1289;3348;501;1186
09172112;      Anger;380;977;357;894;23;83
09172114;      Bad Reichenhall, GKSt;7786;42480;6680;38361;1106;4119
09172115;      Bayerisch Gmain;1587;14353;1543;14212;44;141
09172116;      Berchtesgaden, M;9752;26919;7507;22761;2245;4158
09172117;      Bischofswiesen;2444;9580;2270;9061;174;519
09172118;      Freilassing, St;1257;2514;931;1732;326;782
09172122;      Laufen, St;527;1177;491;1115;36;62
09172124;      Marktschellenberg, M;384;1554;372;1526;12;28
09172128;      Piding;677;2339;619;2216;58;123
09172129;      Ramsau b.Berchtesgaden;2809;10370;2569;9718;240;652
09172130;      Saaldorf-Surheim;356;858;331;780;25;78
09172131;      Schneizlreuth;524;1837;473;1649;51;188
09172132;      Schönau a.Königssee;7822;35727;6782;33525;1040;2202
09172134;      Teisendorf, M;1015;3533;1004;3510;11;23
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);23082;75765;21409;71274;1673;4491
09173111;      Bad Heilbrunn;370;1075;314;908;56;167
09173112;      Bad Tölz, St;5377;24045;4742;22543;635;1502
09173113;      Benediktbeuern;3466;8462;3362;8142;104;320
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;1317;2943;1284;2892;33;51
09173120;      Egling;888;1969;804;1790;84;179
09173123;      Eurasburg;134;279;126;257;8;22
09173124;      Gaißach;.;.;.;.;.;.
09173126;      Geretsried, St;1446;4076;1377;3528;69;548
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;-;-;-;-;-;-
09173131;      Jachenau;171;690;148;605;23;85
09173133;      Kochel a.See;2373;7266;2225;6916;148;350
09173134;      Königsdorf;1587;3659;1495;3463;92;196
09173135;      Lenggries;2632;6883;2463;6635;169;248
09173137;      Münsing;1598;4370;1480;4049;118;321
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;.;.;.;.;.;.
09173145;      Wackersberg;648;1893;611;1673;37;220
09173147;      Wolfratshausen, St;606;2277;525;2018;81;259
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);10009;21701;8247;17719;1762;3982
09174111;      Altomünster, M;516;1258;462;1188;54;70
09174113;      Bergkirchen;976;2144;864;1906;112;238
09174115;      Dachau, GKSt;3520;7159;2622;5019;898;2140
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;354;915;324;838;30;77
09174126;      Karlsfeld;1133;1904;900;1422;233;482
09174131;      Markt Indersdorf, M;396;1279;370;1187;26;92
09174135;      Odelzhausen;741;1073;597;796;144;277
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;373;871;356;840;17;31
09174143;      Schwabhausen;489;1166;400;936;89;230
09174146;      Sulzemoos;468;1277;380;1103;88;174
09174147;      Hilgertshausen-Tandern;.;.;.;.;.;.
09174150;      Vierkirchen;.;.;.;.;.;.
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);11491;25211;9874;21736;1617;3475
09175111;      Anzing;351;1128;309;1004;42;124
09175112;      Aßling;.;.;.;.;.;.
09175113;      Baiern;.;.;.;.;.;.
09175114;      Bruck;-;-;-;-;-;-
