GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2013;;;;;;;
Monate: April;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;2318322;5813374;1747327;4609306;570995;1204068
091;  Oberbayern;1082799;2510274;721112;1719208;361687;791066
09161;    Ingolstadt (Krfr.St);20501;38283;15147;26113;5354;12170
09162;    München, Landeshauptstadt;507633;1060153;276770;541895;230863;518258
09163;    Rosenheim (Krfr.St);7241;12046;5303;8728;1938;3318
09171;    Altötting (Lkr);8793;18755;7269;15880;1524;2875
09171111;      Altötting, St;4520;8845;3810;7771;710;1074
09171112;      Burghausen, St;3061;6762;2432;5308;629;1454
09171113;      Burgkirchen a.d.Alz;.;.;.;.;.;.
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;-;-;-;-;-;-
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;178;374;158;340;20;34
09171119;      Halsbach;-;-;-;-;-;-
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;.;.;.;.;.;.
09171123;      Marktl, M;.;.;.;.;.;.
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;222;534;169;428;53;106
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;-;-;-;-;-;-
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;.;.;.;.;.;.
09171132;      Töging a.Inn, St;-;-;-;-;-;-
09171133;      Tüßling, M;-;-;-;-;-;-
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;.;.;.;.;.;.
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);30635;128517;25304;116197;5331;12320
09172111;      Ainring;1649;3989;1155;2857;494;1132
09172112;      Anger;303;722;256;599;47;123
09172114;      Bad Reichenhall, GKSt;7192;38793;6269;35715;923;3078
09172115;      Bayerisch Gmain;1440;13737;1411;13642;29;95
09172116;      Berchtesgaden, M;7501;19288;5537;15747;1964;3541
09172117;      Bischofswiesen;1640;6984;1554;6593;86;391
09172118;      Freilassing, St;1451;2869;1006;1862;445;1007
09172122;      Laufen, St;462;1169;427;953;35;216
09172124;      Marktschellenberg, M;221;802;208;769;13;33
09172128;      Piding;534;1662;419;1345;115;317
09172129;      Ramsau b.Berchtesgaden;1845;6686;1699;6425;146;261
09172130;      Saaldorf-Surheim;413;863;328;694;85;169
09172131;      Schneizlreuth;337;957;284;862;53;95
09172132;      Schönau a.Königssee;5003;26350;4125;24516;878;1834
09172134;      Teisendorf, M;644;3646;626;3618;18;28
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);25536;73796;21719;65139;3817;8657
09173111;      Bad Heilbrunn;531;1447;424;1026;107;421
09173112;      Bad Tölz, St;6122;21981;5055;19605;1067;2376
09173113;      Benediktbeuern;3473;8001;3256;7447;217;554
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;1176;2636;1121;2542;55;94
09173120;      Egling;1438;2962;1304;2653;134;309
09173123;      Eurasburg;110;240;88;158;22;82
09173124;      Gaißach;.;.;.;.;.;.
09173126;      Geretsried, St;1870;5296;1800;5106;70;190
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;-;-;-;-;-;-
09173131;      Jachenau;152;449;123;398;29;51
09173133;      Kochel a.See;2056;5726;1703;4808;353;918
09173134;      Königsdorf;1751;4119;1617;3845;134;274
09173135;      Lenggries;3360;7065;2238;4870;1122;2195
09173137;      Münsing;1948;5121;1724;4608;224;513
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;.;.;.;.;.;.
09173145;      Wackersberg;441;1218;380;1051;61;167
09173147;      Wolfratshausen, St;659;1896;469;1457;190;439
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);11576;25326;9644;20399;1932;4927
09174111;      Altomünster, M;612;1333;570;1260;42;73
09174113;      Bergkirchen;1308;2789;1141;2465;167;324
09174115;      Dachau, GKSt;3978;8379;3017;6061;961;2318
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;463;1457;367;1007;96;450
09174126;      Karlsfeld;1219;2307;962;1741;257;566
09174131;      Markt Indersdorf, M;450;1381;397;906;53;475
09174135;      Odelzhausen;956;1546;764;1234;192;312
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;403;924;387;887;16;37
09174143;      Schwabhausen;508;1293;449;1150;59;143
09174146;      Sulzemoos;480;1289;424;1186;56;103
09174147;      Hilgertshausen-Tandern;.;.;.;.;.;.
09174150;      Vierkirchen;.;.;.;.;.;.
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);14153;33908;11914;28176;2239;5732
09175111;      Anzing;526;1774;462;1511;64;263
09175112;      Aßling;.;.;.;.;.;.
09175113;      Baiern;.;.;.;.;.;.
