GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2021;;;;;;;
Monate: April;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;366615;1537244;318215;1333266;48400;203978
091;  Oberbayern;161416;650828;133982;536967;27434;113861
09161;    Ingolstadt (Krfr.St);4802;11920;4128;9452;674;2468
09162;    München, Landeshauptstadt;71099;251266;57184;189365;13915;61901
09163;    Rosenheim (Krfr.St);2116;4620;1862;4155;254;465
09171;    Altötting (Lkr);2532;7300;2307;5847;225;1453
09171111;      Altötting, St;791;2143;770;2110;21;33
09171112;      Burghausen, St;782;1496;716;1314;66;182
09171113;      Burgkirchen a.d.Alz;32;381;19;230;13;151
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;.;.;.;.;.;.
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;145;395;142;390;3;5
09171119;      Halsbach;-;-;-;-;-;-
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;147;791;74;188;73;603
09171123;      Marktl, M;10;94;10;94;-;-
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;.;.;.;.;.;.
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;-;-;-;-;-;-
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;-;-;-;-;-;-
09171132;      Töging a.Inn, St;.;.;.;.;.;.
09171133;      Tüßling, M;-;-;-;-;-;-
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;224;485;222;483;2;2
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);3691;31884;3444;31112;247;772
09172111;      Ainring;126;246;120;229;6;17
09172112;      Anger;.;.;.;.;.;.
09172114;      Bad Reichenhall, GKSt;1172;14906;1091;14738;81;168
09172115;      Bayerisch Gmain;184;3796;181;3775;3;21
09172116;      Berchtesgaden, M;456;2735;427;2644;29;91
09172117;      Bischofswiesen;210;1502;209;1499;1;3
09172118;      Freilassing, St;492;1373;451;1172;41;201
09172122;      Laufen, St;79;181;70;167;9;14
09172124;      Marktschellenberg, M;.;.;.;.;.;.
09172128;      Piding;408;2360;387;2339;21;21
09172129;      Ramsau b.Berchtesgaden;4;123;3;122;1;1
09172130;      Saaldorf-Surheim;122;478;103;422;19;56
09172131;      Schneizlreuth;-;-;-;-;-;-
09172132;      Schönau a.Königssee;333;3992;312;3831;21;161
09172134;      Teisendorf, M;81;140;66;122;15;18
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);2927;16122;2717;15221;210;901
09173111;      Bad Heilbrunn;241;767;190;589;51;178
09173112;      Bad Tölz, St;760;7011;707;6751;53;260
09173113;      Benediktbeuern;29;87;29;87;-;-
09173115;      Bichl;-;-;-;-;-;-
09173118;      Dietramszell;124;332;114;237;10;95
09173120;      Egling;404;823;381;789;23;34
09173123;      Eurasburg;111;250;105;195;6;55
09173124;      Gaißach;.;.;.;.;.;.
09173126;      Geretsried, St;296;1886;283;1742;13;144
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;.;.;.;.;.;.
09173131;      Jachenau;2;2;2;2;-;-
09173133;      Kochel a.See;34;67;34;67;-;-
09173134;      Königsdorf;.;.;.;.;.;.
09173135;      Lenggries;70;369;65;360;5;9
09173137;      Münsing;206;463;200;450;6;13
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;125;236;117;206;8;30
09173145;      Wackersberg;42;165;42;165;-;-
09173147;      Wolfratshausen, St;182;494;170;474;12;20
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);2944;9728;2754;9027;190;701
09174111;      Altomünster, M;133;782;125;767;8;15
09174113;      Bergkirchen;757;2090;715;1870;42;220
09174115;      Dachau, GKSt;873;2975;835;2890;38;85
09174118;      Erdweg;-;-;-;-;-;-
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;66;210;65;199;1;11
09174126;      Karlsfeld;200;503;176;453;24;50
09174131;      Markt Indersdorf, M;163;726;158;690;5;36
09174135;      Odelzhausen;.;.;.;.;.;.
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;97;424;84;312;13;112
09174143;      Schwabhausen;163;674;145;612;18;62
09174146;      Sulzemoos;.;.;.;.;.;.
09174147;      Hilgertshausen-Tandern;.;.;.;.;.;.
09174150;      Vierkirchen;.;.;.;.;.;.
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);3194;12470;2744;10508;450;1962
09175111;      Anzing;.;.;.;.;.;.
09175112;      Aßling;.;.;.;.;.;.
09175113;      Baiern;.;.;.;.;.;.
09175114;      Bruck;-;-;-;-;-;-
09175115;      Ebersberg, St;400;1852;326;1521;74;331
09175116;      Egmating;.;.;.;.;.;.
09175118;      Forstinning;160;472;125;315;35;157
09175119;      Frauenneuharting;-;-;-;-;-;-
