GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2018;;;;;;;
Monate: April;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;2904803;7057352;2188770;5576905;716033;1480447
091;  Oberbayern;1349827;3006514;910595;2074130;439232;932384
09161;    Ingolstadt (Krfr.St);24380;41495;18622;30149;5758;11346
09162;    München, Landeshauptstadt;664745;1366589;375445;717023;289300;649566
09163;    Rosenheim (Krfr.St);10295;17743;7855;13357;2440;4386
09171;    Altötting (Lkr);10668;24608;9117;20317;1551;4291
09171111;      Altötting, St;3644;8291;3040;7177;604;1114
09171112;      Burghausen, St;4668;9407;4020;8169;648;1238
09171113;      Burgkirchen a.d.Alz;67;749;48;349;19;400
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;-;-;-;-;-;-
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;216;591;206;558;10;33
09171119;      Halsbach;.;.;.;.;.;.
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;166;901;99;333;67;568
09171123;      Marktl, M;255;649;176;438;79;211
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;.;.;.;.;.;.
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;-;-;-;-;-;-
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;-;-;-;-;-;-
09171132;      Töging a.Inn, St;.;.;.;.;.;.
09171133;      Tüßling, M;-;-;-;-;-;-
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;696;1122;691;1062;5;60
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);44314;162015;35279;144465;9035;17550
09172111;      Ainring;2035;4881;1610;4102;425;779
09172112;      Anger;479;1481;412;1328;67;153
09172114;      Bad Reichenhall, GKSt;9216;44926;6980;40194;2236;4732
09172115;      Bayerisch Gmain;2164;16594;2063;16398;101;196
09172116;      Berchtesgaden, M;11298;27569;8583;22460;2715;5109
09172117;      Bischofswiesen;2220;9035;2004;8486;216;549
09172118;      Freilassing, St;1162;2480;856;1874;306;606
09172122;      Laufen, St;.;.;.;.;.;.
09172124;      Marktschellenberg, M;248;979;220;871;28;108
09172128;      Piding;1456;3620;1038;3064;418;556
09172129;      Ramsau b.Berchtesgaden;2842;8886;2443;8129;399;757
09172130;      Saaldorf-Surheim;.;.;.;.;.;.
09172131;      Schneizlreuth;498;1110;474;1064;24;46
09172132;      Schönau a.Königssee;8855;33693;6956;30078;1899;3615
09172134;      Teisendorf, M;811;4525;698;4374;113;151
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);25098;76420;23144;72038;1954;4382
09173111;      Bad Heilbrunn;572;1305;498;1112;74;193
09173112;      Bad Tölz, St;4825;23061;4409;22288;416;773
09173113;      Benediktbeuern;3472;7717;3425;7569;47;148
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;1341;2994;1265;2860;76;134
09173120;      Egling;1098;2290;1045;2188;53;102
09173123;      Eurasburg;.;.;.;.;.;.
09173124;      Gaißach;.;.;.;.;.;.
09173126;      Geretsried, St;1283;4375;1211;4149;72;226
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;.;.;.;.;.;.
09173131;      Jachenau;197;500;179;469;18;31
09173133;      Kochel a.See;3171;7293;2796;6424;375;869
09173134;      Königsdorf;1785;3731;1681;3530;104;201
09173135;      Lenggries;2440;6555;2212;5904;228;651
09173137;      Münsing;1718;5130;1582;4795;136;335
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;638;1905;589;1812;49;93
09173145;      Wackersberg;612;1600;583;1550;29;50
09173147;      Wolfratshausen, St;974;1979;824;1618;150;361
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);12697;29768;9914;23352;2783;6416
09174111;      Altomünster, M;382;1590;351;1544;31;46
09174113;      Bergkirchen;2094;4125;1704;3125;390;1000
09174115;      Dachau, GKSt;5712;13481;3991;9639;1721;3842
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;376;1035;327;917;49;118
09174126;      Karlsfeld;598;1430;400;1015;198;415
09174131;      Markt Indersdorf, M;373;841;347;776;26;65
09174135;      Odelzhausen;.;.;.;.;.;.
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;421;1125;349;902;72;223
09174143;      Schwabhausen;556;1492;502;1340;54;152
09174146;      Sulzemoos;631;1623;550;1349;81;274
09174147;      Hilgertshausen-Tandern;.;.;.;.;.;.
09174150;      Vierkirchen;.;.;.;.;.;.
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);15552;32997;12684;26846;2868;6151
09175111;      Anzing;236;1114;223;1076;13;38
09175112;      Aßling;.;.;.;.;.;.
09175113;      Baiern;.;.;.;.;.;.
