GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2023;;;;;;;
Monate: Februar;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;2238236;5969625;1718106;4785410;520130;1184215
091;  Oberbayern;1083898;2634503;765485;1938792;318413;695711
09161;    Ingolstadt (Krfr.St);27298;46063;18678;31718;8620;14345
09162;    München, Landeshauptstadt;504065;1078787;318766;657224;185299;421563
09163;    Rosenheim (Krfr.St);12822;19635;9412;14807;3410;4828
09171;    Altötting (Lkr);6809;15087;5904;11962;905;3125
09171111;      Altötting, St;2329;4723;2073;4320;256;403
09171112;      Burghausen, St;2421;4630;2147;3841;274;789
09171113;      Burgkirchen a.d.Alz;29;360;14;107;15;253
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;.;.;.;.;.;.
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;211;493;192;436;19;57
09171119;      Halsbach;-;-;-;-;-;-
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;138;575;107;288;31;287
09171123;      Marktl, M;282;1015;182;525;100;490
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;.;.;.;.;.;.
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;-;-;-;-;-;-
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;-;-;-;-;-;-
09171132;      Töging a.Inn, St;.;.;.;.;.;.
09171133;      Tüßling, M;-;-;-;-;-;-
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;551;962;470;700;81;262
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);41576;160842;34544;142899;7032;17943
09172111;      Ainring;2442;5484;2002;4865;440;619
09172112;      Anger;565;1634;520;1468;45;166
09172114;      Bad Reichenhall, GKSt;8083;34682;6467;31700;1616;2982
09172115;      Bayerisch Gmain;2097;12635;2021;12466;76;169
09172116;      Berchtesgaden, M;10375;38132;7921;31576;2454;6556
09172117;      Bischofswiesen;3970;15496;3621;14250;349;1246
09172118;      Freilassing, St;883;1709;776;1506;107;203
09172122;      Laufen, St;781;1893;624;1428;157;465
09172124;      Marktschellenberg, M;161;767;147;707;14;60
09172128;      Piding;835;2175;604;1913;231;262
09172129;      Ramsau b.Berchtesgaden;2582;10369;2291;9441;291;928
09172130;      Saaldorf-Surheim;311;689;256;614;55;75
09172131;      Schneizlreuth;211;473;107;368;104;105
09172132;      Schönau a.Königssee;6833;30933;5926;27131;907;3802
09172134;      Teisendorf, M;1447;3771;1261;3466;186;305
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);18946;63862;17328;60131;1618;3731
09173111;      Bad Heilbrunn;418;1157;328;897;90;260
09173112;      Bad Tölz, St;3576;19770;3182;18655;394;1115
09173113;      Benediktbeuern;1845;4728;1841;4713;4;15
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;979;1659;819;1446;160;213
09173120;      Egling;873;1590;785;1475;88;115
09173123;      Eurasburg;385;653;316;565;69;88
09173124;      Gaißach;.;.;.;.;.;.
09173126;      Geretsried, St;1163;3972;1128;3773;35;199
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;.;.;.;.;.;.
09173131;      Jachenau;351;1357;337;1337;14;20
09173133;      Kochel a.See;1184;2845;1103;2667;81;178
09173134;      Königsdorf;674;1554;640;1455;34;99
09173135;      Lenggries;3718;14318;3585;13854;133;464
09173137;      Münsing;1042;2033;970;1891;72;142
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;870;1740;779;1560;91;180
09173145;      Wackersberg;607;1792;572;1640;35;152
09173147;      Wolfratshausen, St;483;951;341;669;142;282
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);9191;29503;7450;24313;1741;5190
09174111;      Altomünster, M;354;766;307;642;47;124
09174113;      Bergkirchen;1260;2689;954;2190;306;499
09174115;      Dachau, GKSt;4125;17480;3466;14587;659;2893
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;101;248;101;248;-;-
09174126;      Karlsfeld;415;1029;354;886;61;143
09174131;      Markt Indersdorf, M;236;1594;186;1070;50;524
09174135;      Odelzhausen;.;.;.;.;.;.
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;167;493;126;387;41;106
09174143;      Schwabhausen;513;1338;400;1090;113;248
09174146;      Sulzemoos;458;971;360;788;98;183
09174147;      Hilgertshausen-Tandern;.;.;.;.;.;.
09174150;      Vierkirchen;.;.;.;.;.;.
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);12641;25222;9241;19341;3400;5881
09175111;      Anzing;188;1000;148;777;40;223
09175112;      Aßling;.;.;.;.;.;.
09175113;      Baiern;.;.;.;.;.;.
09175114;      Bruck;-;-;-;-;-;-
