GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2016;;;;;;;
Monate: Februar;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09175137;      Steinhöring;.;.;.;.;.;.
09175139;      Zorneding;1059;2084;830;1638;229;446
09175444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09176;    Eichstätt (Lkr);23511;43334;18927;36451;4584;6883
09176111;      Adelschlag;.;.;.;.;.;.
09176112;      Altmannstein, M;98;296;84;271;14;25
09176114;      Beilngries, St;5482;10623;4944;9937;538;686
09176116;      Böhmfeld;.;.;.;.;.;.
09176118;      Buxheim;.;.;.;.;.;.
09176120;      Denkendorf;2486;3390;1468;2108;1018;1282
09176121;      Dollnstein, M;.;.;.;.;.;.
09176122;      Egweil;-;-;-;-;-;-
09176123;      Eichstätt, GKSt;1852;3316;1681;2981;171;335
09176124;      Eitensheim;-;-;-;-;-;-
09176126;      Gaimersheim, M;1456;3188;1145;2466;311;722
09176129;      Großmehring;395;1301;286;832;109;469
09176131;      Hepberg;.;.;.;.;.;.
09176132;      Hitzhofen;-;-;-;-;-;-
09176137;      Kinding, M;2352;3130;1427;2101;925;1029
09176138;      Kipfenberg, M;2036;3511;1416;2527;620;984
09176139;      Kösching, M;.;.;.;.;.;.
09176143;      Lenting;3546;5994;2837;5206;709;788
09176147;      Mindelstetten;.;.;.;.;.;.
09176148;      Mörnsheim, M;.;.;.;.;.;.
09176149;      Nassenfels, M;.;.;.;.;.;.
09176150;      Oberdolling;-;-;-;-;-;-
09176153;      Pförring, M;-;-;-;-;-;-
09176155;      Pollenfeld;.;.;.;.;.;.
09176160;      Schernfeld;64;156;60;138;4;18
09176161;      Stammham;.;.;.;.;.;.
09176164;      Titting, M;1589;2936;1557;2893;32;43
09176165;      Walting;.;.;.;.;.;.
09176166;      Wellheim, M;309;758;297;626;12;132
09176167;      Wettstetten;-;-;-;-;-;-
09176444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09177;    Erding (Lkr);53782;86072;30120;52127;23662;33945
09177112;      Berglern;-;-;-;-;-;-
09177113;      Bockhorn;-;-;-;-;-;-
09177114;      Buch a.Buchrain;365;564;284;449;81;115
09177115;      Dorfen, St;421;740;341;648;80;92
09177116;      Eitting;592;1814;508;1583;84;231
09177117;      Erding, GKSt;21188;36606;13917;24262;7271;12344
09177118;      Finsing;890;1843;820;1718;70;125
09177119;      Forstern;-;-;-;-;-;-
09177120;      Fraunberg;.;.;.;.;.;.
09177121;      Hohenpolding;.;.;.;.;.;.
09177122;      Inning a.Holz;.;.;.;.;.;.
