GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2009;;;;;;;
Monate: Februar;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;1648747;4943582;1283293;4083393;365454;860189
091;  Oberbayern;740540;1963964;530600;1490445;209940;473519
09161;    Ingolstadt (Krfr.St);15198;28163;10225;19214;4973;8949
09162;    München, Landeshauptstadt;305105;604183;193300;356850;111805;247333
09163;    Rosenheim (Krfr.St);6484;9138;3642;5548;2842;3590
09171;    Altötting (Lkr);4544;10291;3133;7082;1411;3209
09171111;      Altötting, St;1884;3976;945;1966;939;2010
09171112;      Burghausen, St;1778;3859;1407;3036;371;823
09171113;      Burgkirchen a.d.Alz;.;.;.;.;.;.
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;-;-;-;-;-;-
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;118;358;113;340;5;18
09171119;      Halsbach;-;-;-;-;-;-
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;.;.;.;.;.;.
09171123;      Marktl, M;.;.;.;.;.;.
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;143;591;124;426;19;165
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;-;-;-;-;-;-
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;.;.;.;.;.;.
09171132;      Töging a.Inn, St;-;-;-;-;-;-
09171133;      Tüßling, M;.;.;.;.;.;.
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;.;.;.;.;.;.
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);29617;164556;23925;135577;5692;28979
09172111;      Ainring;1018;2637;791;2165;227;472
09172112;      Anger;191;1147;178;1067;13;80
09172114;      Bad Reichenhall, GKSt;5780;31590;5170;30138;610;1452
09172115;      Bayerisch Gmain;1510;13696;1446;13422;64;274
09172116;      Berchtesgaden, M;6392;33551;4506;22406;1886;11145
09172117;      Bischofswiesen;1926;11652;1737;10660;189;992
09172118;      Freilassing, St;1289;2606;1057;2154;232;452
09172122;      Laufen, St;409;921;290;704;119;217
09172124;      Marktschellenberg, M;344;1367;285;1088;59;279
09172128;      Piding;580;2110;555;2040;25;70
09172129;      Ramsau b.Berchtesgaden;1737;9896;1646;9404;91;492
09172130;      Saaldorf-Surheim;188;457;119;262;69;195
09172131;      Schneizlreuth;386;1284;270;1145;116;139
09172132;      Schönau a.Königssee;7097;49778;5155;37108;1942;12670
09172134;      Teisendorf, M;770;1864;720;1814;50;50
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);18191;59370;16463;54882;1728;4488
09173111;      Bad Heilbrunn;225;635;214;605;11;30
09173112;      Bad Tölz, St;4138;16987;3512;15774;626;1213
09173113;      Benediktbeuern;1691;4578;1679;4555;12;23
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;686;2039;679;2032;7;7
09173120;      Egling;511;914;215;441;296;473
09173123;      Eurasburg;79;167;70;156;9;11
09173124;      Gaißach;251;5400;237;5302;14;98
09173126;      Geretsried, St;1478;5084;1424;4941;54;143
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;-;-;-;-;-;-
09173131;      Jachenau;189;645;164;494;25;151
09173133;      Kochel a.See;743;2608;608;1877;135;731
09173134;      Königsdorf;1567;2842;1540;2810;27;32
09173135;      Lenggries;4289;11837;4017;10842;272;995
09173137;      Münsing;828;1834;804;1763;24;71
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;321;577;285;523;36;54
09173145;      Wackersberg;459;1449;438;1365;21;84
09173147;      Wolfratshausen, St;568;1152;438;809;130;343
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);5902;11727;5014;10011;888;1716
09174111;      Altomünster, M;120;413;65;278;55;135
09174113;      Bergkirchen;837;1846;760;1717;77;129
09174115;      Dachau, GKSt;2248;3924;1920;3340;328;584
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;154;424;137;340;17;84
09174126;      Karlsfeld;605;1151;505;843;100;308
09174131;      Markt Indersdorf, M;442;947;420;907;22;40
09174135;      Odelzhausen;475;688;256;351;219;337
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;129;315;121;295;8;20
09174143;      Schwabhausen;111;397;104;387;7;10
09174146;      Sulzemoos;.;.;.;.;.;.
09174147;      Hilgertshausen-Tandern;.;.;.;.;.;.
09174150;      Vierkirchen;-;-;-;-;-;-
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);10116;21568;8053;17078;2063;4490
09175111;      Anzing;488;1402;373;1236;115;166
09175112;      Aßling;.;.;.;.;.;.
09175113;      Baiern;.;.;.;.;.;.
09175114;      Bruck;-;-;-;-;-;-
09175115;      Ebersberg, St;649;1142;324;624;325;518
