GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2019;;;;;;;
Monate: Februar;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;2551120;6354774;1898718;4975662;652402;1379112
091;  Oberbayern;1255020;2813948;843577;1962788;411443;851160
09161;    Ingolstadt (Krfr.St);26506;41706;18335;28997;8171;12709
09162;    München, Landeshauptstadt;575581;1129672;335406;624080;240175;505592
09163;    Rosenheim (Krfr.St);10765;15320;7509;10895;3256;4425
09171;    Altötting (Lkr);6357;14454;5644;11729;713;2725
09171111;      Altötting, St;2088;4761;1996;4623;92;138
09171112;      Burghausen, St;2475;4495;2047;3671;428;824
09171113;      Burgkirchen a.d.Alz;49;631;35;235;14;396
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;.;.;.;.;.;.
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;223;427;216;410;7;17
09171119;      Halsbach;-;-;-;-;-;-
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;138;668;81;145;57;523
09171123;      Marktl, M;47;121;36;110;11;11
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;.;.;.;.;.;.
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;-;-;-;-;-;-
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;-;-;-;-;-;-
09171132;      Töging a.Inn, St;.;.;.;.;.;.
09171133;      Tüßling, M;-;-;-;-;-;-
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;527;870;525;854;2;16
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);39370;161868;30806;136038;8564;25830
09172111;      Ainring;2184;4431;1570;3429;614;1002
09172112;      Anger;448;1472;371;1168;77;304
09172114;      Bad Reichenhall, GKSt;7049;32850;5452;29096;1597;3754
09172115;      Bayerisch Gmain;2108;14266;1980;13980;128;286
09172116;      Berchtesgaden, M;10291;37153;7303;27821;2988;9332
09172117;      Bischofswiesen;2084;8628;1847;7610;237;1018
09172118;      Freilassing, St;842;1771;754;1527;88;244
09172122;      Laufen, St;424;889;383;778;41;111
09172124;      Marktschellenberg, M;134;542;114;470;20;72
09172128;      Piding;1086;2540;620;1984;466;556
09172129;      Ramsau b.Berchtesgaden;2897;11140;2615;10180;282;960
09172130;      Saaldorf-Surheim;456;1087;411;989;45;98
09172131;      Schneizlreuth;497;968;306;693;191;275
09172132;      Schönau a.Königssee;8268;40584;6485;32778;1783;7806
09172134;      Teisendorf, M;602;3547;595;3535;7;12
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);24610;74707;22844;70107;1766;4600
09173111;      Bad Heilbrunn;405;836;369;693;36;143
09173112;      Bad Tölz, St;4578;19995;4311;19337;267;658
09173113;      Benediktbeuern;2274;5150;2256;5042;18;108
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;841;1592;737;1415;104;177
09173120;      Egling;1056;1927;970;1825;86;102
09173123;      Eurasburg;317;613;251;470;66;143
09173124;      Gaißach;.;.;.;.;.;.
09173126;      Geretsried, St;1159;4576;1111;4459;48;117
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;.;.;.;.;.;.
09173131;      Jachenau;405;961;345;834;60;127
09173133;      Kochel a.See;1465;3551;1297;3221;168;330
09173134;      Königsdorf;1576;2922;1494;2724;82;198
09173135;      Lenggries;6723;21316;6336;19736;387;1580
09173137;      Münsing;1001;1941;929;1820;72;121
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;657;1228;617;1140;40;88
09173145;      Wackersberg;698;1940;613;1705;85;235
09173147;      Wolfratshausen, St;886;1598;691;1236;195;362
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);10321;23475;8125;19319;2196;4156
09174111;      Altomünster, M;408;954;347;850;61;104
09174113;      Bergkirchen;1716;3212;1341;2581;375;631
09174115;      Dachau, GKSt;4516;10280;3541;8403;975;1877
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;200;646;186;626;14;20
09174126;      Karlsfeld;586;1218;398;863;188;355
09174131;      Markt Indersdorf, M;395;1605;322;1309;73;296
09174135;      Odelzhausen;.;.;.;.;.;.
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;209;510;159;441;50;69
09174143;      Schwabhausen;361;1076;301;881;60;195
09174146;      Sulzemoos;426;1066;290;847;136;219
09174147;      Hilgertshausen-Tandern;.;.;.;.;.;.
09174150;      Vierkirchen;.;.;.;.;.;.
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);16185;33210;11690;24311;4495;8899
09175111;      Anzing;248;986;193;744;55;242
09175112;      Aßling;.;.;.;.;.;.
09175113;      Baiern;.;.;.;.;.;.
09175114;      Bruck;-;-;-;-;-;-
