GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2014;;;;;;;
Monate: Februar;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;1986987;5193687;1511073;4167450;475914;1026237
091;  Oberbayern;938281;2187646;649479;1586329;288802;601317
09161;    Ingolstadt (Krfr.St);19672;33382;13494;22773;6178;10609
09162;    München, Landeshauptstadt;418070;804339;249884;450997;168186;353342
09163;    Rosenheim (Krfr.St);7354;10858;4994;7498;2360;3360
09171;    Altötting (Lkr);5749;12621;5137;10998;612;1623
09171111;      Altötting, St;2444;4890;2377;4756;67;134
09171112;      Burghausen, St;2360;4885;1996;4080;364;805
09171113;      Burgkirchen a.d.Alz;.;.;.;.;.;.
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;-;-;-;-;-;-
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;99;216;92;209;7;7
09171119;      Halsbach;-;-;-;-;-;-
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;.;.;.;.;.;.
09171123;      Marktl, M;.;.;.;.;.;.
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;138;362;132;354;6;8
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;-;-;-;-;-;-
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;.;.;.;.;.;.
09171132;      Töging a.Inn, St;-;-;-;-;-;-
09171133;      Tüßling, M;-;-;-;-;-;-
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;.;.;.;.;.;.
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);31150;140404;25886;119283;5264;21121
09172111;      Ainring;1267;2564;804;1738;463;826
09172112;      Anger;322;767;292;691;30;76
09172114;      Bad Reichenhall, GKSt;5208;28064;4587;25929;621;2135
09172115;      Bayerisch Gmain;1037;10063;1008;9936;29;127
09172116;      Berchtesgaden, M;8621;30634;6763;22318;1858;8316
09172117;      Bischofswiesen;1854;9751;1681;8835;173;916
09172118;      Freilassing, St;1343;2789;1070;2225;273;564
09172122;      Laufen, St;531;1363;455;1036;76;327
09172124;      Marktschellenberg, M;245;823;184;600;61;223
09172128;      Piding;317;1018;281;887;36;131
09172129;      Ramsau b.Berchtesgaden;2122;8944;1965;8385;157;559
09172130;      Saaldorf-Surheim;329;693;270;592;59;101
09172131;      Schneizlreuth;447;873;225;531;222;342
09172132;      Schönau a.Königssee;6685;39735;5501;33301;1184;6434
09172134;      Teisendorf, M;822;2323;800;2279;22;44
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);21258;65492;19939;62038;1319;3454
09173111;      Bad Heilbrunn;390;1206;320;972;70;234
09173112;      Bad Tölz, St;4926;21523;4356;20006;570;1517
09173113;      Benediktbeuern;2932;6179;2912;6158;20;21
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;626;1062;590;1021;36;41
09173120;      Egling;815;1423;744;1331;71;92
09173123;      Eurasburg;.;.;.;.;.;.
09173124;      Gaißach;.;.;.;.;.;.
09173126;      Geretsried, St;1653;5261;1588;5146;65;115
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;-;-;-;-;-;-
09173131;      Jachenau;170;873;153;617;17;256
09173133;      Kochel a.See;884;1892;841;1810;43;82
09173134;      Königsdorf;2173;3356;2090;3119;83;237
09173135;      Lenggries;4491;11890;4272;11387;219;503
09173137;      Münsing;982;2620;939;2540;43;80
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;.;.;.;.;.;.
09173145;      Wackersberg;406;1369;394;1318;12;51
09173147;      Wolfratshausen, St;443;1781;405;1624;38;157
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);8472;16846;7373;15083;1099;1763
09174111;      Altomünster, M;376;889;334;839;42;50
09174113;      Bergkirchen;995;2243;864;2023;131;220
09174115;      Dachau, GKSt;3137;5880;2782;5297;355;583
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;260;720;253;698;7;22
09174126;      Karlsfeld;938;1423;826;1205;112;218
09174131;      Markt Indersdorf, M;313;775;290;661;23;114
09174135;      Odelzhausen;781;1160;567;890;214;270
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;218;657;204;636;14;21
09174143;      Schwabhausen;316;788;294;761;22;27
09174146;      Sulzemoos;366;832;232;682;134;150
09174147;      Hilgertshausen-Tandern;.;.;.;.;.;.
09174150;      Vierkirchen;.;.;.;.;.;.
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);11123;23118;8998;19032;2125;4086
09175111;      Anzing;328;1137;319;1118;9;19
09175112;      Aßling;.;.;.;.;.;.
09175113;      Baiern;.;.;.;.;.;.
09175114;      Bruck;-;-;-;-;-;-
