GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2008;;;;;;;
Monate: Februar;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;1814807;5318200;1404561;4389189;410246;929011
091;  Oberbayern;804203;2074159;569036;1571152;235167;503007
09161;    Ingolstadt (Krfr.St);17032;30504;11986;22392;5046;8112
09162;    München, Landeshauptstadt;323463;621442;192567;354822;130896;266620
09163;    Rosenheim (Krfr.St);6894;9623;3808;5799;3086;3824
09171;    Altötting (Lkr);6338;13080;4960;10178;1378;2902
09171111;      Altötting, St;3016;5576;2257;4208;759;1368
09171112;      Burghausen, St;2235;4681;1758;3506;477;1175
09171113;      Burgkirchen a.d.Alz;.;.;.;.;.;.
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;-;-;-;-;-;-
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;141;299;135;293;6;6
09171119;      Halsbach;-;-;-;-;-;-
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;.;.;.;.;.;.
09171123;      Marktl, M;.;.;.;.;.;.
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;193;501;162;389;31;112
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;-;-;-;-;-;-
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;.;.;.;.;.;.
09171132;      Töging a.Inn, St;-;-;-;-;-;-
09171133;      Tüßling, M;.;.;.;.;.;.
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;.;.;.;.;.;.
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);32837;179023;27364;151325;5473;27698
09172111;      Ainring;1065;2243;922;1904;143;339
09172112;      Anger;297;933;270;902;27;31
09172114;      Bad Reichenhall, GKSt;5475;34801;5005;33556;470;1245
09172115;      Bayerisch Gmain;1605;13676;1555;13552;50;124
09172116;      Berchtesgaden, M;6846;34755;5127;24900;1719;9855
09172117;      Bischofswiesen;2633;15124;2098;12542;535;2582
09172118;      Freilassing, St;1459;2708;1064;1933;395;775
09172122;      Laufen, St;576;959;529;889;47;70
09172124;      Marktschellenberg, M;504;2386;416;1992;88;394
09172128;      Piding;857;2484;719;2210;138;274
09172129;      Ramsau b.Berchtesgaden;2473;12821;2380;12402;93;419
09172130;      Saaldorf-Surheim;150;292;134;244;16;48
09172131;      Schneizlreuth;336;1086;284;1034;52;52
09172132;      Schönau a.Königssee;7673;52405;6009;40959;1664;11446
09172134;      Teisendorf, M;888;2350;852;2306;36;44
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);19247;63954;17355;59581;1892;4373
09173111;      Bad Heilbrunn;307;1342;284;1252;23;90
09173112;      Bad Tölz, St;4516;19210;3773;17664;743;1546
09173113;      Benediktbeuern;2136;6136;2131;6112;5;24
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;632;1370;628;1362;4;8
09173120;      Egling;603;1126;326;642;277;484
09173123;      Eurasburg;76;165;76;165;-;-
09173124;      Gaißach;350;5168;341;5157;9;11
09173126;      Geretsried, St;1400;4880;1337;4707;63;173
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;-;-;-;-;-;-
09173131;      Jachenau;186;643;160;541;26;102
09173133;      Kochel a.See;868;3178;793;3033;75;145
09173134;      Königsdorf;1465;2457;1422;2378;43;79
09173135;      Lenggries;4137;11920;3843;10888;294;1032
09173137;      Münsing;989;2263;934;2168;55;95
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;302;643;204;514;98;129
09173145;      Wackersberg;438;1548;401;1418;37;130
09173147;      Wolfratshausen, St;565;1159;447;918;118;241
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);6716;14410;5703;12669;1013;1741
09174111;      Altomünster, M;194;820;167;784;27;36
09174113;      Bergkirchen;1063;2661;947;2339;116;322
09174115;      Dachau, GKSt;2523;4389;2086;3661;437;728
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;118;374;105;359;13;15
09174126;      Karlsfeld;769;1207;648;962;121;245
09174131;      Markt Indersdorf, M;380;1055;376;1047;4;8
09174135;      Odelzhausen;496;807;327;581;169;226
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;162;539;155;517;7;22
09174143;      Schwabhausen;125;467;109;446;16;21
09174146;      Sulzemoos;.;.;.;.;.;.
09174147;      Hilgertshausen-Tandern;.;.;.;.;.;.
09174150;      Vierkirchen;-;-;-;-;-;-
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);10950;22156;8893;18180;2057;3976
09175111;      Anzing;437;1285;408;1075;29;210
09175112;      Aßling;.;.;.;.;.;.
09175113;      Baiern;.;.;.;.;.;.
09175114;      Bruck;-;-;-;-;-;-
