GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2012;;;;;;;
Monate: Februar;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;1971810;5538902;1529658;4539390;442152;999512
091;  Oberbayern;909813;2245095;647038;1680653;262775;564442
09161;    Ingolstadt (Krfr.St);17412;33212;12301;22462;5111;10750
09162;    München, Landeshauptstadt;376855;730316;227647;417339;149208;312977
09163;    Rosenheim (Krfr.St);7165;10198;4820;6734;2345;3464
09171;    Altötting (Lkr);6050;12579;5435;11267;615;1312
09171111;      Altötting, St;2166;3816;2076;3655;90;161
09171112;      Burghausen, St;2658;5278;2253;4420;405;858
09171113;      Burgkirchen a.d.Alz;.;.;.;.;.;.
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;-;-;-;-;-;-
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;149;395;135;348;14;47
09171119;      Halsbach;-;-;-;-;-;-
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;.;.;.;.;.;.
09171123;      Marktl, M;.;.;.;.;.;.
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;191;628;184;593;7;35
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;-;-;-;-;-;-
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;.;.;.;.;.;.
09171132;      Töging a.Inn, St;-;-;-;-;-;-
09171133;      Tüßling, M;.;.;.;.;.;.
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;.;.;.;.;.;.
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);36105;170071;30083;142642;6022;27429
09172111;      Ainring;1299;2589;919;1959;380;630
09172112;      Anger;414;1091;382;1048;32;43
09172114;      Bad Reichenhall, GKSt;6318;33824;5699;32345;619;1479
09172115;      Bayerisch Gmain;1403;10854;1371;10740;32;114
09172116;      Berchtesgaden, M;9824;38529;7485;26347;2339;12182
09172117;      Bischofswiesen;2539;13545;2164;11399;375;2146
09172118;      Freilassing, St;1162;2251;928;1864;234;387
09172122;      Laufen, St;421;1184;396;1140;25;44
09172124;      Marktschellenberg, M;310;1294;264;1084;46;210
09172128;      Piding;866;2537;597;2072;269;465
09172129;      Ramsau b.Berchtesgaden;2577;13105;2487;12728;90;377
09172130;      Saaldorf-Surheim;218;460;179;342;39;118
09172131;      Schneizlreuth;529;1529;460;1418;69;111
09172132;      Schönau a.Königssee;7485;45567;6057;36491;1428;9076
09172134;      Teisendorf, M;740;1712;695;1665;45;47
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);20981;64055;19442;59510;1539;4545
09173111;      Bad Heilbrunn;299;1024;266;865;33;159
09173112;      Bad Tölz, St;4765;19566;4048;17786;717;1780
09173113;      Benediktbeuern;2150;4661;2125;4613;25;48
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;1081;1952;1046;1891;35;61
09173120;      Egling;795;1331;695;1153;100;178
09173123;      Eurasburg;34;69;32;57;2;12
09173124;      Gaißach;173;5083;157;4971;16;112
09173126;      Geretsried, St;1443;4151;1370;3318;73;833
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;-;-;-;-;-;-
09173131;      Jachenau;220;790;216;772;4;18
09173133;      Kochel a.See;820;2307;725;2169;95;138
09173134;      Königsdorf;1257;2627;1207;2383;50;244
09173135;      Lenggries;5529;14441;5271;13704;258;737
09173137;      Münsing;1340;2993;1250;2843;90;150
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;.;.;.;.;.;.
09173145;      Wackersberg;480;1519;475;1512;5;7
09173147;      Wolfratshausen, St;444;1174;417;1115;27;59
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);7251;15485;6125;12854;1126;2631
09174111;      Altomünster, M;238;684;222;640;16;44
09174113;      Bergkirchen;903;2001;822;1853;81;148
09174115;      Dachau, GKSt;2779;4981;2229;3890;550;1091
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;376;1032;344;949;32;83
09174126;      Karlsfeld;700;1717;577;1042;123;675
09174131;      Markt Indersdorf, M;307;691;283;619;24;72
09174135;      Odelzhausen;848;1203;636;893;212;310
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;99;487;84;424;15;63
09174143;      Schwabhausen;240;751;223;697;17;54
09174146;      Sulzemoos;238;618;189;553;49;65
09174147;      Hilgertshausen-Tandern;.;.;.;.;.;.
09174150;      Vierkirchen;-;-;-;-;-;-
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);11137;24024;9560;20926;1577;3098
09175111;      Anzing;326;1184;324;1182;2;2
09175112;      Aßling;.;.;.;.;.;.
09175113;      Baiern;.;.;.;.;.;.
09175114;      Bruck;-;-;-;-;-;-
