GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2006;;;;;;;
Monate: Februar;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;1642820;5085155;1301849;4295547;340971;789608
091;  Oberbayern;714548;1954851;526050;1543210;188498;411641
09161;    Ingolstadt (Krfr.St);15569;27718;10968;19621;4601;8097
09162;    München, Landeshauptstadt;263461;513391;164581;305864;98880;207527
09163;    Rosenheim (Krfr.St);7014;9614;3879;5714;3135;3900
09171;    Altötting (Lkr);5598;10312;4279;7929;1319;2383
09171111;      Altötting, St;1858;3189;1217;2054;641;1135
09171112;      Burghausen, St;2669;4465;2094;3493;575;972
09171113;      Burgkirchen a.d.Alz;.;.;.;.;.;.
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;-;-;-;-;-;-
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;205;452;174;376;31;76
09171119;      Halsbach;.;.;.;.;.;.
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;.;.;.;.;.;.
09171123;      Marktl, M;.;.;.;.;.;.
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;142;548;137;512;5;36
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;-;-;-;-;-;-
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;.;.;.;.;.;.
09171132;      Töging a.Inn, St;-;-;-;-;-;-
09171133;      Tüßling, M;.;.;.;.;.;.
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;.;.;.;.;.;.
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);33619;175685;28464;150678;5155;25007
09172111;      Ainring;695;1862;630;1732;65;130
09172112;      Anger;321;944;281;850;40;94
09172114;      Bad Reichenhall, GKSt;6346;33826;5848;32797;498;1029
09172115;      Bayerisch Gmain;1837;9508;1818;9467;19;41
09172116;      Berchtesgaden, M;8170;39459;6348;29721;1822;9738
09172117;      Bischofswiesen;2003;13691;1668;11779;335;1912
09172118;      Freilassing, St;1362;2512;1079;1891;283;621
09172122;      Laufen, St;275;497;202;351;73;146
09172124;      Marktschellenberg, M;389;1780;311;1426;78;354
09172128;      Piding;896;2324;755;2116;141;208
09172129;      Ramsau b.Berchtesgaden;2679;15144;2513;14167;166;977
09172130;      Saaldorf-Surheim;144;334;132;293;12;41
09172131;      Schneizlreuth;447;1447;421;1410;26;37
09172132;      Schönau a.Königssee;7907;51884;6329;42224;1578;9660
09172134;      Teisendorf, M;148;473;129;454;19;19
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);20042;67052;18570;63329;1472;3723
09173111;      Bad Heilbrunn;246;758;211;549;35;209
09173112;      Bad Tölz, St;4565;20399;3815;18773;750;1626
09173113;      Benediktbeuern;2687;8407;2651;8342;36;65
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;631;1580;620;1546;11;34
09173120;      Egling;297;600;287;569;10;31
09173123;      Eurasburg;35;88;33;82;2;6
09173124;      Gaißach;306;4213;297;4176;9;37
09173126;      Geretsried, St;1335;4669;1193;4315;142;354
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;-;-;-;-;-;-
09173131;      Jachenau;266;991;245;911;21;80
09173133;      Kochel a.See;549;1474;530;1439;19;35
09173134;      Königsdorf;1309;3061;1276;3012;33;49
09173135;      Lenggries;5271;15196;5051;14347;220;849
09173137;      Münsing;970;1748;920;1634;50;114
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;241;477;171;405;70;72
09173145;      Wackersberg;442;1391;411;1295;31;96
09173147;      Wolfratshausen, St;731;1292;699;1228;32;64
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);6454;12503;5536;11002;918;1501
09174111;      Altomünster, M;.;.;.;.;.;.
09174113;      Bergkirchen;855;2109;757;1965;98;144
09174115;      Dachau, GKSt;2453;4345;2048;3645;405;700
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;521;817;518;813;3;4
09174126;      Karlsfeld;783;1327;668;1059;115;268
09174131;      Markt Indersdorf, M;378;927;374;923;4;4
09174135;      Odelzhausen;492;638;289;389;203;249
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;122;414;115;396;7;18
09174143;      Schwabhausen;141;351;138;345;3;6
09174146;      Sulzemoos;.;.;.;.;.;.
09174147;      Hilgertshausen-Tandern;-;-;-;-;-;-
09174150;      Vierkirchen;-;-;-;-;-;-
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);9461;19188;7786;15869;1675;3319
09175111;      Anzing;451;1164;422;1111;29;53
09175112;      Aßling;.;.;.;.;.;.
09175113;      Baiern;.;.;.;.;.;.
09175114;      Bruck;-;-;-;-;-;-
09175115;      Ebersberg, St;571;1046;294;459;277;587
