GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2010;;;;;;;
Monate: Februar;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;1797010;5174773;1373151;4219754;423859;955019
091;  Oberbayern;840741;2128273;582334;1570948;258407;557325
09161;    Ingolstadt (Krfr.St);16474;27868;11431;19757;5043;8111
09162;    München, Landeshauptstadt;370077;711957;217023;397881;153054;314076
09163;    Rosenheim (Krfr.St);6534;9556;3803;5944;2731;3612
09171;    Altötting (Lkr);5142;11111;3489;7528;1653;3583
09171111;      Altötting, St;2213;4143;1126;2351;1087;1792
09171112;      Burghausen, St;1987;4099;1599;3308;388;791
09171113;      Burgkirchen a.d.Alz;.;.;.;.;.;.
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;-;-;-;-;-;-
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;119;251;97;215;22;36
09171119;      Halsbach;-;-;-;-;-;-
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;.;.;.;.;.;.
09171123;      Marktl, M;.;.;.;.;.;.
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;122;440;103;288;19;152
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;-;-;-;-;-;-
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;.;.;.;.;.;.
09171132;      Töging a.Inn, St;-;-;-;-;-;-
09171133;      Tüßling, M;.;.;.;.;.;.
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;.;.;.;.;.;.
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);32430;175114;26434;145549;5996;29565
09172111;      Ainring;896;1925;774;1663;122;262
09172112;      Anger;120;620;98;478;22;142
09172114;      Bad Reichenhall, GKSt;5655;33426;5071;31844;584;1582
09172115;      Bayerisch Gmain;1369;12975;1337;12857;32;118
09172116;      Berchtesgaden, M;7481;34844;5493;24308;1988;10536
09172117;      Bischofswiesen;2355;13425;1925;11147;430;2278
09172118;      Freilassing, St;1405;2186;1127;1741;278;445
09172122;      Laufen, St;513;936;505;916;8;20
09172124;      Marktschellenberg, M;384;1926;314;1565;70;361
09172128;      Piding;652;2301;550;2056;102;245
09172129;      Ramsau b.Berchtesgaden;2229;11739;2092;11320;137;419
09172130;      Saaldorf-Surheim;250;460;216;382;34;78
09172131;      Schneizlreuth;302;773;219;665;83;108
09172132;      Schönau a.Königssee;7734;53126;5719;40253;2015;12873
09172134;      Teisendorf, M;1085;4452;994;4354;91;98
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);19056;58729;17311;54526;1745;4203
09173111;      Bad Heilbrunn;322;961;267;801;55;160
09173112;      Bad Tölz, St;4443;16361;3666;14637;777;1724
09173113;      Benediktbeuern;1618;4081;1608;3996;10;85
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;601;1814;592;1802;9;12
09173120;      Egling;660;1146;420;839;240;307
09173123;      Eurasburg;156;322;140;284;16;38
09173124;      Gaißach;225;4954;216;4896;9;58
09173126;      Geretsried, St;1380;4157;1333;3846;47;311
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;-;-;-;-;-;-
09173131;      Jachenau;252;833;217;737;35;96
09173133;      Kochel a.See;450;1490;412;1377;38;113
09173134;      Königsdorf;1550;3139;1519;3093;31;46
09173135;      Lenggries;4739;13217;4520;12494;219;723
09173137;      Münsing;965;2187;929;2135;36;52
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;324;713;272;606;52;107
09173145;      Wackersberg;644;1665;603;1533;41;132
09173147;      Wolfratshausen, St;573;1144;471;941;102;203
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);6587;13420;5494;11394;1093;2026
09174111;      Altomünster, M;84;175;51;122;33;53
09174113;      Bergkirchen;1064;2770;862;2397;202;373
09174115;      Dachau, GKSt;2523;4935;1987;3877;536;1058
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;202;481;188;444;14;37
09174126;      Karlsfeld;685;1067;605;877;80;190
09174131;      Markt Indersdorf, M;319;564;303;538;16;26
09174135;      Odelzhausen;519;729;373;517;146;212
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;196;509;187;494;9;15
09174143;      Schwabhausen;182;525;179;519;3;6
09174146;      Sulzemoos;.;.;.;.;.;.
09174147;      Hilgertshausen-Tandern;.;.;.;.;.;.
09174150;      Vierkirchen;-;-;-;-;-;-
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);11422;23519;8964;18517;2458;5002
09175111;      Anzing;365;1026;279;877;86;149
09175112;      Aßling;.;.;.;.;.;.
09175113;      Baiern;.;.;.;.;.;.
09175114;      Bruck;-;-;-;-;-;-
