GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2011;;;;;;;
Monate: Februar;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;1833145;4955095;1397657;3959479;435488;995616
091;  Oberbayern;865814;2099894;600245;1505351;265569;594543
09161;    Ingolstadt (Krfr.St);17450;30569;13037;22430;4413;8139
09162;    München, Landeshauptstadt;384851;744488;227341;409746;157510;334742
09163;    Rosenheim (Krfr.St);6659;9779;4417;6644;2242;3135
09171;    Altötting (Lkr);6074;12721;5318;11003;756;1718
09171111;      Altötting, St;2345;4444;2249;4259;96;185
09171112;      Burghausen, St;2719;5296;2195;4120;524;1176
09171113;      Burgkirchen a.d.Alz;.;.;.;.;.;.
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;-;-;-;-;-;-
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;132;273;111;234;21;39
09171119;      Halsbach;-;-;-;-;-;-
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;.;.;.;.;.;.
09171123;      Marktl, M;.;.;.;.;.;.
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;200;655;187;612;13;43
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;-;-;-;-;-;-
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;.;.;.;.;.;.
09171132;      Töging a.Inn, St;-;-;-;-;-;-
09171133;      Tüßling, M;-;-;-;-;-;-
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;.;.;.;.;.;.
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);30018;151641;23437;120090;6581;31551
09172111;      Ainring;1092;2076;842;1482;250;594
09172112;      Anger;81;341;47;271;34;70
09172114;      Bad Reichenhall, GKSt;4964;29501;4212;27672;752;1829
09172115;      Bayerisch Gmain;1249;12633;1219;12516;30;117
09172116;      Berchtesgaden, M;8103;33138;5880;20373;2223;12765
09172117;      Bischofswiesen;1954;10367;1548;8096;406;2271
09172118;      Freilassing, St;1209;2261;954;1879;255;382
09172122;      Laufen, St;354;882;228;590;126;292
09172124;      Marktschellenberg, M;189;1001;137;659;52;342
09172128;      Piding;489;1364;350;1127;139;237
09172129;      Ramsau b.Berchtesgaden;1917;9051;1656;8234;261;817
09172130;      Saaldorf-Surheim;281;613;201;414;80;199
09172131;      Schneizlreuth;335;971;233;857;102;114
09172132;      Schönau a.Königssee;7043;45938;5200;34444;1843;11494
09172134;      Teisendorf, M;758;1504;730;1476;28;28
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);19455;55990;17797;51502;1658;4488
09173111;      Bad Heilbrunn;206;646;122;383;84;263
09173112;      Bad Tölz, St;4872;18761;4031;16592;841;2169
09173113;      Benediktbeuern;1993;4535;1990;4527;3;8
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;496;1280;491;1263;5;17
09173120;      Egling;847;1228;752;1114;95;114
09173123;      Eurasburg;.;.;.;.;.;.
09173124;      Gaißach;249;3683;236;3562;13;121
09173126;      Geretsried, St;1622;4735;1560;4543;62;192
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;-;-;-;-;-;-
09173131;      Jachenau;143;528;139;500;4;28
09173133;      Kochel a.See;578;1609;523;1415;55;194
09173134;      Königsdorf;1478;2983;1444;2934;34;49
09173135;      Lenggries;4690;10799;4402;9877;288;922
09173137;      Münsing;974;2048;921;1945;53;103
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;.;.;.;.;.;.
09173145;      Wackersberg;537;1253;499;1150;38;103
09173147;      Wolfratshausen, St;497;1183;451;1024;46;159
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);7737;16733;6654;14753;1083;1980
09174111;      Altomünster, M;300;845;264;745;36;100
09174113;      Bergkirchen;968;2176;844;1969;124;207
09174115;      Dachau, GKSt;2759;5305;2306;4437;453;868
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;-;-;-;-;-;-
09174122;      Hebertshausen;202;481;198;473;4;8
09174126;      Karlsfeld;687;1313;549;1024;138;289
09174131;      Markt Indersdorf, M;232;600;221;585;11;15
09174135;      Odelzhausen;710;1141;531;823;179;318
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;153;513;140;495;13;18
09174143;      Schwabhausen;266;642;236;596;30;46
09174146;      Sulzemoos;755;2155;660;2044;95;111
09174147;      Hilgertshausen-Tandern;.;.;.;.;.;.
09174150;      Vierkirchen;-;-;-;-;-;-
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);12172;25023;9870;20086;2302;4937
09175111;      Anzing;501;1215;385;1004;116;211
09175112;      Aßling;.;.;.;.;.;.
09175113;      Baiern;.;.;.;.;.;.
09175114;      Bruck;-;-;-;-;-;-
