GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2023;;;;;;;
Monate: März;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;2522452;6362237;2004859;5136760;517593;1225477
091;  Oberbayern;1199330;2791126;874140;2048842;325190;742284
09161;    Ingolstadt (Krfr.St);27730;52758;21511;39347;6219;13411
09162;    München, Landeshauptstadt;615096;1317541;399102;816449;215994;501092
09163;    Rosenheim (Krfr.St);12160;21046;9912;17275;2248;3771
09171;    Altötting (Lkr);10428;25960;9236;21954;1192;4006
09171111;      Altötting, St;3691;7447;3445;7041;246;406
09171112;      Burghausen, St;3939;10682;3575;9656;364;1026
09171113;      Burgkirchen a.d.Alz;30;470;13;64;17;406
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;.;.;.;.;.;.
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;260;743;248;702;12;41
09171119;      Halsbach;-;-;-;-;-;-
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;183;599;147;325;36;274
09171123;      Marktl, M;520;1589;317;825;203;764
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;.;.;.;.;.;.
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;-;-;-;-;-;-
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;-;-;-;-;-;-
09171132;      Töging a.Inn, St;.;.;.;.;.;.
09171133;      Tüßling, M;-;-;-;-;-;-
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;593;1094;474;828;119;266
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);33424;125109;28629;114794;4795;10315
09172111;      Ainring;2376;6127;2064;5423;312;704
09172112;      Anger;469;1170;440;1117;29;53
09172114;      Bad Reichenhall, GKSt;7061;35193;6188;33417;873;1776
09172115;      Bayerisch Gmain;2016;14033;1964;13917;52;116
09172116;      Berchtesgaden, M;7677;23524;5540;19296;2137;4228
09172117;      Bischofswiesen;2146;7296;1966;6789;180;507
09172118;      Freilassing, St;948;1891;826;1632;122;259
09172122;      Laufen, St;925;2086;739;1655;186;431
09172124;      Marktschellenberg, M;120;384;120;291;-;93
09172128;      Piding;831;1968;669;1802;162;166
09172129;      Ramsau b.Berchtesgaden;2199;6756;2074;6238;125;518
09172130;      Saaldorf-Surheim;328;794;305;737;23;57
09172131;      Schneizlreuth;171;419;157;405;14;14
09172132;      Schönau a.Königssee;4522;18643;4093;17508;429;1135
09172134;      Teisendorf, M;1635;4825;1484;4567;151;258
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);20840;62517;19258;58306;1582;4211
09173111;      Bad Heilbrunn;532;1278;424;963;108;315
09173112;      Bad Tölz, St;3196;18349;2959;17472;237;877
09173113;      Benediktbeuern;2868;5997;2696;5481;172;516
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;1454;2862;1317;2654;137;208
09173120;      Egling;1020;1999;968;1923;52;76
09173123;      Eurasburg;343;703;311;653;32;50
09173124;      Gaißach;.;.;.;.;.;.
09173126;      Geretsried, St;1643;6351;1597;6100;46;251
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;.;.;.;.;.;.
09173131;      Jachenau;159;582;156;576;3;6
09173133;      Kochel a.See;1545;3757;1405;3457;140;300
09173134;      Königsdorf;1631;4048;1539;3868;92;180
09173135;      Lenggries;2277;5832;2206;5492;71;340
09173137;      Münsing;1392;2703;1288;2477;104;226
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;825;1639;719;1409;106;230
09173145;      Wackersberg;524;978;509;955;15;23
09173147;      Wolfratshausen, St;559;1122;415;716;144;406
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);12046;34497;10416;29114;1630;5383
09174111;      Altomünster, M;336;995;298;777;38;218
09174113;      Bergkirchen;1375;2896;1120;2425;255;471
09174115;      Dachau, GKSt;5691;19530;4962;16556;729;2974
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;123;328;116;315;7;13
09174126;      Karlsfeld;558;1254;487;1122;71;132
09174131;      Markt Indersdorf, M;348;1786;295;1232;53;554
09174135;      Odelzhausen;.;.;.;.;.;.
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;205;704;179;553;26;151
09174143;      Schwabhausen;644;1561;577;1377;67;184
09174146;      Sulzemoos;608;1318;484;1066;124;252
09174147;      Hilgertshausen-Tandern;251;619;248;613;3;6
09174150;      Vierkirchen;.;.;.;.;.;.
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);14166;31092;11477;25129;2689;5963
09175111;      Anzing;266;1530;204;1190;62;340
09175112;      Aßling;.;.;.;.;.;.
09175113;      Baiern;.;.;.;.;.;.
09175114;      Bruck;-;-;-;-;-;-
