GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2017;;;;;;;
Monate: März;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;2505186;6147016;1931823;4963371;573363;1183645
091;  Oberbayern;1162896;2545306;809887;1828934;353009;716372
09161;    Ingolstadt (Krfr.St);23238;42657;17224;30694;6014;11963
09162;    München, Landeshauptstadt;557585;1055130;333125;592031;224460;463099
09163;    Rosenheim (Krfr.St);7970;13094;6095;9920;1875;3174
09171;    Altötting (Lkr);9138;20399;8001;17513;1137;2886
09171111;      Altötting, St;3921;8468;3450;7929;471;539
09171112;      Burghausen, St;3087;6012;2635;4886;452;1126
09171113;      Burgkirchen a.d.Alz;83;519;68;315;15;204
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;-;-;-;-;-;-
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;227;510;207;469;20;41
09171119;      Halsbach;.;.;.;.;.;.
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;97;403;85;193;12;210
09171123;      Marktl, M;99;367;86;340;13;27
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;.;.;.;.;.;.
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;-;-;-;-;-;-
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;.;.;.;.;.;.
09171132;      Töging a.Inn, St;.;.;.;.;.;.
09171133;      Tüßling, M;-;-;-;-;-;-
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;550;1217;542;1037;8;180
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);33041;138509;28104;125693;4937;12816
09172111;      Ainring;2267;5453;2013;4976;254;477
09172112;      Anger;353;872;335;821;18;51
09172114;      Bad Reichenhall, GKSt;8235;41099;6745;38024;1490;3075
09172115;      Bayerisch Gmain;1936;16154;1864;15967;72;187
09172116;      Berchtesgaden, M;7412;23131;5823;18105;1589;5026
09172117;      Bischofswiesen;1451;6357;1353;6118;98;239
09172118;      Freilassing, St;1044;2350;829;1738;215;612
09172122;      Laufen, St;583;1370;551;1254;32;116
09172124;      Marktschellenberg, M;125;416;115;378;10;38
09172128;      Piding;903;1945;581;1394;322;551
09172129;      Ramsau b.Berchtesgaden;1887;6477;1701;5903;186;574
09172130;      Saaldorf-Surheim;395;917;336;815;59;102
09172131;      Schneizlreuth;456;829;378;739;78;90
09172132;      Schönau a.Königssee;4779;27430;4312;25799;467;1631
09172134;      Teisendorf, M;1215;3709;1168;3662;47;47
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);22748;69473;21324;64671;1424;4802
09173111;      Bad Heilbrunn;606;1503;532;1238;74;265
09173112;      Bad Tölz, St;4208;18150;3832;17331;376;819
09173113;      Benediktbeuern;3377;6844;3370;6821;7;23
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;1264;2918;1190;2758;74;160
09173120;      Egling;1086;2300;1025;2032;61;268
09173123;      Eurasburg;.;.;.;.;.;.
09173124;      Gaißach;.;.;.;.;.;.
09173126;      Geretsried, St;1853;5560;1768;5305;85;255
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;.;.;.;.;.;.
09173131;      Jachenau;124;424;123;423;1;1
09173133;      Kochel a.See;1470;4919;1339;3593;131;1326
09173134;      Königsdorf;1572;3404;1419;3018;153;386
09173135;      Lenggries;3417;10005;3280;9370;137;635
09173137;      Münsing;1129;2958;1051;2790;78;168
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;523;1251;490;1179;33;72
09173145;      Wackersberg;453;1201;445;1178;8;23
09173147;      Wolfratshausen, St;868;1778;743;1548;125;230
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);12831;26575;9766;21205;3065;5370
09174111;      Altomünster, M;426;1116;392;984;34;132
09174113;      Bergkirchen;1726;3391;1478;2991;248;400
09174115;      Dachau, GKSt;6077;12041;3900;8558;2177;3483
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;305;889;281;860;24;29
09174126;      Karlsfeld;1019;1620;804;1276;215;344
09174131;      Markt Indersdorf, M;310;759;292;738;18;21
09174135;      Odelzhausen;.;.;.;.;.;.
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;371;917;351;863;20;54
09174143;      Schwabhausen;429;1429;379;1009;50;420
09174146;      Sulzemoos;436;1259;346;1053;90;206
09174147;      Hilgertshausen-Tandern;.;.;.;.;.;.
09174150;      Vierkirchen;.;.;.;.;.;.
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);15933;33302;12749;25994;3184;7308
09175111;      Anzing;314;1148;308;1134;6;14
09175112;      Aßling;.;.;.;.;.;.
09175113;      Baiern;.;.;.;.;.;.
09175114;      Bruck;-;-;-;-;-;-
