GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2022;;;;;;;
Monate: März;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;1745148;5064514;1450116;4298658;295032;765856
091;  Oberbayern;783651;2115979;600516;1649058;183135;466921
09161;    Ingolstadt (Krfr.St);16091;27847;12226;21057;3865;6790
09162;    München, Landeshauptstadt;355137;861961;240801;563766;114336;298195
09163;    Rosenheim (Krfr.St);7718;14669;6004;11576;1714;3093
09171;    Altötting (Lkr);7146;17446;6293;14131;853;3315
09171111;      Altötting, St;2490;6420;2288;5974;202;446
09171112;      Burghausen, St;2974;5402;2666;4717;308;685
09171113;      Burgkirchen a.d.Alz;33;425;21;189;12;236
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;.;.;.;.;.;.
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;227;543;208;478;19;65
09171119;      Halsbach;-;-;-;-;-;-
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;161;715;109;311;52;404
09171123;      Marktl, M;40;84;36;80;4;4
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;143;788;94;361;49;427
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;-;-;-;-;-;-
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;-;-;-;-;-;-
09171132;      Töging a.Inn, St;.;.;.;.;.;.
09171133;      Tüßling, M;-;-;-;-;-;-
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;474;987;378;711;96;276
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);29477;124780;27001;117960;2476;6820
09172111;      Ainring;2107;5553;1888;5020;219;533
09172112;      Anger;501;1340;472;1275;29;65
09172114;      Bad Reichenhall, GKSt;4738;27040;4348;26181;390;859
09172115;      Bayerisch Gmain;2024;13197;1991;13108;33;89
09172116;      Berchtesgaden, M;6776;26354;5947;23932;829;2422
09172117;      Bischofswiesen;1910;7953;1832;7638;78;315
09172118;      Freilassing, St;923;1897;760;1559;163;338
09172122;      Laufen, St;533;1205;435;1059;98;146
09172124;      Marktschellenberg, M;142;599;128;571;14;28
09172128;      Piding;884;2850;732;2545;152;305
09172129;      Ramsau b.Berchtesgaden;1794;6508;1739;6219;55;289
09172130;      Saaldorf-Surheim;271;815;240;759;31;56
09172131;      Schneizlreuth;102;309;102;309;-;-
09172132;      Schönau a.Königssee;5701;25188;5378;23895;323;1293
09172134;      Teisendorf, M;1071;3972;1009;3890;62;82
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);15868;55200;14994;52507;874;2693
09173111;      Bad Heilbrunn;478;1142;404;890;74;252
09173112;      Bad Tölz, St;2952;18143;2790;17580;162;563
09173113;      Benediktbeuern;1316;2727;1309;2720;7;7
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;796;1421;699;1252;97;169
09173120;      Egling;697;1537;666;1482;31;55
09173123;      Eurasburg;301;582;261;509;40;73
09173124;      Gaißach;.;.;.;.;.;.
09173126;      Geretsried, St;869;3390;808;3049;61;341
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;.;.;.;.;.;.
09173131;      Jachenau;294;769;292;765;2;4
09173133;      Kochel a.See;1615;4440;1548;4121;67;319
09173134;      Königsdorf;773;1959;758;1921;15;38
09173135;      Lenggries;2831;9798;2760;9473;71;325
09173137;      Münsing;1011;2375;950;2180;61;195
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;408;1009;384;959;24;50
09173145;      Wackersberg;546;1369;518;1264;28;105
09173147;      Wolfratshausen, St;464;1482;396;1383;68;99
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);5823;17964;4966;14110;857;3854
09174111;      Altomünster, M;345;883;309;783;36;100
09174113;      Bergkirchen;1214;3083;935;2114;279;969
09174115;      Dachau, GKSt;1833;5757;1611;5343;222;414
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;91;253;89;251;2;2
09174126;      Karlsfeld;302;628;220;478;82;150
09174131;      Markt Indersdorf, M;249;2623;196;1249;53;1374
09174135;      Odelzhausen;.;.;.;.;.;.
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;125;606;108;328;17;278
09174143;      Schwabhausen;307;1278;287;1078;20;200
09174146;      Sulzemoos;.;.;.;.;.;.
09174147;      Hilgertshausen-Tandern;.;.;.;.;.;.
09174150;      Vierkirchen;.;.;.;.;.;.
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);8900;23526;7077;18962;1823;4564
09175111;      Anzing;174;1207;139;882;35;325
09175112;      Aßling;.;.;.;.;.;.
09175113;      Baiern;.;.;.;.;.;.
09175114;      Bruck;-;-;-;-;-;-
09175115;      Ebersberg, St;1133;2382;891;1949;242;433
