GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2019;;;;;;;
Monate: März;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;2737468;6795551;2095348;5460715;642120;1334836
091;  Oberbayern;1312386;2927915;902679;2083414;409707;844501
09161;    Ingolstadt (Krfr.St);25339;42774;18191;29888;7148;12886
09162;    München, Landeshauptstadt;647666;1296107;384248;730285;263418;565822
09163;    Rosenheim (Krfr.St);10484;15772;7954;12075;2530;3697
09171;    Altötting (Lkr);8764;20445;7830;17070;934;3375
09171111;      Altötting, St;2990;6625;2768;6278;222;347
09171112;      Burghausen, St;3661;7567;3193;6554;468;1013
09171113;      Burgkirchen a.d.Alz;94;762;66;357;28;405
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;.;.;.;.;.;.
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;320;722;305;682;15;40
09171119;      Halsbach;-;-;-;-;-;-
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;174;806;107;216;67;590
09171123;      Marktl, M;117;346;91;209;26;137
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;.;.;.;.;.;.
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;-;-;-;-;-;-
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;-;-;-;-;-;-
09171132;      Töging a.Inn, St;.;.;.;.;.;.
09171133;      Tüßling, M;-;-;-;-;-;-
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;560;935;558;919;2;16
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);36867;147439;30038;131857;6829;15582
09172111;      Ainring;2319;5399;1962;4693;357;706
09172112;      Anger;502;1424;465;1334;37;90
09172114;      Bad Reichenhall, GKSt;8199;39149;6309;35584;1890;3565
09172115;      Bayerisch Gmain;2561;17548;2447;17341;114;207
09172116;      Berchtesgaden, M;8491;27325;6129;21216;2362;6109
09172117;      Bischofswiesen;1531;6063;1412;5705;119;358
09172118;      Freilassing, St;1038;2186;930;1873;108;313
09172122;      Laufen, St;521;1218;478;1027;43;191
09172124;      Marktschellenberg, M;178;694;165;642;13;52
09172128;      Piding;930;2635;498;1990;432;645
09172129;      Ramsau b.Berchtesgaden;2340;8396;2106;7842;234;554
09172130;      Saaldorf-Surheim;281;656;249;595;32;61
09172131;      Schneizlreuth;501;1011;410;905;91;106
09172132;      Schönau a.Königssee;6315;30024;5433;27553;882;2471
09172134;      Teisendorf, M;1160;3711;1045;3557;115;154
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);23931;74408;22606;70853;1325;3555
09173111;      Bad Heilbrunn;665;1284;588;1054;77;230
09173112;      Bad Tölz, St;4433;23664;4177;22988;256;676
09173113;      Benediktbeuern;2777;5956;2776;5955;1;1
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;1253;2765;1168;2600;85;165
09173120;      Egling;1133;2272;1065;2175;68;97
09173123;      Eurasburg;259;580;219;486;40;94
09173124;      Gaißach;.;.;.;.;.;.
09173126;      Geretsried, St;1341;3925;1293;3805;48;120
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;.;.;.;.;.;.
09173131;      Jachenau;248;703;240;687;8;16
09173133;      Kochel a.See;1877;4221;1760;3931;117;290
09173134;      Königsdorf;1556;3184;1459;2837;97;347
09173135;      Lenggries;4481;13974;4323;13178;158;796
09173137;      Münsing;1118;2252;1037;2118;81;134
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;701;1528;658;1435;43;93
09173145;      Wackersberg;540;1410;510;1372;30;38
09173147;      Wolfratshausen, St;850;1855;691;1491;159;364
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);11152;25432;8883;21163;2269;4269
09174111;      Altomünster, M;473;1115;410;967;63;148
09174113;      Bergkirchen;1591;3331;1267;2730;324;601
09174115;      Dachau, GKSt;5089;10855;3803;8635;1286;2220
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;186;592;165;535;21;57
09174126;      Karlsfeld;575;1144;431;868;144;276
09174131;      Markt Indersdorf, M;410;2172;372;1923;38;249
09174135;      Odelzhausen;.;.;.;.;.;.
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;294;687;273;647;21;40
09174143;      Schwabhausen;373;1045;308;836;65;209
09174146;      Sulzemoos;444;1135;344;982;100;153
09174147;      Hilgertshausen-Tandern;.;.;.;.;.;.
09174150;      Vierkirchen;.;.;.;.;.;.
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);15791;34709;12877;28225;2914;6484
09175111;      Anzing;375;1184;263;833;112;351
09175112;      Aßling;.;.;.;.;.;.
09175113;      Baiern;.;.;.;.;.;.
09175114;      Bruck;-;-;-;-;-;-
