GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2015;;;;;;;
Monate: März;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;2302825;5699655;1798889;4652972;503936;1046683
091;  Oberbayern;1084569;2394144;761522;1727172;323047;666972
09161;    Ingolstadt (Krfr.St);22212;39504;17275;29331;4937;10173
09162;    München, Landeshauptstadt;528879;1028857;310852;569454;218027;459403
09163;    Rosenheim (Krfr.St);7777;11621;6015;8650;1762;2971
09171;    Altötting (Lkr);8116;16625;7046;14034;1070;2591
09171111;      Altötting, St;3342;6758;2995;5811;347;947
09171112;      Burghausen, St;3616;7079;3027;5744;589;1335
09171113;      Burgkirchen a.d.Alz;.;.;.;.;.;.
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;-;-;-;-;-;-
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;245;464;229;438;16;26
09171119;      Halsbach;-;-;-;-;-;-
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;.;.;.;.;.;.
09171123;      Marktl, M;.;.;.;.;.;.
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;148;350;130;286;18;64
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;-;-;-;-;-;-
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;.;.;.;.;.;.
09171132;      Töging a.Inn, St;-;-;-;-;-;-
09171133;      Tüßling, M;-;-;-;-;-;-
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;.;.;.;.;.;.
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);29191;125606;25490;114997;3701;10609
09172111;      Ainring;1408;2925;1096;2257;312;668
09172112;      Anger;314;870;249;597;65;273
09172114;      Bad Reichenhall, GKSt;7561;35741;6658;33398;903;2343
09172115;      Bayerisch Gmain;1514;15678;1508;15664;6;14
09172116;      Berchtesgaden, M;6430;20355;5096;16161;1334;4194
09172117;      Bischofswiesen;1557;7312;1500;7110;57;202
09172118;      Freilassing, St;1434;2724;1025;1753;409;971
09172122;      Laufen, St;477;1153;463;1110;14;43
09172124;      Marktschellenberg, M;203;838;188;768;15;70
09172128;      Piding;275;862;260;817;15;45
09172129;      Ramsau b.Berchtesgaden;1874;6018;1778;5826;96;192
09172130;      Saaldorf-Surheim;384;957;346;886;38;71
09172131;      Schneizlreuth;462;952;411;895;51;57
09172132;      Schönau a.Königssee;4310;26568;3965;25175;345;1393
09172134;      Teisendorf, M;988;2653;947;2580;41;73
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);19972;59349;18884;56006;1088;3343
09173111;      Bad Heilbrunn;431;1181;344;863;87;318
09173112;      Bad Tölz, St;4086;15021;3794;14372;292;649
09173113;      Benediktbeuern;3408;7281;3388;7228;20;53
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;600;1088;579;969;21;119
09173120;      Egling;887;1721;844;1564;43;157
09173123;      Eurasburg;107;265;104;262;3;3
09173124;      Gaißach;.;.;.;.;.;.
09173126;      Geretsried, St;1575;4091;1502;3856;73;235
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;-;-;-;-;-;-
09173131;      Jachenau;95;302;91;298;4;4
09173133;      Kochel a.See;1275;4689;1197;4023;78;666
09173134;      Königsdorf;1614;3421;1475;3141;139;280
09173135;      Lenggries;3261;8725;3100;8253;161;472
09173137;      Münsing;1210;2894;1142;2715;68;179
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;.;.;.;.;.;.
09173145;      Wackersberg;438;1138;424;1109;14;29
09173147;      Wolfratshausen, St;593;1705;514;1532;79;173
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);10753;22357;9239;19279;1514;3078
09174111;      Altomünster, M;487;1149;427;1052;60;97
09174113;      Bergkirchen;1158;2484;1010;2177;148;307
09174115;      Dachau, GKSt;4092;7558;3391;6125;701;1433
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;416;1010;390;918;26;92
09174126;      Karlsfeld;1286;2301;1134;2011;152;290
09174131;      Markt Indersdorf, M;433;1443;414;1352;19;91
09174135;      Odelzhausen;747;1305;588;1047;159;258
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;297;785;278;747;19;38
09174143;      Schwabhausen;443;1110;395;992;48;118
09174146;      Sulzemoos;354;1096;248;876;106;220
09174147;      Hilgertshausen-Tandern;.;.;.;.;.;.
09174150;      Vierkirchen;.;.;.;.;.;.
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);12566;27069;10564;21840;2002;5229
09175111;      Anzing;417;1586;373;1469;44;117
09175112;      Aßling;.;.;.;.;.;.
09175113;      Baiern;.;.;.;.;.;.
09175114;      Bruck;-;-;-;-;-;-
