GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2008;;;;;;;
Monate: März;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09;Bayern;1817635;5319676;1438828;4515183;378807;804493
091;  Oberbayern;805346;2063052;574815;1578459;230531;484593
09161;    Ingolstadt (Krfr.St);15977;30048;11950;23135;4027;6913
09162;    München, Landeshauptstadt;354510;703508;206930;395195;147580;308313
09163;    Rosenheim (Krfr.St);5745;8790;3926;6027;1819;2763
09171;    Altötting (Lkr);7416;17206;6287;14481;1129;2725
09171111;      Altötting, St;2985;6400;2635;5677;350;723
09171112;      Burghausen, St;3228;7775;2600;6217;628;1558
09171113;      Burgkirchen a.d.Alz;.;.;.;.;.;.
09171114;      Emmerting;.;.;.;.;.;.
09171115;      Erlbach;.;.;.;.;.;.
09171116;      Feichten a.d.Alz;-;-;-;-;-;-
09171117;      Garching a.d.Alz;.;.;.;.;.;.
09171118;      Haiming;176;317;162;284;14;33
09171119;      Halsbach;-;-;-;-;-;-
09171121;      Kastl;.;.;.;.;.;.
09171122;      Kirchweidach;.;.;.;.;.;.
09171123;      Marktl, M;.;.;.;.;.;.
09171124;      Mehring;.;.;.;.;.;.
09171125;      Neuötting, St;182;492;174;403;8;89
09171126;      Perach;-;-;-;-;-;-
09171127;      Pleiskirchen;-;-;-;-;-;-
09171129;      Reischach;.;.;.;.;.;.
09171130;      Stammham;.;.;.;.;.;.
09171131;      Teising;.;.;.;.;.;.
09171132;      Töging a.Inn, St;-;-;-;-;-;-
09171133;      Tüßling, M;.;.;.;.;.;.
09171134;      Tyrlaching;-;-;-;-;-;-
09171135;      Unterneukirchen;.;.;.;.;.;.
09171137;      Winhöring;.;.;.;.;.;.
09172;    Berchtesgadener Land (Lkr);29044;158312;26125;146717;2919;11595
09172111;      Ainring;1265;3778;1017;2919;248;859
09172112;      Anger;264;801;255;785;9;16
09172114;      Bad Reichenhall, GKSt;6263;41271;5849;40081;414;1190
09172115;      Bayerisch Gmain;1854;14397;1828;14291;26;106
09172116;      Berchtesgaden, M;5712;26456;4645;21528;1067;4928
09172117;      Bischofswiesen;2071;11106;1981;10868;90;238
09172118;      Freilassing, St;1366;2414;1098;1781;268;633
09172122;      Laufen, St;459;1075;431;1024;28;51
09172124;      Marktschellenberg, M;436;1928;361;1659;75;269
09172128;      Piding;895;3338;839;3258;56;80
09172129;      Ramsau b.Berchtesgaden;1693;7982;1640;7821;53;161
09172130;      Saaldorf-Surheim;203;332;180;284;23;48
09172131;      Schneizlreuth;347;1709;311;1625;36;84
09172132;      Schönau a.Königssee;5615;38818;5104;35923;511;2895
09172134;      Teisendorf, M;601;2907;586;2870;15;37
09172444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09173;    Bad Tölz-Wolfratshausen (Lkr);18382;63074;17038;59906;1344;3168
09173111;      Bad Heilbrunn;372;1297;347;1227;25;70
09173112;      Bad Tölz, St;4795;22305;4350;21174;445;1131
09173113;      Benediktbeuern;2076;5752;2055;5729;21;23
09173115;      Bichl;.;.;.;.;.;.
09173118;      Dietramszell;648;1548;630;1510;18;38
09173120;      Egling;562;1065;291;560;271;505
09173123;      Eurasburg;97;200;95;196;2;4
09173124;      Gaißach;254;5082;254;5082;-;-
09173126;      Geretsried, St;1248;3994;1184;3781;64;213
09173127;      Greiling;-;-;-;-;-;-
09173130;      Icking;-;-;-;-;-;-
09173131;      Jachenau;132;582;126;568;6;14
09173133;      Kochel a.See;1039;3684;1006;3601;33;83
09173134;      Königsdorf;1603;4047;1561;3910;42;137
09173135;      Lenggries;2666;6663;2509;6252;157;411
09173137;      Münsing;1170;2608;1109;2500;61;108
09173140;      Reichersbeuern;.;.;.;.;.;.
09173141;      Sachsenkam;.;.;.;.;.;.
09173142;      Schlehdorf;292;709;268;680;24;29
09173145;      Wackersberg;518;1643;481;1517;37;126
09173147;      Wolfratshausen, St;627;1174;496;915;131;259
09173444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09174;    Dachau (Lkr);7861;15714;6630;13384;1231;2330
09174111;      Altomünster, M;182;790;153;737;29;53
09174113;      Bergkirchen;1066;2651;1003;2513;63;138
09174115;      Dachau, GKSt;3397;5679;2709;4364;688;1315
09174118;      Erdweg;.;.;.;.;.;.
09174121;      Haimhausen;.;.;.;.;.;.
09174122;      Hebertshausen;150;338;139;313;11;25
09174126;      Karlsfeld;780;1375;603;979;177;396
09174131;      Markt Indersdorf, M;575;1132;561;1106;14;26
09174135;      Odelzhausen;406;591;281;433;125;158
09174136;      Petershausen;.;.;.;.;.;.
09174137;      Pfaffenhofen a.d.Glonn;-;-;-;-;-;-
09174141;      Röhrmoos;161;448;160;445;1;3
09174143;      Schwabhausen;142;516;137;491;5;25
09174146;      Sulzemoos;.;.;.;.;.;.
09174147;      Hilgertshausen-Tandern;.;.;.;.;.;.
09174150;      Vierkirchen;-;-;-;-;-;-
09174151;      Weichs;.;.;.;.;.;.
09175;    Ebersberg (Lkr);10457;21528;8716;17828;1741;3700
09175111;      Anzing;434;1179;409;972;25;207
09175112;      Aßling;.;.;.;.;.;.
09175113;      Baiern;.;.;.;.;.;.
09175114;      Bruck;-;-;-;-;-;-
