GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2012;;;;;;;
Monate: März;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09175137;      Steinhöring;.;.;.;.;.;.
09175139;      Zorneding;934;1614;856;1442;78;172
09175444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09176;    Eichstätt (Lkr);26255;49074;22656;43133;3599;5941
09176111;      Adelschlag;.;.;.;.;.;.
09176112;      Altmannstein, M;69;227;67;225;2;2
09176114;      Beilngries, St;6654;13436;6235;12793;419;643
09176116;      Böhmfeld;.;.;.;.;.;.
09176118;      Buxheim;.;.;.;.;.;.
09176120;      Denkendorf;3071;3668;2285;2844;786;824
09176121;      Dollnstein, M;-;-;-;-;-;-
09176122;      Egweil;-;-;-;-;-;-
09176123;      Eichstätt, GKSt;2578;5218;2463;4981;115;237
09176124;      Eitensheim;-;-;-;-;-;-
09176126;      Gaimersheim, M;1523;3696;1183;2443;340;1253
09176129;      Großmehring;291;918;262;889;29;29
09176131;      Hepberg;-;-;-;-;-;-
09176132;      Hitzhofen;-;-;-;-;-;-
09176137;      Kinding, M;2580;3447;1783;2542;797;905
09176138;      Kipfenberg, M;2213;3881;1819;3300;394;581
09176139;      Kösching, M;194;468;176;443;18;25
09176143;      Lenting;2919;5199;2472;4507;447;692
09176147;      Mindelstetten;.;.;.;.;.;.
09176148;      Mörnsheim, M;173;402;158;356;15;46
09176149;      Nassenfels, M;.;.;.;.;.;.
09176150;      Oberdolling;-;-;-;-;-;-
09176153;      Pförring, M;-;-;-;-;-;-
09176155;      Pollenfeld;.;.;.;.;.;.
09176160;      Schernfeld;366;668;269;481;97;187
09176161;      Stammham;.;.;.;.;.;.
09176164;      Titting, M;1553;2951;1496;2886;57;65
09176165;      Walting;.;.;.;.;.;.
09176166;      Wellheim, M;322;882;315;712;7;170
09176167;      Wettstetten;-;-;-;-;-;-
09176444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09177;    Erding (Lkr);45945;72781;27819;46132;18126;26649
09177112;      Berglern;-;-;-;-;-;-
09177113;      Bockhorn;.;.;.;.;.;.
09177114;      Buch a.Buchrain;384;680;353;629;31;51
09177115;      Dorfen, St;471;863;442;818;29;45
09177116;      Eitting;636;1654;578;1327;58;327
09177117;      Erding, GKSt;15533;26323;10687;18389;4846;7934
09177118;      Finsing;505;1433;476;1332;29;101
09177119;      Forstern;-;-;-;-;-;-
09177120;      Fraunberg;.;.;.;.;.;.
09177121;      Hohenpolding;.;.;.;.;.;.
09177122;      Inning a.Holz;.;.;.;.;.;.
09177123;      Isen, M;.;.;.;.;.;.
09177124;      Kirchberg;-;-;-;-;-;-
09177126;      Langenpreising;279;582;260;559;19;23
09177127;      Lengdorf;-;-;-;-;-;-
09177130;      Moosinning;537;1408;481;1317;56;91
09177131;      Neuching;178;575;172;566;6;9
09177133;      Oberding;24069;32194;11769;15515;12300;16679
09177134;      Ottenhofen;-;-;-;-;-;-
09177135;      Pastetten;-;-;-;-;-;-
09177137;      Sankt Wolfgang;548;1868;483;1660;65;208
09177138;      Steinkirchen;-;-;-;-;-;-
09177139;      Taufkirchen (Vils);282;445;213;323;69;122
09177142;      Walpertskirchen;.;.;.;.;.;.
09177143;      Wartenberg, M;669;1759;505;1341;164;418
09177144;      Wörth;-;-;-;-;-;-
09178;    Freising (Lkr);38044;62585;26449;46189;11595;16396
09178113;      Allershausen;1594;2736;1258;2244;336;492
09178115;      Attenkirchen;.;.;.;.;.;.
09178116;      Au i.d.Hallertau, M;.;.;.;.;.;.
09178120;      Eching;2795;5019;1930;3572;865;1447
09178122;      Rudelzhausen;.;.;.;.;.;.
09178123;      Fahrenzhausen;1353;2456;1186;2158;167;298
09178124;      Freising, GKSt;16523;26007;9963;17540;6560;8467
09178125;      Gammelsdorf;-;-;-;-;-;-
09178129;      Haag a.d.Amper;70;292;59;131;11;161
09178130;      Hallbergmoos;7684;11285;5250;8124;2434;3161
09178132;      Hörgertshausen;-;-;-;-;-;-
09178133;      Hohenkammer;1652;3198;1614;3152;38;46
09178136;      Kirchdorf a.d.Amper;-;-;-;-;-;-
09178137;      Kranzberg;1030;2005;946;1801;84;204
09178138;      Langenbach;.;.;.;.;.;.
09178140;      Marzling;.;.;.;.;.;.
09178142;      Mauern;-;-;-;-;-;-
09178143;      Moosburg a.d.Isar, St;533;1588;464;1418;69;170
09178144;      Nandlstadt, M;-;-;-;-;-;-
09178145;      Neufahrn b.Freising;3452;5532;2475;3664;977;1868
09178150;      Paunzhausen;-;-;-;-;-;-
09178155;      Wang;.;.;.;.;.;.
09178156;      Wolfersdorf;-;-;-;-;-;-
09178157;      Zolling;86;186;86;186;-;-
09179;    Fürstenfeldbruck (Lkr);8973;17921;7412;14495;1561;3426
09179111;      Adelshofen;-;-;-;-;-;-
09179113;      Alling;.;.;.;.;.;.
09179114;      Althegnenberg;-;-;-;-;-;-
09179117;      Egenhofen;.;.;.;.;.;.
09179118;      Eichenau;.;.;.;.;.;.
09179119;      Emmering;203;506;192;489;11;17
09179121;      Fürstenfeldbruck, GKSt;2240;4149;1896;3497;344;652
09179123;      Germering, GKSt;1633;3096;1415;2633;218;463
09179125;      Grafrath;-;-;-;-;-;-
09179126;      Gröbenzell;.;.;.;.;.;.
09179128;      Hattenhofen;.;.;.;.;.;.
09179130;      Jesenwang;.;.;.;.;.;.
09179131;      Kottgeisering;.;.;.;.;.;.
09179132;      Landsberied;-;-;-;-;-;-
09179134;      Maisach;.;.;.;.;.;.
09179136;      Mammendorf;.;.;.;.;.;.
09179137;      Mittelstetten;-;-;-;-;-;-
09179138;      Moorenweis;.;.;.;.;.;.
09179140;      Oberschweinbach;-;-;-;-;-;-
09179142;      Olching, St;1332;2321;1145;1981;187;340
09179145;      Puchheim, St;2237;4764;1524;3088;713;1676
09179147;      Schöngeising;-;-;-;-;-;-
09179149;      Türkenfeld;.;.;.;.;.;.
09180;    Garmisch-Partenkirchen (Lkr);47856;166661;40372;141172;7484;25489
09180112;      Bad Kohlgrub;1634;8572;1553;8205;81;367
09180113;      Bad Bayersoien;918;3862;879;3727;39;135
09180114;      Eschenlohe;89;228;89;228;-;-
09180115;      Ettal;1793;4899;1635;4676;158;223
09180116;      Farchant;563;1778;479;1523;84;255
09180117;      Garmisch-Partenkirchen, M;21750;64433;16951;48860;4799;15573
09180118;      Grainau;5453;19300;5043;17555;410;1745
09180119;      Großweil;.;.;.;.;.;.
09180122;      Krün;4441;16710;4097;15401;344;1309
09180123;      Mittenwald, M;2010;8281;1891;7742;119;539
09180124;      Murnau a.Staffelsee, M;2301;8999;2099;8449;202;550
09180125;      Oberammergau;3077;15211;2166;11286;911;3925
09180126;      Oberau;706;1574;461;1029;245;545
09180127;      Ohlstadt;1590;7350;1574;7258;16;92
09180128;      Riegsee;8;26;8;26;-;-
09180129;      Saulgrub;380;1297;365;1282;15;15
09180131;      Schwaigen;-;-;-;-;-;-
09180132;      Seehausen a.Staffelsee;174;1173;158;1101;16;72
09180133;      Spatzenhausen;.;.;.;.;.;.
09180134;      Uffing a.Staffelsee;.;.;.;.;.;.
09180135;      Unterammergau;356;536;356;536;-;-
09180136;      Wallgau;534;2155;506;2036;28;119
09180444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09181;    Landsberg am Lech (Lkr);6827;14689;5885;12047;942;2642
09181111;      Apfeldorf;-;-;-;-;-;-
09181113;      Denklingen;.;.;.;.;.;.
09181114;      Dießen am Ammersee, M;505;997;446;882;59;115
09181115;      Eching am Ammersee;-;-;-;-;-;-
09181116;      Egling a.d.Paar;-;-;-;-;-;-
09181118;      Eresing;520;1065;519;1064;1;1
09181120;      Finning;.;.;.;.;.;.
09181121;      Fuchstal;.;.;.;.;.;.
09181122;      Geltendorf;-;-;-;-;-;-
09181123;      Greifenberg;72;168;56;133;16;35
09181124;      Hofstetten;.;.;.;.;.;.
09181126;      Hurlach;.;.;.;.;.;.
09181127;      Igling;-;-;-;-;-;-
09181128;      Kaufering, M;.;.;.;.;.;.
09181129;      Kinsau;.;.;.;.;.;.
09181130;      Landsberg am Lech, GKSt;2914;5764;2453;4527;461;1237
09181131;      Obermeitingen;-;-;-;-;-;-
09181132;      Penzing;.;.;.;.;.;.
09181133;      Vilgertshofen;.;.;.;.;.;.
09181134;      Prittriching;-;-;-;-;-;-
09181135;      Reichling;-;-;-;-;-;-
09181137;      Rott;.;.;.;.;.;.
09181138;      Scheuring;-;-;-;-;-;-
09181139;      Schondorf am Ammersee;347;556;325;509;22;47
09181140;      Schwifting;-;-;-;-;-;-
09181141;      Pürgen;-;-;-;-;-;-
09181142;      Thaining;.;.;.;.;.;.
09181143;      Unterdießen;-;-;-;-;-;-
09181144;      Utting am Ammersee;579;1412;543;1341;36;71
09181145;      Weil;188;573;182;554;6;19
09181146;      Windach;.;.;.;.;.;.
09181444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09182;    Miesbach (Lkr);41574;116231;37107;107625;4467;8606
09182111;      Bad Wiessee;4966;29994;4803;29523;163;471
09182112;      Bayrischzell;1930;5954;1858;5510;72;444
09182114;      Fischbachau;1430;2995;1423;2975;7;20
09182116;      Gmund a.Tegernsee;732;1244;723;1229;9;15
09182119;      Hausham;1467;3200;1461;3190;6;10
09182120;      Holzkirchen, M;1781;2929;1152;1875;629;1054
09182123;      Irschenberg;2853;3516;1425;1808;1428;1708
09182124;      Kreuth;3119;9789;2955;9188;164;601
09182125;      Miesbach, St;2180;3636;1837;3100;343;536
09182127;      Otterfing;342;803;267;654;75;149
09182129;      Rottach-Egern;5112;14942;4728;13919;384;1023
09182131;      Schliersee, M;11132;24976;10418;23115;714;1861
09182132;      Tegernsee, St;2953;10247;2746;9883;207;364
09182133;      Valley;.;.;.;.;.;.
09182134;      Waakirchen;129;238;109;186;20;52
09182136;      Warngau;.;.;.;.;.;.
09182137;      Weyarn;1049;1245;918;1096;131;149
09183;    Mühldorf a.Inn (Lkr);6326;14588;5788;12503;538;2085
09183112;      Ampfing;480;1368;399;1213;81;155
09183113;      Aschau a.Inn;.;.;.;.;.;.
09183114;      Buchbach, M;99;228;84;208;15;20
09183115;      Egglkofen;-;-;-;-;-;-
09183116;      Erharting;.;.;.;.;.;.
09183118;      Gars a.Inn, M;70;269;45;192;25;77
09183119;      Haag i.OB, M;-;-;-;-;-;-
09183120;      Heldenstein;.;.;.;.;.;.
09183122;      Jettenbach;.;.;.;.;.;.
09183123;      Kirchdorf;.;.;.;.;.;.
09183124;      Kraiburg a.Inn, M;189;506;172;457;17;49
09183125;      Lohkirchen;-;-;-;-;-;-
09183126;      Maitenbeth;-;-;-;-;-;-
09183127;      Mettenheim;-;-;-;-;-;-
09183128;      Mühldorf a.Inn, St;2335;4859;2167;4002;168;857
09183129;      Neumarkt-Sankt Veit, St;.;.;.;.;.;.
09183130;      Niederbergkirchen;-;-;-;-;-;-
09183131;      Niedertaufkirchen;.;.;.;.;.;.
09183132;      Oberbergkirchen;-;-;-;-;-;-
09183134;      Oberneukirchen;-;-;-;-;-;-
09183135;      Obertaufkirchen;.;.;.;.;.;.
09183136;      Polling;.;.;.;.;.;.
09183138;      Rattenkirchen;-;-;-;-;-;-
09183139;      Rechtmehring;-;-;-;-;-;-
09183140;      Reichertsheim;-;-;-;-;-;-
09183143;      Schönberg;-;-;-;-;-;-
09183144;      Schwindegg;.;.;.;.;.;.
09183145;      Taufkirchen;-;-;-;-;-;-
09183147;      Unterreit;.;.;.;.;.;.
09183148;      Waldkraiburg, St;914;2212;784;1585;130;627
09183151;      Zangberg;.;.;.;.;.;.
09183444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09184;    München (Lkr);82992;157305;62175;117004;20817;40301
09184112;      Aschheim;11519;21015;9405;17298;2114;3717
09184113;      Baierbrunn;597;1422;487;1053;110;369
09184114;      Brunnthal;.;.;.;.;.;.
09184118;      Feldkirchen;5213;9337;2417;4397;2796;4940
09184119;      Garching b.München, St;8986;15756;7252;12276;1734;3480
09184120;      Gräfelfing;672;1723;582;1535;90;188
09184121;      Grasbrunn;744;1558;570;1287;174;271
09184122;      Grünwald;1009;2010;760;1338;249;672
09184123;      Haar;4522;7056;3187;5326;1335;1730
09184127;      Höhenkirchen-Siegertsbrunn;.;.;.;.;.;.
09184129;      Hohenbrunn;879;2183;711;1816;168;367
09184130;      Ismaning;6998;14053;5726;10990;1272;3063
09184131;      Kirchheim b.München;2167;4462;1863;3297;304;1165
09184132;      Neuried;-;-;-;-;-;-
09184134;      Oberhaching;2358;5092;2130;4630;228;462
09184135;      Oberschleißheim;2082;3918;1698;3166;384;752
09184136;      Ottobrunn;1658;3328;1122;2040;536;1288
09184137;      Aying;.;.;.;.;.;.
09184138;      Planegg;1479;2846;1184;2259;295;587
09184139;      Pullach i.Isartal;1511;3518;1275;3015;236;503
09184140;      Putzbrunn;3982;7064;3020;5484;962;1580
09184141;      Sauerlach;1149;3117;707;1527;442;1590
09184142;      Schäftlarn;582;1488;523;1260;59;228
09184144;      Straßlach-Dingharting;301;945;289;900;12;45
09184145;      Taufkirchen;699;1302;647;1196;52;106
09184146;      Neubiberg;701;1541;610;1317;91;224
09184147;      Unterföhring;4483;8745;2979;6048;1504;2697
09184148;      Unterhaching;6249;12950;4465;9340;1784;3610
09184149;      Unterschleißheim, St;9481;14423;6307;9597;3174;4826
09184444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09185;    Neuburg-Schrobenhausen (Lkr);4372;9894;3931;8975;441;919
09185113;      Aresing;-;-;-;-;-;-
09185116;      Berg im Gau;.;.;.;.;.;.
09185118;      Bergheim;.;.;.;.;.;.
09185123;      Brunnen;-;-;-;-;-;-
09185125;      Burgheim, M;-;-;-;-;-;-
09185127;      Ehekirchen;.;.;.;.;.;.
09185131;      Gachenbach;-;-;-;-;-;-
09185139;      Karlshuld;.;.;.;.;.;.
09185140;      Karlskron;.;.;.;.;.;.
09185143;      Langenmosen;.;.;.;.;.;.
09185149;      Neuburg a.d.Donau, GKSt;2320;5429;2078;4946;242;483
09185150;      Oberhausen;.;.;.;.;.;.
09185153;      Rennertshofen, M;.;.;.;.;.;.
09185157;      Rohrenfels;-;-;-;-;-;-
09185158;      Schrobenhausen, St;1000;1963;840;1582;160;381
09185163;      Königsmoos;.;.;.;.;.;.
09185166;      Waidhofen;.;.;.;.;.;.
09185168;      Weichering;.;.;.;.;.;.
09186;    Pfaffenhofen a.d.Ilm (Lkr);8398;16190;6848;13564;1550;2626
09186113;      Baar-Ebenhausen;.;.;.;.;.;.
09186116;      Ernsgaden;.;.;.;.;.;.
09186122;      Geisenfeld, St;.;.;.;.;.;.
09186125;      Gerolsbach;-;-;-;-;-;-
09186126;      Hettenshausen;-;-;-;-;-;-
09186128;      Hohenwart, M;.;.;.;.;.;.
09186130;      Ilmmünster;-;-;-;-;-;-
09186132;      Jetzendorf;-;-;-;-;-;-
09186137;      Manching, M;713;1487;668;1419;45;68
09186139;      Münchsmünster;.;.;.;.;.;.
09186143;      Pfaffenhofen a.d.Ilm, St;1416;2556;1138;2161;278;395
09186144;      Pörnbach;.;.;.;.;.;.
09186146;      Reichertshausen;.;.;.;.;.;.
09186147;      Reichertshofen, M;1256;2750;951;2242;305;508
09186149;      Rohrbach;.;.;.;.;.;.
09186151;      Scheyern;.;.;.;.;.;.
09186152;      Schweitenkirchen;1949;2526;1377;1864;572;662
09186158;      Vohburg a.d.Donau, St;231;657;175;447;56;210
09186162;      Wolnzach, M;1553;2290;1305;1768;248;522
09187;    Rosenheim (Lkr);39833;140206;35957;133092;3876;7114
09187113;      Amerang;157;551;148;531;9;20
09187114;      Aschau i.Chiemgau;2556;9084;2425;8773;131;311
09187116;      Babensham;.;.;.;.;.;.
09187117;      Bad Aibling, St;6896;26741;6210;25103;686;1638
09187118;      Bernau a.Chiemsee;1484;9882;1399;9684;85;198
09187120;      Brannenburg;1035;2243;809;1919;226;324
09187121;      Breitbrunn a.Chiemsee;.;.;.;.;.;.
09187122;      Bruckmühl, M;624;1664;602;1618;22;46
09187123;      Chiemsee;.;.;.;.;.;.
09187124;      Edling;.;.;.;.;.;.
09187125;      Eggstätt;205;566;201;562;4;4
09187126;      Eiselfing;212;513;186;478;26;35
09187128;      Bad Endorf, M;2020;13250;1898;12965;122;285
09187129;      Bad Feilnbach;2784;18431;2419;17888;365;543
09187130;      Feldkirchen-Westerham;1281;3366;1195;3243;86;123
09187131;      Flintsbach a.Inn;920;1281;757;1084;163;197
09187132;      Frasdorf;1043;1873;977;1774;66;99
09187134;      Griesstätt;-;-;-;-;-;-
09187137;      Großkarolinenfeld;-;-;-;-;-;-
09187138;      Gstadt a.Chiemsee;235;585;212;533;23;52
09187139;      Halfing;.;.;.;.;.;.
09187142;      Schechen;742;1417;641;1241;101;176
09187145;      Höslwang;.;.;.;.;.;.
09187148;      Kiefersfelden;1403;2233;1274;2051;129;182
09187150;      Kolbermoor, St;.;.;.;.;.;.
09187154;      Neubeuern, M;257;350;190;275;67;75
09187156;      Nußdorf a.Inn;465;702;388;621;77;81
09187157;      Oberaudorf;3995;13187;3837;12851;158;336
09187159;      Pfaffing;.;.;.;.;.;.
09187162;      Prien a.Chiemsee, M;3204;16703;2898;15966;306;737
09187163;      Prutting;.;.;.;.;.;.
09187164;      Ramerberg;.;.;.;.;.;.
09187165;      Raubling;478;777;320;541;158;236
09187167;      Riedering;26;99;24;93;2;6
09187168;      Rimsting;1237;2144;1181;2022;56;122
09187169;      Rohrdorf;2825;4683;2291;3995;534;688
09187170;      Rott a.Inn;.;.;.;.;.;.
09187172;      Samerberg;297;511;291;493;6;18
09187173;      Schonstett;-;-;-;-;-;-
09187174;      Söchtenau;.;.;.;.;.;.
09187176;      Soyen;.;.;.;.;.;.
09187177;      Stephanskirchen;169;400;169;400;-;-
09187179;      Tuntenhausen;-;-;-;-;-;-
09187181;      Vogtareuth;.;.;.;.;.;.
09187182;      Wasserburg a.Inn, St;852;1486;721;1246;131;240
09187186;      Albaching;-;-;-;-;-;-
09187444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09188;    Starnberg (Lkr);18085;40823;16349;36298;1736;4525
09188113;      Berg;1897;3196;1722;2908;175;288
09188117;      Andechs;418;613;389;537;29;76
09188118;      Feldafing;2283;5818;2028;4843;255;975
09188120;      Gauting;1163;2395;1063;2126;100;269
09188121;      Gilching;312;798;248;645;64;153
09188124;      Herrsching a.Ammersee;3917;8779;3608;8023;309;756
09188126;      Inning a.Ammersee;524;1073;502;1015;22;58
09188127;      Krailling;-;-;-;-;-;-
09188132;      Seefeld;446;1069;419;1034;27;35
09188137;      Pöcking;1728;4194;1587;3942;141;252
09188139;      Starnberg, St;2673;5753;2284;4872;389;881
09188141;      Tutzing;1392;2927;1308;2737;84;190
09188144;      Weßling;580;1252;489;1051;91;201
09188145;      Wörthsee;752;2956;702;2565;50;391
